"variable","code_sec","ressect","poidsp"
"h4","9113","9114",3836.15875840324
"h5","9113","9114",3836.15875840324
"h6","9113","9114",3528.8050507499
"h7","7503","7504",689.593032392788
"h7","7503","7505",516.641184410102
"h7","7503","7506",599.559213145899
"h7","7503","7513",1293.74858656272
"h7","7503","7706",123.328703092487
"h7","7503","7804",284.914490951857
"h7","7503","9209",230.124449117333
"h7","7503","9310",224.430477735754
"h7","7503","9311",207.762155140871
"h7","7503","9402",559.370961558517
"h7","7503","9505",265.687756332211
"h7","9113","9114",2960.56366918177
"h7","9113","9211",342.466034057923
"h7","9113","9311",230.490914194704
"h7","9405","7712",1110.96039736789
"h7","9405","7807",195.575273759329
"h7","9405","7809",795.890792819854
"h7","9405","9102",111.355560417217
"h7","9405","9106",236.820429600943
"h7","9405","9109",293.204206203972
"h7","9405","9308",139.16596099356
"h7","9405","9312",403.544612231543
"h7","9405","9404",384.009519974536
"h7","9405","9406",579.84771933286
"h7","9405","9505",456.090637958393
"h8","7501","7502",698.090237630815
"h8","7501","7505",486.120372608461
"h8","7501","7513",433.778193236557
"h8","7501","7703",215.745522026898
"h8","7501","7713",64.2665294667268
"h8","7501","9104",371.102104297336
"h8","7501","9110",630.04276041221
"h8","7501","9308",151.992750205507
"h8","7501","9311",1192.52380680842
"h8","7501","9312",377.776554569637
"h8","7501","9404",358.873684218916
"h8","7501","9406",289.476595758496
"h8","7501","9501",433.976001360725
"h8","7501","9504",248.456852666284
"h8","7501","9509",304.21905012161
"h8","7502","7706",177.998256740168
"h8","7502","7806",265.71694239257
"h8","7502","9211",244.381719451218
"h8","7502","9306",542.892221328501
"h8","7502","9310",520.215576519205
"h8","7502","9312",403.544612231543
"h8","7502","9407",437.032984032148
"h8","7502","9411",233.859448068138
"h8","7502","9413",581.54250157423
"h8","7502","9504",160.114000971097
"h8","7502","9507",466.032842784272
"h8","7502","9512",709.650900477028
"h8","7503","7504",923.919913175086
"h8","7503","7506",599.559213145899
"h8","7503","7511",595.739142847176
"h8","7503","7513",1631.32072673855
"h8","7503","7706",123.328703092487
"h8","7503","7709",346.100951681503
"h8","7503","7715",189.338267711262
"h8","7503","7804",458.493705363633
"h8","7503","9107",503.827622592846
"h8","7503","9108",170.070623058147
"h8","7503","9209",230.124449117333
"h8","7503","9306",269.857384471753
"h8","7503","9307",173.517411110159
"h8","7503","9308",438.449789968463
"h8","7503","9310",890.902750892765
"h8","7503","9311",207.762155140871
"h8","7503","9402",931.491046974558
"h8","7503","9411",186.987440143931
"h8","7503","9505",265.687756332211
"h8","7504","7704",764.63037044388
"h8","7504","7708",971.563162426683
"h8","7504","7806",329.849792020762
"h8","7504","9203",288.301375636794
"h8","7504","9310",431.860142335252
"h8","7504","9311",166.697712242957
"h8","7504","9312",331.182761112067
"h8","7504","9414",76.6859174517552
"h8","7504","9505",529.826430618815
"h8","7504","9508",651.550601649206
"h8","7504","9509",169.162417370397
"h8","7506","7505",438.479848756589
"h8","7506","7508",423.114266948085
"h8","7506","7514",1173.18023759022
"h8","7506","7716",413.125740888573
"h8","7506","9106",287.977604453847
"h8","7506","9109",393.08553034651
"h8","7506","9203",1164.75427544557
"h8","7506","9305",434.827629949235
"h8","7506","9308",758.491341831837
"h8","7506","9312",434.907972904677
"h8","7506","9410",136.596568196579
"h8","7507","7703",151.803993004368
"h8","7507","7706",103.090105052213
"h8","7507","7713",119.102957890873
"h8","7507","7807",222.381819820214
"h8","7507","7809",284.762969452701
"h8","7507","9101",164.339928293723
"h8","7507","9304",484.525318878904
"h8","7507","9307",246.398780458067
"h8","7507","9312",331.182761112067
"h8","7507","9407",293.84538112009
"h8","7507","9412",305.793407694507
"h8","7507","9414",127.863345654567
"h8","7507","9502",121.3489395075
"h8","7507","9506",185.126411097116
"h8","7509","7510",1317.56077248631
"h8","7509","7513",221.359297298446
"h8","7509","7806",257.817527727269
"h8","7509","7812",470.981729773504
"h8","7509","9106",287.977604453847
"h8","7509","9114",258.904591842465
"h8","7509","9201",232.246263701851
"h8","7509","9202",467.049857874969
"h8","7509","9212",125.866738146825
"h8","7509","9307",131.682144732465
"h8","7509","9308",348.009573205665
"h8","7509","9310",180.354933043045
"h8","7509","9312",334.299908348812
"h8","7509","9410",106.614704782019
"h8","7509","9411",181.191175885705
"h8","7509","9508",294.454775884408
"h8","7510","7505",438.479848756589
"h8","7510","7512",699.252231973557
"h8","7510","7705",267.736165128328
"h8","7510","7706",127.914203329768
"h8","7510","7708",874.171483373027
"h8","7510","9102",210.557392434884
"h8","7510","9105",259.94967807651
"h8","7510","9204",255.878344983993
"h8","7510","9303",404.053214847587
"h8","7510","9310",193.465258960525
"h8","7510","9311",517.844654696389
"h8","7510","9407",247.337705399178
"h8","7510","9409",592.074215485125
"h8","7510","9412",84.253772954963
"h8","7510","9504",153.774174285018
"h8","7512","7511",1222.04204812238
"h8","7512","7705",232.315141150404
"h8","7512","7807",262.099314895554
"h8","7512","9201",1242.15407125387
"h8","7512","9311",1285.24505452916
"h8","7512","9312",1200.94226732183
"h8","7512","9502",225.936795582239
"h8","7512","9506",94.03219575891
"h8","7512","9507",372.188666368622
"h8","7513","7514",795.337460281406
"h8","7513","7704",312.9817213798
"h8","7513","7711",850.037538747064
"h8","7513","9101",136.699297266234
"h8","7513","9312",323.721827323268
"h8","7513","9402",446.361730343154
"h8","7513","9406",282.219117756987
"h8","7513","9410",241.788904196605
"h8","7513","9503",466.824913247155
"h8","7513","9505",611.037448350262
"h8","7513","9506",1259.13801157674
"h8","7701","7702",1126.01102018404
"h8","7701","7706",386.979035960282
"h8","7701","7709",511.530006115287
"h8","7701","7713",93.0490888055788
"h8","7701","9202",132.200397729544
"h8","7701","9211",510.620535981343
"h8","7701","9302",243.35090235657
"h8","7701","9306",1108.44289120351
"h8","7701","9309",989.000217989094
"h8","7701","9509",167.394485180018
"h8","9113","7816",237.079019975988
"h8","9113","9112",266.521459082888
"h8","9113","9114",2803.93135021111
"h8","9113","9211",342.466034057923
"h8","9113","9311",230.490914194704
"h8","9201","7807",417.957093579543
"h8","9201","7816",579.733094699696
"h8","9201","9202",768.427188575521
"h8","9201","9311",541.157579626785
"h8","9201","9312",401.68504001904
"h8","9201","9505",494.897409672525
"h8","9201","9507",234.751312178433
"h8","9201","9509",513.84765855372
"h8","9203","7806",229.844198896852
"h8","9203","7808",415.79499395698
"h8","9203","9201",555.409911855207
"h8","9203","9202",268.15789693378
"h8","9203","9205",565.605959225296
"h8","9203","9212",185.983513155092
"h8","9203","9310",197.926554940423
"h8","9203","9311",166.697712242957
"h8","9203","9312",336.82568668029
"h8","9203","9402",312.951160515468
"h8","9203","9405",98.3229097589502
"h8","9203","9509",117.061091869875
"h8","9203","9510",234.417789577713
"h8","9204","7701",480.447623493181
"h8","9204","9201",884.081883968486
"h8","9204","9202",189.900088244642
"h8","9204","9205",1054.89756054241
"h8","9204","9206",571.294219715032
"h8","9204","9311",230.490914194704
"h8","9204","9407",446.207936442344
