"variable","code_sec","ressect","poidsp"
"h5","9405","7510",1396.27285511081
"h5","9405","7709",402.17828491295
"h5","9405","7712",1110.96039736789
"h5","9405","7807",195.575273759329
"h5","9405","7809",795.890792819854
"h5","9405","9106",236.820429600943
"h5","9405","9112",401.728165156535
"h5","9405","9207",305.557108230772
"h5","9405","9303",472.630584572485
"h5","9405","9404",1162.19721724178
"h6","7701","7704",369.891293837351
"h6","7701","7705",296.228956639642
"h6","7701","7706",269.949599411573
"h6","7701","7707",398.333245819
"h6","7701","7708",282.847739436242
"h6","7701","7709",154.145815590426
"h6","7701","7815",171.260331101699
"h6","7701","9309",535.200701012102
"h6","7701","9408",239.063889104222
"h6","7701","9413",238.741175842272
"h6","7701","9414",59.8666418657051
"h6","7701","9511",173.46231388778
"h6","9111","7514",947.152878318366
"h6","9111","7716",272.722327103171
"h6","9111","9101",142.836700760207
"h6","9111","9105",271.139410395344
"h6","9111","9108",170.22048570982
"h6","9111","9112",347.997128891457
"h6","9111","9113",105.42747681498
"h6","9111","9114",156.632318970653
"h6","9111","9310",186.828912691687
"h6","9111","9405",96.2316721651672
"h6","9309","7509",1247.82261645793
"h6","9309","7703",861.55167949791
"h6","9309","7709",369.080849849638
"h6","9309","7716",214.329635459852
"h6","9309","9109",109.725543488476
"h6","9309","9306",269.857384471753
"h6","9309","9307",152.423137602649
"h6","9309","9308",193.447934748479
"h6","9309","9310",232.486583110202
"h6","9309","9412",82.8597879151922
"h6","9309","9506",235.428648172535
"h6","9312","7505",322.71021762004
"h6","9312","7511",517.519343872566
"h6","9312","9101",142.836700760207
"h6","9312","9104",193.024739848897
"h6","9312","9205",235.201918732257
"h6","9312","9311",219.489373369917
"h6","9312","9501",199.818421854183
"h6","9312","9502",183.622683074211
"h6","9312","9503",186.626584244511
"h6","9312","9508",803.194430663717
"h6","9312","9509",176.250839889272
"h6","9312","9513",106.701438044649
"h6","9405","7510",1396.27285511081
"h6","9405","7709",402.17828491295
