"variable","code_sec","ressect","poidsp"
"h4","9113","9114",4269.94898811282
"h5","9113","9114",4269.94898811282
"h6","7803","7801",719.190340280144
"h6","7803","7802",293.052064364964
"h6","7803","7804",2373.7292222087
"h6","7803","9308",416.324801446017
"h6","9113","9114",4269.94898811282
"h7","7506","7504",325.639084432415
"h7","7506","7509",615.564393496093
"h7","7506","7514",738.095210086801
"h7","7506","7704",557.828251341832
"h7","7506","7705",328.027574960501
"h7","7506","7706",182.681560974196
"h7","7506","7815",156.239805292241
"h7","7506","9102",136.380489962661
"h7","7506","9104",419.996601906392
"h7","7506","9109",201.860642936152
"h7","7506","9209",373.580395779682
"h7","7506","9312",434.907972904677
"h7","7506","9402",289.459676035121
"h7","7506","9407",347.090957883548
"h7","7506","9504",170.199030287574
"h7","7507","7514",453.281469900667
"h7","7507","7705",205.733095519832
"h7","7507","9105",203.865652917881
"h7","7507","9107",1248.80412714958
"h7","7507","9113",321.528812923328
"h7","7507","9202",1095.81607044142
"h7","7507","9209",362.03206956172
"h7","7507","9305",928.538514253866
"h7","7507","9306",338.031545792965
"h7","7507","9312",331.182761112067
"h7","7507","9403",429.583243262722
"h7","7507","9406",593.089553150955
"h7","7701","7705",296.228956639642
"h7","7701","7706",541.906073268107
"h7","7701","7707",398.333245819
"h7","7701","7708",1995.49061960346
"h7","7701","9309",535.200701012102
"h7","7701","9408",239.063889104222
"h7","7701","9413",238.741175842272
"h7","7701","9414",59.8666418657051
"h7","7701","9505",148.094046025476
"h7","7803","7715",132.8543479366
"h7","7803","7801",719.190340280144
"h7","7803","7802",293.052064364964
"h7","7803","7804",1830.72103339825
"h7","7803","9308",416.324801446017
"h7","7803","9503",294.934219607822
"h7","9111","7514",947.152878318366
"h7","9111","7813",151.681854408246
"h7","9111","9102",285.743492341553
"h7","9111","9105",271.139410395344
"h7","9111","9106",441.504784628391
"h7","9111","9107",233.268091912315
"h7","9111","9108",170.22048570982
"h7","9111","9110",171.51622438443
"h7","9111","9113",275.836824602491
"h7","9111","9310",224.430477735754
"h7","9111","9510",321.265345328421
"h7","9113","9114",4269.94898811282
"h7","9201","7810",70.4539250320523
"h7","9201","9104",442.062486075778
"h7","9201","9302",106.237886485192
"h7","9201","9305",499.526046807906
"h7","9201","9310",333.447573100422
"h7","9201","9311",469.133879950947
"h7","9201","9412",134.25955126164
"h7","9201","9501",865.034198866884
"h7","9201","9502",153.593012726294
"h7","9201","9504",425.737133625988
"h7","9312","7703",518.63381217339
"h7","9312","7716",503.688200386107
"h7","9312","7813",188.647733462761
"h7","9312","9307",280.080581131328
"h7","9312","9308",169.313137305208
"h7","9312","9310",272.645783094273
"h7","9312","9413",352.043794995284
"h7","9312","9502",183.622683074211
"h7","9312","9503",186.626584244511
"h7","9312","9508",456.451302701807
"h7","9312","9509",176.250839889272
"h7","9312","9513",106.701438044649
"h8","7501","7512",894.902476264806
"h8","7501","7702",454.734607904391
"h8","7501","7707",170.346825290406
"h8","7501","7708",568.771834325007
"h8","7501","7801",487.930296255281
"h8","7501","9105",558.290294377097
"h8","7501","9108",214.70825090807
"h8","7501","9203",200.33633180677
"h8","7501","9209",967.072815661203
"h8","7501","9302",129.366469212116
"h8","7501","9307",127.73403957558
"h8","7501","9310",334.606321989854
"h8","7501","9503",254.788283140795
"h8","7501","9504",170.199030287574
"h8","7501","9506",65.7910591502236
"h8","7501","9507",164.089540688547
"h8","7502","7506",337.192072178542
"h8","7502","7514",570.412832627277
"h8","7502","7702",501.365875460677
"h8","7502","7703",431.449674653569
"h8","7502","7706",169.296582603926
"h8","7502","7712",422.910165693472
"h8","7502","7803",392.280685543553
"h8","7502","7806",122.89351560791
"h8","7502","7807",401.764526872968
"h8","7502","7810",145.976183405189
"h8","7502","9109",184.274493274583
"h8","7502","9113",169.265737139213
"h8","7502","9202",267.454119440598
"h8","7502","9203",359.833453329305
"h8","7502","9206",679.54465715888
"h8","7502","9208",697.765740520264
"h8","7502","9302",276.368540492423
"h8","7502","9303",359.076997410033
"h8","7502","9304",805.112656817774
"h8","7502","9308",303.314002310338
"h8","7502","9402",268.35069619497
"h8","7502","9403",685.458546704944
"h8","7502","9405",237.009873415599
"h8","7502","9407",474.388418739588
"h8","7502","9414",95.8080434858755
"h8","7502","9505",570.029641791726
"h8","7502","9509",380.83046369117
"h8","7502","9511",524.118936839366
"h8","7503","7502",455.494052029921
"h8","7503","7511",643.895021370666
"h8","7503","7512",348.005957127175
"h8","7503","7513",482.993252390164
"h8","7503","7703",198.014864158635
"h8","7503","7706",71.8479790634697
"h8","7503","7708",399.164530347017
"h8","7503","7709",190.01571314303
"h8","7503","7710",283.555201923294
"h8","7503","7712",413.721245366002
"h8","7503","7713",56.7726004902876
"h8","7503","7714",176.900145948679
"h8","7503","7715",100.865626091083
"h8","7503","7716",118.224691029478
"h8","7503","7801",311.892812051708
"h8","7503","7804",357.442413748459
"h8","7503","7815",398.475289494435
"h8","7503","9102",150.661734494224
"h8","7503","9203",496.483482541038
"h8","7503","9310",186.828912691687
"h8","7503","9311",657.386407571571
"h8","7503","9406",289.476595758496
"h8","7503","9407",473.301725911026
"h8","7503","9409",607.485438364738
"h8","7503","9413",106.203188796791
"h8","7503","9503",281.377068125713
"h8","7503","9508",1590.64901688891
"h8","7503","9513",186.735897768439
"h8","7504","7508",471.336508232621
"h8","7504","7512",607.627557809954
"h8","7504","7513",846.514387456091
"h8","7504","7514",371.756853884135
"h8","7504","7708",1218.41046422279
"h8","7504","9203",437.869875595689
"h8","7504","9304",1767.43604958127
"h8","7504","9307",169.999574915962
"h8","7504","9312",606.607906762663
"h8","7504","9413",306.671967793692
"h8","7504","9503",281.377068125713
"h8","7504","9510",325.66477766656
"h8","7504","9513",221.026623031237
"h8","7506","7504",325.639084432415
"h8","7506","7509",615.564393496093
"h8","7506","7514",738.095210086801
"h8","7506","7704",557.828251341832
"h8","7506","7705",328.027574960501
"h8","7506","7706",182.681560974196
"h8","7506","7711",348.063142767715
"h8","7506","7713",64.2665294667268
"h8","7506","7715",148.023729330274
"h8","7506","7805",622.097218083443
