"variable","CODE_SEC","RES_SEC","W_IND"
"h10","001","002",52.572
"h10","001","003",102.729
"h10","001","005",22.725
"h10","001","008",27.273
"h10","001","009",29.569
"h10","001","010",20.219
"h10","001","011",26.511
"h10","001","012",32.61
"h10","001","013",13.932
"h10","001","015",14.047
"h10","006","002",35.32
"h10","006","003",51.474
"h10","006","005",11.532
"h10","006","007",13.092
"h10","006","008",86.699
"h10","006","009",24.165
"h10","006","011",10.493
"h10","006","012",20.5
"h10","006","015",15.605
"h11","001","002",90.74
"h11","001","005",138.981
"h11","001","006",53.484
"h11","001","008",66.517
"h11","001","011",25.541
"h11","001","015",25.751
"h12","001","002",67.983
"h12","001","003",142.881
"h12","001","004",9.907
"h12","001","005",119.164
"h12","001","006",24.572
"h12","001","007",48.158
"h12","001","008",35.484
"h12","001","010",12.278
"h12","001","011",77.815
"h12","001","012",69.403
"h12","001","013",32.135
"h12","001","014",26.781
"h12","001","015",85.517
"h12","003","002",18.804
"h12","003","004",14.095
"h12","003","005",19.805
"h12","003","006",19.341
"h12","003","011",30.496
"h12","003","012",34.709
"h12","003","013",52.525
"h12","003","014",7.01
"h13","001","002",16.516
"h13","001","003",135.476
"h13","001","004",10.392
"h13","001","007",218.856
"h13","001","008",94.255
"h13","001","009",18.97
"h13","001","010",14.285
"h13","001","011",25.541
"h13","001","012",46.804
"h13","001","013",32.135
"h13","001","015",10.611
"h13","003","001",47.29
"h13","003","002",17.252
"h13","003","004",28.19
"h13","003","005",20.549
"h13","003","006",19.341
"h13","003","011",7.606
"h13","003","013",80.855
"h14","001","002",146.134
"h14","001","003",152.363
"h14","001","004",46.752
"h14","001","005",132.852
"h14","001","006",66.515
"h14","001","007",75.611
"h14","001","008",244.539
"h14","001","009",91.426
"h14","001","010",84.296
"h14","001","011",15.048
"h14","001","012",96.549
"h14","001","013",11.947
"h14","001","014",62.767
"h14","001","015",10.611
"h14","002","001",66.399
"h14","002","003",95.929
"h14","002","004",12.911
"h14","002","005",25.771
"h14","002","006",29.127
"h14","002","007",51.806
"h14","002","010",106.439
"h14","002","011",10.493
"h14","002","012",34.709
"h14","002","014",6.894
"h14","003","001",159.983
"h14","003","002",35.253
"h14","003","004",25.155
"h14","003","005",18.608
"h14","003","006",43.913
"h14","003","007",13.092
"h14","003","010",13.799
"h14","003","011",7.606
"h14","003","013",13.932
"h14","003","014",6.894
"h14","003","015",25.096
"h14","006","001",19.13
"h14","006","002",36.805
"h14","006","003",114.614
"h14","006","004",40.866
"h14","006","007",107.414
"h14","006","008",144.138
"h14","006","010",14.285
"h14","006","011",10.493
"h14","006","013",24.433
"h14","006","014",21.924
"h14","008","001",44.823
"h14","008","002",61.36
"h14","008","004",24.805
"h14","008","006",63.263
"h14","008","010",12.278
"h14","008","011",7.801
"h14","008","012",45.643
"h14","008","013",20.95
"h15","001","002",105.144
"h15","001","003",98.712
"h15","001","004",30.691
"h15","001","005",143.407
"h15","001","006",44.586
"h15","001","007",147.817
"h15","001","008",169.742
"h15","001","009",109.346
"h15","001","010",82.562
"h15","001","011",15.048
"h15","001","012",123.957
"h15","001","014",47.62
"h15","001","015",21.977
"h15","002","001",96.188
"h15","002","003",95.929
"h15","002","004",23.303
"h15","002","005",58.011
"h15","002","006",29.127
"h15","002","007",71.917
"h15","002","010",22.226
"h15","002","011",69.044
"h15","002","013",24.433
"h15","002","014",22.041
"h15","002","015",28.094
"h15","003","001",141.752
"h15","003","002",35.253
"h15","003","004",42.05
"h15","003","005",9.376
"h15","003","006",19.341
"h15","003","008",20.017
"h15","003","010",13.799
"h15","003","011",7.606
"h15","003","012",31.329
"h15","003","014",23.116
"h15","003","015",25.096
"h15","006","001",19.13
"h15","006","002",36.805
"h15","006","003",114.614
"h15","006","004",51.258
"h15","006","007",49.781
"h15","006","008",54.546
"h15","006","010",14.285
"h15","006","011",21.956
"h15","006","012",25.143
"h15","006","014",21.924
"h15","008","001",44.823
"h15","008","002",61.36
"h15","008","004",24.805
"h15","008","007",41.695
"h15","008","010",36.834
"h15","008","011",7.801
"h15","008","012",69.3
"h15","008","013",20.95
"h15","008","014",15.147
"h16","001","002",159.902
"h16","001","003",121.469
"h16","001","004",10.392
"h16","001","005",149.182
"h16","001","006",59.936
"h16","001","007",130.945
"h16","001","008",68.627
"h16","001","009",56.923
"h16","001","010",14.285
"h16","001","012",32.61
"h16","001","013",32.105
"h16","001","014",46.603
"h16","002","001",83.083
"h16","002","003",138.026
"h16","002","004",20.784
"h16","002","005",154.788
"h16","002","006",24.572
"h16","002","007",32.076
"h16","002","010",21.74
"h16","002","011",15.048
"h16","002","015",14.047
"h16","003","001",29.059
"h16","003","004",27.955
"h16","003","005",9.376
"h16","003","006",19.341
"h16","003","008",109.609
"h16","003","010",14.285
"h16","003","012",76.109
"h16","003","015",37.566
"h16","006","001",18.681
"h16","006","002",18.001
"h16","006","003",114.614
"h16","006","004",78.175
"h16","006","007",125.741
"h16","006","008",54.546
"h16","006","009",17.92
"h16","006","010",14.285
"h16","006","011",10.493
"h16","008","001",18.67
"h16","008","004",14.413
"h16","008","006",117.523
"h16","008","007",49.883
"h16","008","009",41.498
"h16","008","010",51.119
"h16","008","011",18.977
"h16","008","012",44.157
"h16","008","013",58.153
"h16","008","014",15.205
"h17","001","002",115.557
"h17","001","003",170.779
"h17","001","004",13.542
"h17","001","005",11.193
"h17","001","006",89.936
"h17","001","007",58.573
"h17","001","008",41.585
"h17","001","009",53.704
"h17","001","010",14.285
"h17","001","012",32.61
"h17","001","014",22.215
"h17","002","001",57.39
"h17","002","003",93.571
"h17","002","004",10.392
"h17","002","007",148.446
