"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"69.1284298287276";"69.1284298287276";"69.1284298287276";"69.1284298287276";"69.1284298287276";"69.1284298287276";"69.1284298287276";"69.1284298287276";"69.1284298287276";"69.1284298287276";"69.1284298287276";"69.1284298287276";"69.1284298287276";"69.1284298287276";"69.1284298287276"
"4am";"37.96603";"37.65479";"49.28662";"49.31689";"51.31107";"51.72866";"62.64108";"50.07981";"67.56866";"53.92570";"46.33418";"56.06242";"56.41226";"64.80586";"60.15344"
"5am";"38.34972";"37.65479";"49.10847";"50.11797";"51.14737";"52.71492";"60.19231";"50.26081";"67.03590";"52.63089";"45.92966";"55.75667";"57.71030";"64.80586";"59.87631"
"6am";"38.00613";"38.61730";"49.48061";"48.99544";"50.69199";"51.63261";"58.42593";"51.29118";"65.61236";"53.13539";"45.58073";"54.25015";"58.28567";"64.80671";"59.87631"
"7am";"37.65513";"45.52803";"48.58806";"45.14129";"50.91590";"51.41354";"62.76094";"52.00394";"62.26340";"54.75362";"44.79443";"48.90339";"55.95782";"65.22317";"54.79742"
"8am";"40.02367";"55.11592";"54.60622";"38.96106";"59.73757";"40.95486";"51.50978";"53.13132";"48.11473";"45.19958";"56.75640";"48.92770";"52.99135";"67.50910";"51.04206"
"9am";"42.31993";"55.37056";"54.12766";"43.88162";"60.74896";"40.65141";"48.39269";"52.12680";"48.29114";"41.90372";"56.26892";"49.39214";"52.99632";"64.26845";"55.51239"
"10am";"42.86257";"52.73853";"57.84355";"44.68586";"64.76560";"40.95619";"48.45970";"52.99605";"46.96363";"40.60916";"55.99523";"47.03953";"50.57549";"54.67119";"54.59907"
"11am";"44.90407";"49.50029";"52.86540";"47.42044";"61.45295";"44.71435";"44.67320";"51.04196";"48.88187";"43.60520";"59.26067";"50.10932";"50.31998";"69.12843";"48.75613"
"12am";"39.64326";"37.34862";"51.35624";"54.44671";"53.66647";"46.07099";"52.76248";"52.79961";"54.25302";"50.42378";"48.46174";"52.51868";"54.85977";"66.10192";"58.30634"
"1pm";"44.26066";"50.68202";"54.11699";"50.39184";"55.54501";"40.17628";"50.43741";"48.54098";"49.86290";"47.46776";"49.95120";"48.53326";"49.10401";"65.93898";"57.25674"
"2pm";"43.04498";"54.20520";"56.86533";"43.51672";"58.20148";"37.45573";"52.18588";"52.02223";"53.20738";"43.79864";"56.26089";"52.35035";"47.94642";"57.51553";"58.57753"
"3pm";"43.61784";"55.59294";"55.32403";"44.04273";"51.12953";"37.78168";"54.58055";"49.88394";"51.40530";"42.46365";"52.95481";"56.39469";"48.49242";"62.58846";"58.02285"
"4pm";"41.39181";"52.81206";"58.28043";"40.26332";"49.63839";"36.29741";"53.17495";"50.02816";"53.42915";"45.71934";"54.92722";"52.77234";"53.33458";"63.93206";"57.12009"
"5pm";"47.48111";"45.12078";"56.09266";"46.80474";"44.71865";"40.98132";"54.96642";"49.01175";"60.87435";"50.52341";"50.61860";"58.03560";"54.59528";"59.84097";"54.46266"
"6pm";"47.73528";"43.74723";"51.12470";"54.49079";"43.82450";"51.98818";"48.34622";"50.97095";"66.40211";"45.53696";"48.01681";"52.57993";"51.50788";"62.54565";"54.27698"
"7pm";"45.30994";"43.26168";"47.70017";"50.27301";"48.19628";"54.71907";"56.54514";"48.61300";"66.61701";"48.35642";"51.41538";"53.33657";"56.49011";"56.15491";"57.67422"
"8pm";"44.13715";"41.53554";"48.07712";"50.68586";"48.30783";"51.69059";"56.75359";"51.01981";"66.31195";"47.49056";"50.21278";"56.30865";"57.52958";"57.41531";"59.34171"
"9pm";"41.90400";"41.95510";"47.28871";"51.32484";"49.34147";"52.83809";"57.68746";"49.17313";"67.48328";"47.51748";"51.06284";"55.80083";"57.76545";"60.07610";"58.36068"
"10pm";"40.08761";"41.58271";"47.86078";"49.66710";"50.25546";"51.88506";"59.25667";"48.79346";"67.81780";"49.06989";"52.07353";"55.38436";"57.72314";"64.40782";"59.60396"
"11pm";"39.35210";"38.90602";"48.53244";"49.24998";"51.06407";"51.53377";"60.33377";"50.75271";"67.16973";"49.28873";"51.47816";"56.36224";"57.44702";"63.94733";"59.56101"
"12pm";"38.76637";"38.90602";"48.22184";"50.68563";"51.06407";"51.84771";"60.47772";"50.98328";"68.00894";"49.49708";"51.09922";"56.36224";"57.55999";"63.94733";"59.80326"
"1am";"37.41021";"36.31790";"49.09269";"50.82423";"51.06407";"52.03891";"61.97337";"50.98328";"68.21236";"49.49708";"51.09922";"56.36224";"57.55999";"64.03186";"59.80326"
"2am";"37.58272";"36.31790";"49.09269";"50.82423";"51.06407";"52.03891";"62.10662";"50.73454";"68.21236";"49.49708";"51.09922";"56.36224";"57.55999";"64.03186";"59.80326"
"3am";"37.58272";"36.31790";"47.33151";"50.82423";"51.06407";"52.03891";"62.10662";"50.26702";"68.21236";"53.63821";"51.09922";"56.36224";"57.55999";"64.03186";"59.80326"
