"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853";"56.853"
"max";"3100.18";"3100.18";"3100.18";"3100.18";"3100.18";"3100.18";"3100.18";"3100.18";"3100.18";"3100.18";"3100.18";"3100.18";"3100.18";"3100.18";"3100.18"
"4am";"458.109";"262.739";"802.404";"455.309";"193.457";"721.025";"561.312";"519.596";"222.055";"246.568";"444.915";"492.778";"447.683";"199.331";"176.367"
"5am";"458.109";"262.739";"802.404";"455.309";"193.457";"721.025";"464.700";"519.596";"222.055";"246.568";"444.915";"492.778";"544.295";"199.331";"176.367"
"6am";"469.302";"262.739";"750.930";"420.016";"182.264";"721.025";"516.174";"519.596";"222.055";"246.568";"444.915";"492.778";"544.295";"184.126";"176.367"
"7am";"409.746";"301.506";"826.976";"381.716";"182.264";"696.453";"464.700";"550.589";"243.005";"232.573";"395.655";"440.949";"523.345";"184.126";"163.053"
"8am";"391.235";"315.791";"747.546";"399.697";"171.071";"667.326";"532.982";"654.609";"243.005";"189.718";"388.013";"399.873";"536.256";"184.126";"152.004"
"9am";"435.395";"235.516";"758.595";"449.552";"152.047";"591.290";"518.070";"675.688";"229.666";"166.194";"425.071";"464.575";"515.306";"179.454";"137.957"
"10am";"483.960";"193.718";"643.224";"395.356";"171.071";"671.438";"479.155";"618.141";"243.005";"204.003";"426.017";"464.575";"536.256";"224.782";"149.006"
"11am";"408.232";"227.486";"784.847";"379.367";"171.071";"638.199";"496.027";"590.988";"222.055";"209.049";"439.397";"460.434";"511.823";"197.668";"163.053"
"12am";"379.787";"262.739";"760.275";"381.716";"193.457";"691.898";"506.829";"566.555";"222.055";"218.288";"441.065";"420.400";"557.206";"184.126";"176.367"
"1pm";"536.467";"261.428";"722.115";"373.461";"182.264";"612.954";"482.935";"603.100";"235.147";"261.700";"411.732";"420.400";"460.594";"186.293";"149.739"
"2pm";"522.535";"223.630";"805.997";"393.785";"154.812";"702.703";"427.435";"589.946";"235.147";"261.700";"411.318";"449.538";"436.161";"163.779";"136.425"
"3pm";"497.207";"304.035";"768.318";"377.985";"171.071";"676.600";"482.451";"557.502";"194.701";"261.700";"400.825";"398.697";"421.348";"117.739";"177.821"
"4pm";"505.912";"333.231";"707.697";"326.295";"181.463";"711.707";"447.518";"583.743";"204.135";"252.461";"420.557";"483.185";"442.298";"117.739";"135.692"
"5pm";"410.984";"284.382";"784.013";"391.411";"171.071";"719.857";"550.510";"539.300";"204.135";"275.695";"426.366";"503.685";"474.724";"175.491";"149.006"
"6pm";"429.654";"277.944";"802.404";"495.900";"170.732";"728.200";"561.312";"483.281";"204.135";"246.568";"437.273";"530.796";"423.250";"175.491";"176.367"
"7pm";"458.109";"277.944";"827.649";"442.398";"193.457";"695.780";"561.312";"492.323";"222.055";"246.568";"444.915";"492.778";"423.250";"190.696";"176.367"
"8pm";"458.109";"277.944";"802.404";"442.398";"193.457";"721.025";"561.312";"472.306";"222.055";"261.616";"429.867";"512.795";"423.250";"190.696";"176.367"
"9pm";"458.109";"262.739";"802.404";"442.398";"193.457";"721.025";"561.312";"499.579";"222.055";"261.616";"429.867";"512.795";"423.250";"205.901";"176.367"
"10pm";"458.109";"262.739";"802.404";"442.398";"204.989";"721.025";"561.312";"519.596";"222.055";"261.616";"429.867";"492.778";"447.683";"205.901";"176.367"
"11pm";"458.109";"262.739";"802.404";"455.309";"204.989";"721.025";"561.312";"519.596";"222.055";"261.616";"429.867";"492.778";"447.683";"205.901";"176.367"
"12pm";"458.109";"262.739";"802.404";"455.309";"204.989";"721.025";"561.312";"519.596";"222.055";"246.568";"444.915";"492.778";"447.683";"205.901";"176.367"
"1am";"458.109";"262.739";"802.404";"455.309";"204.989";"721.025";"561.312";"519.596";"222.055";"246.568";"444.915";"492.778";"447.683";"205.901";"176.367"
"2am";"458.109";"262.739";"802.404";"455.309";"204.989";"721.025";"561.312";"519.596";"222.055";"246.568";"444.915";"492.778";"447.683";"205.901";"176.367"
"3am";"458.109";"262.739";"802.404";"455.309";"204.989";"721.025";"561.312";"519.596";"222.055";"246.568";"444.915";"492.778";"447.683";"205.901";"176.367"
