"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"2199.884";"2199.884";"2199.884";"2199.884";"2199.884";"2199.884";"2199.884";"2199.884";"2199.884";"2199.884";"2199.884";"2199.884";"2199.884";"2199.884";"2199.884"
"4am";" 0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0"
"5am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0"
"6am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0"
"7am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8am";" 703.433";" 680.034";"1030.828";"   0.000";"   0.000";"   0.000";"   0.000";" 337.393";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"9am";" 783.422";" 680.034";"1063.973";"   0.000";"   0.000";"   0.000";"   0.000";" 339.440";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"10am";" 755.543";" 626.839";"1076.004";"   0.000";"   0.000";" 241.474";"   0.000";" 413.437";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"11am";"713.294";"396.909";"711.166";"  0.000";"  0.000";"  0.000";"  0.000";"271.796";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"12am";"550.852";"  0.000";"373.861";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"1pm";"573.783";"683.116";"620.162";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"2pm";"673.572";"744.502";"743.673";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"3pm";"629.591";"797.652";"785.420";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"4pm";"659.691";"925.197";"717.688";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"5pm";"508.525";"397.092";"622.933";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"6pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"7pm";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0"
"8pm";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"9pm";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"10pm";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"11pm";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";"0";"0";"0";" 0"
"12pm";" 0";" 0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";"0";"0";"0";"0";" 0"
"1am";" 0";" 0";"0";"0";"0";"0";"0";" 0";" 0";" 0";"0";"0";"0";"0";" 0"
"2am";" 0";" 0";"0";"0";"0";"0";"0";" 0";" 0";" 0";"0";"0";"0";"0";" 0"
"3am";" 0";" 0";"0";"0";"0";"0";"0";"0";" 0";" 0";"0";"0";"0";"0";" 0"
