"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"6.894";"6.894";"6.894";"6.894";"6.894";"6.894";"6.894";"6.894";"6.894";"6.894";"6.894";"6.894";"6.894";"6.894";"6.894"
"max";"4851.135";"4851.135";"4851.135";"4851.135";"4851.135";"4851.135";"4851.135";"4851.135";"4851.135";"4851.135";"4851.135";"4851.135";"4851.135";"4851.135";"4851.135"
"4am";" 690.455";" 628.863";"1564.573";" 398.258";" 321.092";"1258.064";" 636.212";" 955.458";" 380.197";" 271.401";" 298.848";" 604.051";" 586.157";" 313.277";" 417.126"
"5am";" 690.455";" 628.863";"1464.894";" 447.568";" 321.092";"1258.064";" 636.212";" 955.458";" 380.197";" 271.401";" 298.848";" 604.051";" 586.157";" 313.277";" 389.051"
"6am";" 675.534";" 664.655";"1429.102";" 440.791";" 321.092";"1236.135";" 706.451";" 955.458";" 362.514";" 271.401";" 275.958";" 499.103";" 593.763";" 313.277";" 389.051"
"7am";" 866.379";" 632.810";"1466.219";" 513.768";" 238.046";"1156.105";" 684.871";" 817.040";" 190.631";" 184.888";" 278.594";" 394.375";" 490.760";" 259.536";" 294.883"
"8am";"1117.283";"1074.591";"1942.551";" 366.753";" 135.388";" 566.169";" 277.492";" 594.503";" 125.792";" 149.561";" 247.650";" 343.400";" 502.061";" 131.967";" 140.329"
"9am";"1135.809";"1021.270";"1975.696";" 389.443";" 135.388";" 487.959";" 285.350";" 596.550";" 149.370";" 149.561";" 322.222";" 302.400";" 425.775";" 131.967";" 140.329"
"10am";"1187.624";" 951.559";"1845.297";" 409.422";" 114.344";" 607.947";" 249.392";" 650.530";" 149.370";" 149.561";" 237.951";" 245.457";" 451.817";" 167.923";" 124.405"
"11am";"1099.130";" 723.181";"1480.459";" 769.606";" 153.841";" 765.412";" 237.559";" 595.758";" 149.370";" 135.276";" 259.261";" 277.807";" 416.772";" 125.397";" 124.724"
"12am";" 967.681";" 654.622";"1232.165";" 753.972";" 188.787";" 613.010";" 274.096";" 927.601";" 259.848";" 207.997";" 232.639";" 201.148";" 540.622";" 255.152";" 222.621"
"1pm";" 954.150";"1079.158";"1499.594";" 642.452";" 171.806";" 464.427";" 294.706";" 590.138";" 194.699";" 183.533";" 234.852";" 204.528";" 497.146";" 220.545";" 172.946"
"2pm";" 981.537";"1123.292";"1636.823";" 314.964";" 151.237";" 426.988";" 283.904";" 548.729";" 198.163";" 195.301";" 195.621";" 541.865";" 472.713";" 189.142";" 155.934"
"3pm";" 938.005";"1131.989";"1413.454";" 326.604";" 207.222";" 503.236";" 255.529";" 569.876";" 163.049";" 168.350";" 203.086";" 523.296";" 424.811";" 191.741";" 155.934"
"4pm";"1002.718";"1251.469";"1354.818";" 351.003";" 211.644";" 507.512";" 245.413";" 557.422";" 148.905";" 162.416";" 254.404";" 563.080";" 480.620";" 224.584";" 184.038"
"5pm";" 880.531";" 755.647";"1488.164";" 480.297";" 274.183";" 510.502";" 664.650";" 579.633";" 214.331";" 181.267";" 347.933";" 690.644";" 423.271";" 292.465";" 207.798"
"6pm";" 721.554";" 641.439";"1763.752";" 887.897";" 250.023";"1298.572";" 218.592";" 693.582";" 279.757";" 181.974";" 276.892";" 401.954";" 510.964";" 271.593";" 295.861"
"7pm";" 927.503";" 707.896";"1465.909";" 360.912";" 297.398";"1308.582";" 622.191";" 700.974";" 349.555";" 251.182";" 298.848";" 457.040";" 518.145";" 306.707";" 380.529"
"8pm";" 766.647";" 688.631";"1565.078";" 385.347";" 270.287";"1301.594";" 610.409";" 840.092";" 338.701";" 221.862";" 283.429";" 583.551";" 539.588";" 306.707";" 392.999"
"9pm";" 777.639";" 711.086";"1593.181";" 385.347";" 278.775";"1301.594";" 610.409";" 862.021";" 338.701";" 221.862";" 283.429";" 583.551";" 564.211";" 299.697";" 392.999"
"10pm";" 736.989";" 694.406";"1542.983";" 385.347";" 338.349";"1267.253";" 636.212";" 849.878";" 380.197";" 229.803";" 283.429";" 583.551";" 578.252";" 299.697";" 417.126"
"11pm";" 675.833";" 646.864";"1589.145";" 398.258";" 360.735";"1226.982";" 636.212";" 990.942";" 380.197";" 271.401";" 283.429";" 604.051";" 542.768";" 306.707";" 417.126"
"12pm";" 675.833";" 646.864";"1589.145";" 398.258";" 360.735";"1211.563";" 636.212";" 990.942";" 380.197";" 271.401";" 298.848";" 604.051";" 586.157";" 306.707";" 417.126"
"1am";" 675.833";" 646.864";"1564.573";" 398.258";" 360.735";"1236.135";" 636.212";" 990.942";" 380.197";" 271.401";" 298.848";" 604.051";" 586.157";" 313.277";" 417.126"
"2am";" 690.754";" 646.864";"1564.573";" 398.258";" 360.735";"1236.135";" 636.212";" 990.942";" 380.197";" 271.401";" 298.848";" 604.051";" 586.157";" 313.277";" 417.126"
"3am";" 690.754";" 646.864";"1564.573";" 398.258";" 360.735";"1236.135";" 636.212";" 990.942";" 380.197";" 271.401";" 298.848";" 604.051";" 586.157";" 313.277";" 417.126"
