"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"0.242411882190779";"0.242411882190779";"0.242411882190779";"0.242411882190779";"0.242411882190779";"0.242411882190779";"0.242411882190779";"0.242411882190779";"0.242411882190779";"0.242411882190779";"0.242411882190779";"0.242411882190779";"0.242411882190779";"0.242411882190779";"0.242411882190779"
"max";"68.465472190659";"68.465472190659";"68.465472190659";"68.465472190659";"68.465472190659";"68.465472190659";"68.465472190659";"68.465472190659";"68.465472190659";"68.465472190659";"68.465472190659";"68.465472190659";"68.465472190659";"68.465472190659";"68.465472190659"
"4am";"7.1465011";"3.6170011";"4.9167890";"3.2988946";"0.8304465";"8.6771878";"6.5380422";"7.7013997";"4.3655098";"4.6295892";"5.1177676";"3.4452552";"2.8724925";"0.2583213";"2.9989042"
"5am";"7.0980673";"3.6170011";"4.9350547";"3.2442605";"0.8333473";"8.4878294";"6.9796286";"7.6732386";"4.4382776";"4.7641831";"5.1589099";"3.4696923";"2.7847417";"0.2583213";"3.0202785"
"6am";"7.0897494";"3.6105821";"4.9530356";"3.1317213";"0.8414210";"8.3153846";"7.0500715";"7.8185251";"4.7068495";"4.8676212";"5.1944319";"3.7002136";"2.7663261";"0.2740198";"3.0202785"
"7am";"4.4348376";"5.1285164";"5.0088034";"3.1636293";"1.0510079";"7.7875099";"6.6405872";"8.3944463";"5.5129634";"6.4686034";"4.2609693";"4.4667965";"3.2942837";"0.3591252";"3.4667284"
"8am";"3.9598338";"4.4983207";"4.7287628";"2.7543835";"1.0278921";"9.6534189";"6.5879112";"7.4676507";"7.4055411";"8.1823227";"5.8517511";"5.5150503";"3.7392271";"0.4566283";"5.2928037"
"9am";" 3.885505";" 3.545101";" 4.639605";" 2.460662";" 2.469058";"10.205837";" 7.067712";" 7.072230";" 7.731413";" 8.446468";" 8.293510";" 5.236407";" 4.069528";" 0.451472";" 5.853548"
"10am";"3.7296641";"5.5422172";"4.2767854";"3.3033358";"1.1545268";"9.1073857";"6.9690326";"6.8657535";"7.7630482";"8.3948674";"8.3677168";"5.4302369";"3.3853678";"0.3564651";"6.0798028"
"11am";"2.8733724";"5.1957220";"4.8416257";"2.4723217";"1.1394107";"9.6714244";"7.4888567";"7.8596749";"6.6423606";"7.3306667";"7.3612270";"5.0831524";"3.9275379";"0.4392056";"5.5562565"
"12am";"3.163953";"6.001259";"5.486973";"2.345677";"1.088230";"8.435523";"7.408680";"7.746110";"5.654859";"6.828186";"6.525458";"4.557329";"3.572318";"0.338345";"4.618436"
