"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"6207.887";"6207.887";"6207.887";"6207.887";"6207.887";"6207.887";"6207.887";"6207.887";"6207.887";"6207.887";"6207.887";"6207.887";"6207.887";"6207.887";"6207.887"
"4am";" 78.237";" 55.797";"282.657";"177.906";" 78.584";" 76.252";"410.537";" 47.567";" 42.420";"370.776";" 50.902";" 37.019";" 74.236";" 42.991";" 48.724"
"5am";" 78.237";" 55.797";"282.657";"177.906";" 78.584";" 76.252";"410.537";" 47.567";" 42.420";"370.776";" 50.902";" 37.019";" 74.236";" 42.991";" 48.724"
"6am";" 78.237";" 55.797";"225.445";"177.906";" 78.584";" 76.252";"338.077";" 47.567";" 21.210";"370.776";" 39.726";" 37.019";" 51.186";" 42.991";" 48.724"
"7am";"320.066";"116.077";"154.931";"134.757";" 58.011";" 56.867";"241.465";" 85.298";"  0.000";"  0.000";" 37.784";" 37.019";" 32.746";"  0.000";" 10.611"
"8am";"540.789";"212.689";"114.660";"134.757";" 58.011";" 40.551";"213.135";" 85.298";"  0.000";"  0.000";" 30.178";"  0.000";"  0.000";"  0.000";" 10.611"
"9am";"537.380";"181.066";"132.877";"131.069";" 98.282";" 40.551";"213.135";" 85.298";"  0.000";"  0.000";" 30.178";"  0.000";"  0.000";"  0.000";"  0.000"
"10am";"553.141";"164.550";"132.877";"131.069";" 98.282";" 40.551";"356.054";" 85.298";"  0.000";"  0.000";" 30.178";"  0.000";"  0.000";"  0.000";"  0.000"
"11am";"475.236";" 83.045";"132.877";"141.461";" 98.282";" 40.551";"339.182";" 20.525";"  0.000";"  0.000";" 30.178";"  0.000";"  0.000";"  0.000";"  0.000"
"12am";"338.577";" 75.439";"132.877";"118.411";" 98.282";"153.336";"339.182";" 20.525";"  0.000";"  0.000";" 30.178";" 23.874";"  0.000";"  0.000";"  0.000"
"1pm";"285.375";" 45.261";"122.266";" 56.288";" 98.282";"153.336";"204.114";"  0.000";" 30.178";"  0.000";"  0.000";" 23.874";"  0.000";" 10.802";" 21.812"
"2pm";"229.787";" 45.261";"101.091";"108.019";"107.452";" 40.551";"159.416";"  0.000";" 30.178";"  0.000";" 32.120";"  0.000";"  0.000";" 10.802";" 21.812"
"3pm";"268.213";"113.664";"101.091";"114.143";"  9.170";" 40.551";"231.876";"  0.000";" 30.178";" 98.498";" 60.942";"  0.000";"  0.000";"  0.000";"  0.000"
"4pm";"172.933";"136.429";"117.254";"114.143";"  9.170";" 55.824";"305.807";" 20.525";" 30.178";" 98.498";" 60.942";" 37.019";" 21.058";"  0.000";"  0.000"
"5pm";"151.154";" 72.438";" 97.483";" 99.373";" 67.181";" 19.341";"410.537";" 20.525";" 51.388";"177.266";"100.668";" 37.019";" 95.294";" 42.991";" 48.724"
"6pm";"169.835";" 78.562";"189.086";"177.906";" 78.584";" 76.252";"410.537";" 20.525";" 51.388";"397.241";"111.844";" 37.019";" 74.236";" 42.991";" 48.724"
"7pm";"136.810";" 78.562";"189.086";"177.906";" 78.584";" 76.252";"410.537";" 20.525";" 42.420";"370.776";" 50.902";" 37.019";" 74.236";" 42.991";" 48.724"
"8pm";"136.810";" 55.797";"282.657";"177.906";" 78.584";" 76.252";"410.537";" 47.567";" 42.420";"370.776";" 50.902";" 37.019";" 74.236";" 42.991";" 48.724"
"9pm";" 78.237";" 55.797";"282.657";"177.906";" 78.584";" 76.252";"410.537";" 47.567";" 42.420";"370.776";" 50.902";" 37.019";" 74.236";" 42.991";" 48.724"
"10pm";" 78.237";" 55.797";"282.657";"177.906";" 78.584";" 76.252";"410.537";" 47.567";" 42.420";"370.776";" 50.902";" 37.019";" 74.236";" 42.991";" 48.724"
"11pm";" 78.237";" 55.797";"282.657";"177.906";" 78.584";" 76.252";"410.537";" 47.567";" 42.420";"370.776";" 50.902";" 37.019";" 74.236";" 42.991";" 48.724"
"12pm";" 78.237";" 55.797";"282.657";"177.906";" 78.584";" 76.252";"410.537";" 47.567";" 42.420";"370.776";" 50.902";" 37.019";" 74.236";" 42.991";" 48.724"
"1am";" 78.237";" 55.797";"282.657";"177.906";" 78.584";" 76.252";"410.537";" 47.567";" 42.420";"370.776";" 50.902";" 37.019";" 74.236";" 42.991";" 48.724"
"2am";" 78.237";" 55.797";"282.657";"177.906";" 78.584";" 76.252";"410.537";" 47.567";" 42.420";"370.776";" 50.902";" 37.019";" 74.236";" 42.991";" 48.724"
"3am";" 78.237";" 55.797";"282.657";"177.906";" 78.584";" 76.252";"410.537";" 47.567";" 42.420";"370.776";" 50.902";" 37.019";" 74.236";" 42.991";" 48.724"
