"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"3129.793";"3129.793";"3129.793";"3129.793";"3129.793";"3129.793";"3129.793";"3129.793";"3129.793";"3129.793";"3129.793";"3129.793";"3129.793";"3129.793";"3129.793"
"4am";" 0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";"0"
"5am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0"
"6am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0"
"7am";"1128.106";" 791.239";" 754.711";"   0.000";"   0.000";"   0.000";"   0.000";" 660.786";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"8am";"2374.518";"1814.892";"1660.531";" 389.834";"   0.000";" 677.962";" 522.370";" 974.338";"   0.000";"   0.000";" 547.047";"   0.000";"   0.000";"   0.000";"   0.000"
"9am";"2742.966";"1741.146";"1812.861";" 721.784";"   0.000";" 758.118";" 628.714";"1374.893";"   0.000";"   0.000";" 534.076";"   0.000";"   0.000";" 429.932";"   0.000"
"10am";"2711.664";"1880.321";"1875.865";" 859.538";"   0.000";" 818.896";" 762.870";"1306.164";"   0.000";"   0.000";" 427.904";"   0.000";"   0.000";" 461.828";"   0.000"
"11am";"2669.997";"1604.336";"1551.965";" 478.329";"   0.000";" 759.419";" 722.504";"1108.508";"   0.000";"   0.000";" 439.202";"   0.000";"   0.000";"   0.000";"   0.000"
"12am";"2042.324";" 934.424";"1170.266";" 380.898";"   0.000";" 397.827";"   0.000";" 806.472";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"1pm";"2451.397";"1674.786";"1618.042";" 482.792";"   0.000";" 679.425";" 467.544";"1090.363";"   0.000";"   0.000";" 406.982";"   0.000";"   0.000";"   0.000";"   0.000"
"2pm";"3129.793";"1870.444";"1951.340";" 517.870";"   0.000";"1040.233";" 634.439";"1155.810";"   0.000";"   0.000";" 542.957";"   0.000";"   0.000";" 769.760";"   0.000"
"3pm";"2992.402";"1864.272";"1981.481";" 689.998";"   0.000";"1042.207";" 682.193";"1168.436";"   0.000";"   0.000";" 464.537";" 330.948";"   0.000";" 618.386";"   0.000"
"4pm";"2715.137";"2040.989";"1618.659";" 649.813";"   0.000";" 905.162";" 663.138";"1051.221";"   0.000";"   0.000";" 495.499";" 241.032";"   0.000";" 603.895";"   0.000"
"5pm";"1762.717";"1130.167";"1156.683";" 470.714";"   0.000";" 439.023";"   0.000";" 767.049";"   0.000";"   0.000";"   0.000";" 239.721";"   0.000";" 575.215";"   0.000"
"6pm";"796.689";"381.488";"415.253";"384.005";"  0.000";"291.075";"  0.000";"586.275";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"7pm";"537.398";"  0.000";"561.415";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"8pm";"331.014";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"9pm";"249.497";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"10pm";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"11pm";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0"
"12pm";" 0";" 0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0"
"1am";" 0";" 0";"0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0"
"2am";" 0";" 0";"0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0"
"3am";" 0";" 0";"0";"0";"0";"0";"0";"0";" 0";" 0";"0";" 0";"0";"0";" 0"
