"district","hour","educmen1","educmen2","educmen3","educmen4"
"001","4am",13.346575,26.56368,28.28595,31.803793
"002","4am",8.248366,22.93418,29.46358,39.353872
"003","4am",9.80363,38.67209,32.89528,18.629002
"004","4am",16.512369,40.14273,31.7006,11.644301
"005","4am",8.505702,37.90891,33.70176,19.883628
"006","4am",14.080695,32.4258,36.43645,17.057056
"007","4am",15.98344,45.33377,19.33053,19.352259
"008","4am",9.29532,39.75773,30.83834,20.108618
"009","4am",5.330851,45.1683,38.23528,11.265571
"010","4am",8.606208,42.65066,38.89552,9.84761
"011","4am",15.476758,43.10346,19.02982,22.389964
"012","4am",10.907929,51.42786,28.88226,8.781954
"013","4am",11.615419,36.3838,32.63576,19.365023
"014","4am",8.53296,43.65788,30.7852,17.023954
"015","4am",7.838339,36.67689,31.33203,24.152735
"001","5am",13.256121,27.06138,28.09425,31.58825
"002","5am",8.248366,22.93418,29.46358,39.353872
"003","5am",9.84005,39.31696,32.43222,18.410766
"004","5am",16.238901,39.47791,31.1756,13.107591
"005","5am",8.535412,37.69202,33.81948,19.953082
"006","5am",13.773418,34.32496,35.64132,16.26031
"007","5am",14.426482,44.27805,20.63614,20.659332
"008","5am",9.26133,39.77369,30.72557,20.239406
"009","5am",5.41971,44.25432,38.87261,11.453355
"010","5am",8.856412,43.58499,37.4247,10.133905
"011","5am",15.601177,43.44997,18.78085,22.168003
"012","5am",10.985298,51.08334,29.08712,8.844244
"013","5am",13.508029,36.07975,31.63878,18.773447
"014","5am",8.53296,43.65788,30.7852,17.023954
"015","5am",7.894206,36.9383,31.54669,23.620806
"001","6am",13.469656,27.22315,28.06133,31.245869
"002","6am",8.233728,21.9493,30.53294,39.284032
"003","6am",9.275622,39.85253,32.13299,18.73886
"004","6am",14.531355,41.81713,31.00532,12.646195
"005","6am",8.119481,37.58699,34.14713,20.146393
"006","6am",13.730394,33.48528,36.51401,16.27032
"007","6am",15.990962,40.74441,22.78054,20.484079
"008","6am",9.436686,40.04197,30.137,20.384343
"009","6am",5.747671,43.35735,38.74855,12.146428
"010","6am",9.048699,43.21502,37.69463,10.041653
"011","6am",15.7086,44.26336,17.7074,22.320642
"012","6am",11.715145,53.52978,25.32323,9.431843
"013","6am",13.4187,35.19015,32.74185,18.649298
"014","6am",8.447154,45.43958,28.31589,17.797372
"015","6am",7.894206,36.9383,31.54669,23.620806
"001","7am",9.254166,26.48594,33.64458,30.615313
"002","7am",8.134027,24.4395,32.60263,34.82384
"003","7am",10.023219,40.45607,30.82947,18.691235
"004","7am",13.425029,40.14781,29.4615,16.96566
"005","7am",10.141937,40.39748,32.87761,16.582978
"006","7am",13.066386,36.60861,36.28532,14.039686
"007","7am",15.982814,43.10959,20.06265,20.844943
"008","7am",10.312552,45.22466,30.3574,14.105384
"009","7am",8.160755,45.24978,37.99435,8.595113
"010","7am",11.383264,43.91003,33.45552,11.251186
"011","7am",15.5588,46.01477,20.12339,18.303037
"012","7am",13.735793,55.25448,24.1407,6.869028
