"district","hour","resarea1","resarea2","resarea3"
"001","4am",0,0,0
"002","4am",0,0,0
"003","4am",0,0,0
"004","4am",0,0,0
"005","4am",0,0,0
"006","4am",0,0,0
"007","4am",0,0,0
"008","4am",0,0,0
"009","4am",0,0,0
"010","4am",0,0,0
"011","4am",0,0,0
"012","4am",0,0,0
"013","4am",0,0,0
"014","4am",0,0,0
"015","4am",0,0,0
"001","5am",0,0,0
"002","5am",0,0,0
"003","5am",0,0,0
"004","5am",0,0,0
"005","5am",0,0,0
"006","5am",0,0,0
"007","5am",0,0,0
"008","5am",0,0,0
"009","5am",0,0,0
"010","5am",0,0,0
"011","5am",0,0,0
"012","5am",0,0,0
"013","5am",0,0,0
"014","5am",0,0,0
"015","5am",0,0,0
"001","6am",0,0,0
"002","6am",0,0,0
"003","6am",0,0,0
"004","6am",0,0,0
"005","6am",0,0,0
"006","6am",0,0,0
"007","6am",0,0,0
"008","6am",0,0,0
"009","6am",0,0,0
"010","6am",0,0,0
"011","6am",0,0,0
"012","6am",0,0,0
"013","6am",0,0,0
"014","6am",0,0,0
"015","6am",0,0,0
"001","7am",440.681,574.542,1175.173
"002","7am",0,256.408,617.602
"003","7am",376.987,358.844,835.659
"004","7am",0,0,814.234
"005","7am",0,0,0
"006","7am",0,0,0
"007","7am",0,0,0
"008","7am",308.378,635.357,319.077
"009","7am",0,0,0
"010","7am",0,0,0
"011","7am",0,0,0
"012","7am",0,0,0
"013","7am",0,0,0
"014","7am",0,0,0
"015","7am",0,0,0
"001","8am",558.23,1284.57,2442.428
"002","8am",334.421,609.363,1857.672
"003","8am",751.371,899.531,1803.338
"004","8am",0,337.158,812.826
"005","8am",0,0,0
"006","8am",0,0,981.359
"007","8am",0,0,578.273
"008","8am",304.636,800.077,769.367
"009","8am",0,0,0
"010","8am",0,0,0
"011","8am",0,384.137,0
"012","8am",0,0,0
"013","8am",0,0,0
"014","8am",0,0,0
"015","8am",0,0,0
"001","9am",558.23,1380.574,2770.582
"002","9am",342.438,552.531,1791.596
"003","9am",754.256,952.332,1971.934
"004","9am",0,473.739,1109.808
"005","9am",0,0,0
"006","9am",0,292.245,985.075
"007","9am",0,0,635.288
"008","9am",457.832,890.239,1160.352
"009","9am",0,0,0
"010","9am",0,0,0
"011","9am",0,425.259,0
"012","9am",0,0,0
"013","9am",0,0,0
"014","9am",0,0,348.908
"015","9am",0,0,0
"001","10am",563.634,1432.05,2850.979
"002","10am",400.242,559.588,1787.317
"003","10am",739.174,920.207,2115.019
"004","10am",0,550.912,1033.784
"005","10am",0,0,0
"006","10am",0,261.628,1086.76
"007","10am",0,0,854.68
"008","10am",359.474,884.108,1244.842
"009","10am",0,0,0
"010","10am",0,0,0
"011","10am",0,465.639,0
"012","10am",0,0,367.778
"013","10am",0,0,0
"014","10am",0,0,701.622
"015","10am",0,0,0
"001","11am",528.154,1339.783,2724.921
"002","11am",352.406,554.734,1232.27
"003","11am",666.089,997.157,1376.83
"004","11am",0,273.21,1280.181
"005","11am",0,0,0
"006","11am",0,237.903,948.421
"007","11am",0,0,764.248
"008","11am",337.55,843.009,897.506
"009","11am",0,0,0
"010","11am",0,0,0
"011","11am",0,415.454,0
"012","11am",0,0,0
"013","11am",0,0,0
"014","11am",0,0,0
"015","11am",0,0,0
"001","12am",302.988,1138.92,1921.008
"002","12am",0,371.39,677.854
"003","12am",373.825,711.93,679.178
"004","12am",0,0,0
"005","12am",0,0,0
"006","12am",0,0,421.427
"007","12am",0,0,0
"008","12am",258.179,561.517,790.696
"009","12am",0,0,0
"010","12am",0,0,0
"011","12am",0,0,0
"012","12am",0,0,0
"013","12am",0,0,0
"014","12am",0,0,0
"015","12am",0,0,0
"001","1pm",342.425,1267.033,2472.004
"002","1pm",274.308,706.506,1450.292
"003","1pm",734.349,883.815,1277.056
"004","1pm",0,366.251,870.727
