"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";"2.2203032";"0.7305984";"1.2952912";"0.0000000";"0.0000000";"0.6215174";"1.8803527";"1.6201042";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.4812228";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.5917393";"0.0000000";"0.0000000";"3.7239299";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"5am";"2.2197606";"0.7268101";"1.2998597";"0.0000000";"0.0000000";"0.6258469";"1.9069748";"1.6254019";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.4754654";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"3.7763958";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"6am";"2.2493813";"0.7298227";"1.3029037";"0.0000000";"0.0000000";"0.6087257";"0.0000000";"1.7230730";"0.0000000";"1.3380725";"0.0000000";"0.4103605";"0.0000000";"0.0000000";"0.0000000";"1.2171171";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"4.0775340";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"7am";"2.2548500";"1.1886617";"1.1679082";"0.0000000";"0.7833507";"1.8102768";"0.0000000";"0.0000000";"0.0000000";"0.8157620";"0.0000000";"0.3954139";"0.4794373";"0.0000000";"0.9746562";"1.9589570";"0.8021214";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"4.5510467";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"8am";"4.3663104";"1.3668282";"0.9948553";"1.7841296";"1.0799536";"2.7853093";"1.6014317";"1.6421687";"0.0000000";"4.0730468";"6.8144333";"2.4171039";"2.8376885";"0.6175868";"2.0418807";"3.5827799";"4.5799480";"0.6459380";"3.1896018";"0.7499920";"0.7009702";"0.8832943";"4.3834713";"8.5218090";"0.0000000";"0.0000000";"2.6233907";"0.7952032"
"9am";"10.3665284";" 5.3509895";" 2.4430112";" 4.4033578";" 2.5488758";" 4.5409139";" 1.7798716";" 4.5779309";" 2.9038993";" 9.0804194";" 0.9611308";" 1.8858305";" 2.8019135";" 2.8442953";" 2.3955904";" 3.0613742";" 5.9495162";" 7.8605819";" 4.1262214";" 3.3417161";" 1.8899952";" 4.0957660";" 1.0273627";"11.6279015";" 3.0531117";" 1.7646568";" 3.0039225";" 3.0034536"
"10am";"12.161133";" 4.894055";" 4.127170";" 6.726524";" 1.951810";" 7.245715";" 3.461687";" 5.086649";" 3.616062";"10.503948";" 3.134475";" 2.953177";" 3.043138";" 5.480278";" 3.621620";" 5.018595";" 7.263690";" 6.477167";" 4.976698";" 4.486529";" 0.000000";" 4.362354";" 3.021484";" 1.584449";" 9.515058";" 1.932861";" 4.527705";" 3.107039"
"11am";"13.3134378";" 7.7670471";" 2.8583678";" 3.7086089";" 3.3431727";" 5.7857279";" 4.0890086";" 5.4776172";" 3.3012282";" 8.2974561";" 2.8730095";" 5.2355241";" 3.0906201";" 1.2379950";" 6.0099280";" 2.4307959";" 7.2411716";" 4.6415689";" 4.8570926";" 3.0431706";" 0.6605078";" 1.6657844";" 1.0708200";" 1.7250375";" 3.8710034";" 0.0000000";" 1.8954558";" 1.4186313"
