"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736";"6136.3736"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";"0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";"0";" 0"
"6am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"689.5724";"  0.0000";"706.5009";"811.4355";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000"
"7am";" 895.2635";"1211.2487";"2170.0954";"1304.3791";" 708.5147";"1617.7403";" 735.5856";"   0.0000";" 889.4068";"1534.4193";"   0.0000";"1901.0905";"   0.0000";"1963.9474";"2230.7351";"1072.2823";"1048.2182";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";"3936.1171";"2725.8260";"5083.4022";"3023.6254";"1900.3274";"3077.3828";"1411.3558";"1227.8310";"1049.1617";"2816.9996";" 743.0800";"4055.9725";"1092.6079";"2661.9756";"3580.6411";"2103.8423";"1973.1001";"   0.0000";" 879.4766";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9am";"5030.8692";"3142.1512";"5441.2366";"3514.3740";"2350.0593";"3731.6121";"1587.1296";"1623.4180";"1268.4345";"3611.2068";" 738.6425";"4521.1806";"1313.4833";"2523.4997";"4019.3628";"2489.5118";"2420.4380";"   0.0000";" 879.4766";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"10am";"5372.2049";"3043.2913";"5454.5875";"3555.7564";"2402.6743";"4136.3833";"1412.7860";"1643.9410";"1320.5356";"3375.0860";" 930.3918";"4447.9644";"1336.5518";"2406.0328";"3926.5882";"2420.7092";"2160.6235";"   0.0000";" 879.4766";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"11am";"5287.6679";"3331.6988";"5648.5729";"3233.6713";"2208.3030";"3789.8663";"1349.5663";"1337.0677";"1563.3252";"2981.7735";"1099.4751";"4138.2398";"1109.5486";"2477.8631";"3484.7699";"2548.3789";"1966.7893";"   0.0000";" 879.4766";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
