"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808";"31.808"
"max";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668";"5858.92668"
"4am";"2678.3243";"2238.0619";"2462.0429";"3725.1032";"1249.5134";"1970.4202";"1663.3789";"1457.9728";"2523.9663";"2950.1499";"1547.2610";"2953.7377";"2396.0440";"2251.1830";"1583.7219";"1727.2016";"3265.4689";"1985.1835";"3666.6115";"2315.3335";"1169.1381";" 787.5169";" 796.7231";"1438.4071";"1524.0577";"1005.5512";"1247.7024";"1613.2818"
"5am";"2500.0480";"2238.0619";"2519.2951";"3727.8829";"1249.5134";"1970.4202";"1602.3873";"1385.8566";"2523.9663";"3060.0001";"1547.2610";"2875.4882";"2374.3808";"2251.1830";"1719.1603";"1695.6387";"3340.9387";"1854.1330";"3609.3593";"2315.3335";"1169.1381";" 787.5169";" 796.7231";"1403.6271";"1524.0577";"1005.5512";"1220.9874";"1639.9967"
"6am";"2352.8888";"2238.0619";"2585.6857";"3503.8228";"1234.1457";"2190.5766";"1602.3873";"1385.8566";"2291.4121";"3130.0590";"1510.4375";"2936.7476";"2374.3808";"2526.3206";"1798.5586";"1922.8294";"2993.3241";"1753.3496";"3522.0734";"2248.2522";"1169.1381";" 730.6908";" 796.7231";"1111.8267";"1456.8059";"1067.0074";"1057.6935";"1591.1395"
"7am";"2409.5999";"2357.6915";"2622.3418";"3486.8760";"1359.6503";"2886.7888";"1773.2294";"1184.4271";"1890.2933";"3158.7320";"1310.3175";"2856.5315";"2213.4147";"2391.7493";"2095.9346";"1695.5287";"2855.0126";"1101.0560";"3036.0152";"1480.2931";"1000.8750";" 519.5566";" 530.2826";" 974.5689";" 964.7516";" 757.3458";" 828.0946";"1092.2077"
"8am";"3294.3712";"2961.0388";"3495.6374";"4408.3146";"2025.9300";"2837.0557";"1350.2694";"1140.1166";"1447.7561";"2895.0439";" 852.7510";"3243.6802";"1876.0464";"2644.5670";"2689.3843";"1541.3678";"2719.0753";" 752.9357";"2248.7240";"1210.3222";" 497.4340";" 399.5157";" 336.0430";" 700.7234";" 851.7527";" 482.2300";" 594.9254";"1011.7469"
"9am";"3700.1655";"2668.6592";"3607.8128";"4556.5737";"2027.5426";"2754.6931";"1556.2621";"1043.4672";"1414.2120";"2752.6226";"1101.1366";"3476.8960";"1790.0548";"2306.4845";"2885.2023";"1825.6398";"2334.4298";" 627.3387";"2177.7841";"1237.1358";" 458.4762";" 357.5713";" 329.2020";" 659.5411";" 753.0149";" 439.3047";" 594.3082";" 998.0236"
"10am";"3723.7237";"2743.4418";"3689.0752";"4436.6192";"1877.5626";"2891.3969";"1371.8963";"1035.8951";"1576.9774";"2746.9265";"1475.3577";"3276.2523";"1826.8676";"2445.2057";"2973.9230";"1680.4810";"2344.1701";" 657.1112";"2004.9424";"1105.0954";" 486.2244";" 297.8875";" 299.5611";" 501.1661";" 899.2905";" 413.0252";" 548.8537";" 971.0084"
"11am";"3937.0700";"2808.8987";"3584.7783";"4098.4966";"1891.2948";"2834.2806";"1360.1548";"1062.1177";"1910.7377";"2815.3504";"1292.8646";"3364.6961";"1448.9589";"2712.6179";"2574.1156";"1676.7179";"2293.2438";" 732.0985";"1994.1402";"1119.9257";" 491.5290";" 378.6531";" 312.8832";" 482.1359";" 761.2582";" 420.7367";" 530.6611";" 971.0084"
"12am";"4152.7409";"2785.8554";"3415.7252";"3910.6309";"1448.3172";"3151.0935";"1514.3900";"1348.6853";"1601.9185";"2962.8894";"1601.1779";"3005.2109";"1575.4554";"2596.3743";"1785.3214";"1611.7700";"2449.2339";" 839.5170";"2293.3737";"1383.2406";" 544.6376";" 563.9991";" 377.9151";" 769.6585";" 804.9905";" 432.1516";" 639.3306";"1103.6067"
"1pm";"4069.0232";"2985.5932";"3502.7917";"3847.1873";"1603.5552";"3243.0817";"1667.3806";"1127.8894";"1295.1052";"2752.9680";"1058.4790";"3395.4254";"1425.5403";"2566.8468";"1991.9367";"1993.0090";"2686.9165";" 906.1020";"1844.2435";"1198.6071";" 540.6088";" 460.4311";" 283.4817";" 504.7090";" 807.4125";" 395.9496";" 738.1395";" 884.2690"
"2pm";"4590.9474";"2803.6063";"3241.7065";"3906.7551";"1790.1167";"3116.4429";"2104.2293";" 971.1039";"1237.6352";"2999.7912";"1289.0322";"3242.6999";"1334.0316";"2885.8059";"2243.9727";"1989.5582";"2486.1058";" 668.7867";"1844.2435";"1133.8552";" 536.5056";" 415.0531";" 242.6970";" 451.7743";" 826.2223";" 392.6662";" 570.6128";" 883.5156"
"3pm";"4407.3579";"3085.8492";"2920.8442";"4259.3631";"1676.3627";"3213.5781";"1906.9716";" 984.3604";"1391.6283";"3043.5602";" 953.5716";"3148.2101";"1354.1344";"2555.1537";"2578.7023";"1967.6190";"2508.6989";" 693.6084";"1971.6666";"1175.7659";" 737.1276";" 331.2216";" 256.4283";" 478.9077";" 742.2273";" 415.9209";" 541.1346";" 912.9938"
"4pm";"4401.6716";"3334.2376";"3033.7900";"4382.7973";"1779.2776";"2696.2345";"1669.7806";"1248.3364";"1137.2875";"2993.7558";"1286.4149";"3184.1426";"1178.1229";"2442.2389";"1962.2187";"1780.2657";"2163.2559";" 859.8854";"1894.5480";"1277.0877";" 826.3566";" 372.8601";" 334.5429";" 842.9989";" 661.8378";" 483.3105";" 583.3090";"1153.6382"
"5pm";"4131.2984";"2936.2273";"2399.7748";"3913.5386";"1688.0400";"1866.1799";"1689.7531";"1342.1600";"1763.7320";"2401.6055";"1276.1046";"2565.8210";"1559.8188";"2720.3786";"1804.8892";"1956.4746";"2858.5984";"1053.0454";"2384.5329";"1316.2240";" 865.1748";" 528.9348";" 635.9652";" 956.7159";" 910.8140";" 606.8949";" 901.5138";"1294.1634"
"6pm";"3685.2349";"2532.9792";"2066.0683";"3277.6545";"1618.9488";"1827.9336";"2009.8096";"1616.6836";"2089.0278";"3065.9845";"1170.2089";"3361.4458";"1757.6123";"2387.4712";"1567.2859";"1668.9424";"2592.2145";"1565.6894";"2864.3425";"1629.1112";"1186.3418";" 609.2195";" 733.0339";"1201.9202";"1218.1663";" 886.3935";" 963.7609";"1330.6184"
"7pm";"3399.9977";"2859.4190";"2203.4709";"3706.8408";"1370.5077";"1844.8631";"1993.1703";"1366.4587";"2172.1288";"3600.9111";"1458.3259";"3086.4869";"2197.6961";"2077.9470";"1320.6656";"1866.3047";"2772.0046";"1892.5905";"2820.2980";"2121.4749";"1155.5181";" 692.3211";" 784.5696";"1474.3716";"1481.5081";" 957.9821";"1146.5830";"1426.0506"
