"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461";"0.897150675347461"
"max";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742";"60.2146785287742"
"4am";"27.113436";"33.379788";"36.556366";"35.824544";"10.988098";"27.836965";" 8.065351";"21.636180";"16.811240";" 9.919204";"25.696834";"32.266085";"32.974698";" 3.542528";"13.711452";"11.715625";"17.723199";"20.753885";"13.792420";"17.296657";"12.302114";"14.790246";"20.885217";"14.961984";"20.383806";"30.179669";"26.786524";"18.688803"
"5am";"27.103078";"33.175453";"36.729454";"35.586506";"11.078515";"28.071168";" 8.191634";"21.716693";"16.752470";" 9.799731";"26.473857";"32.696992";"34.061687";" 3.485033";"13.191800";"11.561851";"17.733727";"21.154470";"13.867846";"16.858674";"12.383696";"14.885856";"21.253865";"15.188057";"20.533472";"30.179669";"26.998005";"18.700337"
"6am";"25.345075";"33.337914";"35.787866";"36.521310";"10.096435";"27.478246";" 8.163793";"20.843415";"16.685082";" 9.750136";"26.446932";"30.951706";"34.065322";" 2.711603";"12.848613";"11.770564";"18.036162";"21.348278";"14.103014";"17.750204";"12.580620";"15.330447";"21.181684";"16.494499";"20.801725";"29.831478";"28.805615";"19.247093"
"7am";"25.978651";"30.512600";"35.749889";"30.050393";"12.776064";"25.565715";" 7.138016";"18.673903";"18.019535";" 8.457393";"27.841282";"29.393591";"30.494422";" 2.378580";"11.928268";"10.667233";"20.112784";"20.372824";"12.246609";"18.638038";" 9.565430";"13.600152";"21.593092";"13.730140";"20.080038";"26.354632";"27.006889";"18.052648"
"8am";"30.228270";"23.534925";"32.240544";"24.274391";"18.876006";"25.273504";"10.545695";"18.468619";"12.765905";"14.406561";"37.228604";"28.419155";"29.169755";" 4.991648";"13.894779";"10.790238";"18.450844";"13.463973";"11.109328";"18.725406";" 8.088682";" 5.182140";"12.234180";"15.794189";"12.637221";"31.972152";"24.458020";"12.035236"
"9am";"27.378369";"26.326997";"31.921074";"21.728547";"22.531833";"25.107303";" 8.468079";"20.051889";"12.200717";"16.455894";"31.399135";"26.917988";"31.286117";" 4.953557";"14.433973";"10.879307";"18.597721";"13.728337";"10.160390";"18.307862";" 6.156844";" 5.148928";"11.456116";"15.606334";"13.311735";"33.910422";"22.169101";"12.408238"
"10am";"29.099223";"25.923026";"31.419296";"18.981979";"22.138459";"25.521200";" 8.845807";"22.878927";" 9.704401";"15.694693";"25.337076";"27.612670";"28.491505";" 5.079797";"12.749301";"11.729531";"19.789263";"15.792886";"12.946706";"17.162929";" 5.812239";" 4.771228";"10.703646";"12.926715";"11.654673";"31.825496";"21.071363";"16.371265"
"11am";"29.068375";"24.518836";"32.718719";"19.298347";"22.971061";"27.824208";" 8.887847";"19.246892";"11.111796";"16.420192";"26.097308";"26.063077";"29.621150";" 5.375723";"13.216814";"14.586823";"17.996759";"14.812843";"12.601533";"15.125610";" 5.333759";" 3.612755";"12.391406";"11.563921";"11.659302";"28.792459";"23.938815";"12.641902"
