"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857";"3853.95857"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";"0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";"0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0"
"7am";"   0.0000";" 736.1156";"1037.0479";" 950.8200";"   0.0000";"1306.1399";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 790.8129";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8am";"1706.7439";"1263.5211";"2281.2717";"1681.7411";" 971.9866";"1824.9568";"   0.0000";"   0.0000";"   0.0000";"1366.6020";"   0.0000";"1304.0571";"   0.0000";"1187.6741";"1356.2225";"1185.3425";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9am";"2332.1599";"1689.1622";"2711.8987";"2286.1588";" 982.3970";"2121.5856";" 717.9923";"   0.0000";" 745.1154";"2046.1419";"   0.0000";"1589.6752";"   0.0000";"1075.0093";"1565.6565";"1160.3208";"1098.9842";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"10am";"2642.4226";"1723.8988";"2726.9270";"2502.5896";" 998.7568";"1895.5272";"   0.0000";"   0.0000";" 667.5220";"2009.7831";"   0.0000";"1567.4249";"1183.6073";"1017.6586";"1714.8012";"1140.6112";" 756.7670";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"11am";"2984.3847";"1897.0671";"2517.7894";"2101.1252";"1115.9680";"1987.6037";" 676.8437";"   0.0000";" 674.3680";"1915.5146";"   0.0000";"1728.7762";"   0.0000";"1213.3100";"1372.2576";"1040.7632";" 738.6660";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
