"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193";"4669.193"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";"0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";"0";" 0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0"
"7am";"   0.00";"   0.00";"1177.28";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00"
"8am";"2563.1534";"   0.0000";"2639.6501";"   0.0000";"1059.2879";"1786.7351";"   0.0000";"   0.0000";"   0.0000";" 782.6070";"   0.0000";"1098.9266";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 830.1837";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"9am";"2602.0234";"   0.0000";"2656.0737";"   0.0000";"1236.1463";"2083.0507";"   0.0000";"   0.0000";"   0.0000";"1253.1206";"   0.0000";"1194.4233";"   0.0000";"   0.0000";" 632.5365";"   0.0000";" 978.4882";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"10am";"2926.2041";"   0.0000";"2723.7467";" 779.7167";"1325.5246";"2311.5864";"   0.0000";"   0.0000";"   0.0000";"1102.1297";"   0.0000";"1126.0900";"   0.0000";"   0.0000";" 604.0554";"   0.0000";" 955.3891";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"11am";"3078.3829";"   0.0000";"2872.5459";" 754.4476";"1257.1914";"2411.4172";"   0.0000";"   0.0000";"   0.0000";"1168.6407";"   0.0000";"1082.2354";"   0.0000";"   0.0000";" 579.8392";" 754.2869";" 730.9969";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
