"variable","CODE_SEC","RES_SEC","W_IND"
"h8","001","002",271.66865
"h8","001","003",337.87136
"h8","001","004",273.98168
"h8","001","006",175.4216
"h8","001","008",109.16385
"h8","001","009",87.71197
"h8","001","011",122.3605
"h8","001","013",93.65298
"h8","001","015",35.94878
"h8","001","016",47.02462
"h8","003","001",487.98337
"h8","003","002",113.42135
"h8","003","004",773.8311
"h8","003","006",78.74224
"h8","003","007",30.4568
"h8","003","008",136.34638
"h8","003","009",210.64788
"h8","003","011",38.08888
"h8","003","013",65.98674
"h8","006","001",441.4776
"h8","006","002",185.29457
"h8","006","005",55.86121
"h8","006","007",62.2279
"h8","006","008",113.7199
"h8","006","011",34.01245
"h8","006","015",68.35005
"h8","006","017",71.95874
"h9","001","002",422.72057
"h9","001","003",114.35243
"h9","001","004",450.74806
"h9","001","006",291.0926
"h9","001","008",109.16385
"h9","001","009",87.71197
"h9","001","011",122.3605
"h9","001","015",35.94878
"h9","001","016",47.02462
"h9","003","001",494.51313
"h9","003","002",113.42135
"h9","003","004",768.5622
"h9","003","006",78.74224
"h9","003","007",30.4568
"h9","003","008",136.34638
"h9","003","009",210.64788
"h9","003","011",38.08888
"h9","003","013",65.98674
"h9","005","001",294.3184
"h9","005","003",73.46945
"h9","005","006",148.3397
"h9","005","011",178.71736
"h9","005","012",156.499
"h9","005","015",46.24297
"h9","005","018",86.39548
"h9","006","001",494.56056
"h9","006","002",119.20298
"h9","006","005",55.86121
"h9","006","007",62.2279
"h9","006","008",113.7199
"h9","006","011",34.01245
"h9","006","013",72.733
"h9","006","015",68.35005
"h9","006","017",71.95874
"h10","001","002",475.83196
"h10","001","003",259.19053
"h10","001","004",362.36487
"h10","001","006",398.33252
"h10","001","007",50.55003
"h10","001","008",164.89797
"h10","001","009",87.71197
"h10","001","011",160.44938
"h10","001","015",35.94878
"h10","001","016",47.02462
"h10","001","017",61.78516
"h10","001","019",96.358
"h10","001","020",80.5184
"h10","003","001",494.51313
"h10","003","002",219.64413
"h10","003","004",768.5622
"h10","003","006",78.74224
"h10","003","007",30.4568
"h10","003","008",136.34638
"h10","003","009",210.64788
"h10","003","011",38.08888
"h10","003","013",65.98674
"h10","004","001",336.10476
"h10","004","002",53.11139
"h10","004","003",129.51562
"h10","004","009",140.2001
"h10","004","010",441.66258
"h10","005","001",294.3184
"h10","005","003",73.46945
"h10","005","004",68.33325
"h10","005","006",148.3397
"h10","005","011",210.52536
"h10","005","012",156.499
"h10","005","015",46.24297
"h10","005","018",86.39548
"h10","006","001",441.4776
"h10","006","002",119.20298
"h10","006","005",55.86121
"h10","006","007",62.2279
"h10","006","008",113.7199
"h10","006","011",34.01245
"h10","006","013",72.733
"h10","006","015",68.35005
"h10","006","017",71.95874
"h11","001","002",380.85279
"h11","001","003",482.61516
"h11","001","004",558.22378
"h11","001","006",429.48916
"h11","001","007",101.10006
"h11","001","008",164.89797
"h11","001","010",66.19378
"h11","001","011",156.37295
"h11","001","014",38.87893
"h11","001","016",47.02462
"h11","001","019",96.358
"h11","001","020",35.6469
"h11","001","025",22.23427
"h11","003","001",396.10214
"h11","003","002",219.64413
"h11","003","004",905.2344
"h11","003","006",78.74224
"h11","003","007",30.4568
"h11","003","008",136.34638
"h11","003","009",210.64788
"h11","003","011",76.17776
"h11","003","013",65.98674
"h11","003","016",58.46554
"h11","003","026",38.85222
"h11","003","027",19.5282
"h11","004","001",336.10476
"h11","004","002",53.11139
"h11","004","003",73.46945
"h11","004","009",140.2001
"h11","004","010",425.14509
"h11","004","016",63.9639
"h11","005","001",294.3184
"h11","005","003",73.46945
"h11","005","006",323.7613
"h11","005","011",178.71736
"h11","005","012",156.499
"h11","005","015",46.24297
"h11","005","018",86.39548
"h12","001","002",151.83994
"h12","001","003",482.61516
"h12","001","004",328.15429
