"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699";"16595.62699"
"4am";"   90.19767";"  158.34128";"    0.00000";"   97.90193";"    0.00000";"  425.30142";"   67.08124";"   30.56228";"   57.97824";"   61.73374";"    0.00000";"  128.19205";"  185.32348";" 7672.40675";"  204.98000";"    0.00000";"    0.00000";" 7609.05092";"11164.74539";" 9080.11379";" 4443.69330";" 3463.77922";" 3209.12658";" 4094.52466";" 4961.52515";"    0.00000";" 3754.86750";" 4803.28167"
"5am";"  124.97772";"  158.34128";"   57.25215";"  116.90608";"    0.00000";"  425.30142";"   67.08124";"  113.71109";"   57.97824";"   88.59999";"    0.00000";"  128.19205";"  126.18286";" 7788.61252";"  294.41739";"   50.90425";"    0.00000";" 7478.00040";"11107.49324";" 8789.46907";" 4415.72793";" 3442.62006";" 3158.22233";" 4035.43858";" 4928.57963";"    0.00000";" 3728.15255";" 4800.51845"
"6am";"  124.97772";"  172.07253";"  106.88241";"  116.90608";"    0.00000";"  608.47368";"   67.08124";"  138.41332";"   57.97824";"   88.59999";"    0.00000";"  378.33513";"  126.18286";" 7869.54979";"  415.17889";"   50.90425";"  128.66774";" 7063.19007";"10932.92138";" 8382.53290";" 4349.71837";" 3293.24909";" 2872.18403";" 3725.71277";" 4870.71652";"   61.45612";" 3454.76068";" 4653.05002"
"7am";" 558.84573";" 725.03944";"1024.76377";" 753.81472";" 176.37732";"1112.99649";" 552.89489";" 301.94255";" 499.87254";" 700.35971";"  81.87853";" 893.42370";" 280.36943";"7028.19305";"1134.35238";" 404.30815";" 471.71552";"5000.92206";"9368.61776";"6016.27367";"3518.53913";"2394.94603";"2064.34065";"3243.29417";"3771.59737";" 110.75585";"2599.81086";"3365.64526"
"8am";"1954.0073";"1698.5961";"1845.0082";"1368.6930";" 702.8294";"1644.2210";"1026.2719";" 639.6886";" 630.6223";"1243.0533";" 205.8922";"1813.5100";" 818.5784";"6261.1456";"2053.3273";" 844.3477";" 739.7300";"3636.3341";"7674.4483";"5018.9871";"2459.4597";"1926.3909";"1347.6552";"2664.6961";"3034.9621";" 227.8199";"1875.3026";"2929.0075"
"9am";"2104.2501";"1831.4869";"1898.3601";"1419.0208";"1074.2661";"2068.8990";"1120.4582";" 796.7030";" 701.5700";"1594.6034";" 271.5229";"1812.9709";" 889.5183";"5652.2101";"2105.9208";"1149.1467";" 805.3139";"3249.9866";"7079.5310";"4825.9760";"2418.0262";"1938.8166";"1296.7377";"2434.7944";"2838.5157";" 205.6417";"1795.5815";"2794.1442"
"10am";"2371.2754";"1786.4882";"1852.0156";"1627.6782";"1097.1341";"2083.6656";"1054.9242";" 574.6100";" 746.9999";"1638.4719";" 160.2139";"1814.9142";" 998.3125";"5324.1528";"2388.1074";"1106.8144";" 667.1687";"3297.3448";"7068.5727";"4665.5140";"2558.1413";"1735.6658";"1184.6185";"2451.1695";"2851.4812";" 205.6417";"1582.4070";"2751.9544"
"11am";"2517.0658";"1886.5943";"2022.8333";"1273.8915";"1063.2166";"2050.1021";"1106.0107";" 578.4637";" 644.1221";"1732.6442";" 328.2553";"1725.5237";" 740.9560";"6043.8587";"1832.1292";"1167.1998";" 580.7882";"3484.4634";"7265.4339";"4477.9789";"2610.1250";"1821.2381";"1218.6959";"2540.1535";"2777.2464";" 238.4120";"1692.2641";"2816.3418"
