"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";" 98.6577809";" 98.2900386";" 98.5899052";" 99.2963490";"100.0000000";" 96.7774159";" 98.3177590";" 99.6170996";" 99.3638657";" 98.9496869";"100.0000000";"  1.9956836";"  0.6979533";"  2.2837420";"  5.0563166";"  2.0936783";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  3.7239299";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000"
"5am";" 98.4260812";" 98.2989049";" 98.1650770";" 98.6051600";"100.0000000";" 96.7549674";" 98.2939418";" 98.5707088";" 99.3659316";" 98.7243738";"100.0000000";"  2.3527549";"  0.6995893";"  2.2504354";"  6.6633845";"  2.6039234";"  0.5461824";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  3.7763958";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000"
"6am";" 98.4050787";" 98.1437249";" 96.9205194";" 98.5746156";"100.0000000";" 95.3465805";" 96.7081177";" 98.1556697";" 99.3302740";" 99.2209385";"100.0000000";"  3.3252541";"  0.7130529";"  5.2094493";"  7.4455538";"  3.7685362";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  4.0775340";"  0.0000000";"  1.5559610";"  0.0000000";"  0.0000000"
"7am";"91.990289";"85.689343";"86.171849";"90.043967";"92.563944";"83.427485";"89.153191";"93.799207";"90.054069";"89.922708";"96.277335";"15.881111";" 7.199763";"17.404775";"17.153638";"11.614649";" 4.527077";" 0.000000";" 2.586080";" 0.000000";" 0.000000";" 0.000000";" 0.000000";" 4.551047";" 0.000000";" 4.632383";" 0.000000";" 2.690574"
"8am";"76.306101";"69.143672";"76.725912";"82.274402";"84.339784";"75.834728";"79.577428";"87.689823";"84.474982";"80.280282";"85.058985";"26.188824";"11.173886";"19.142399";"24.038701";"16.890593";" 8.450602";" 4.211582";" 4.301451";" 3.181492";" 0.000000";" 0.000000";" 0.000000";" 5.458627";" 0.000000";" 2.664733";" 0.000000";" 3.079317"
"9am";"73.204172";"65.855466";"76.277306";"81.376811";"80.244786";"69.439765";"77.280998";"85.334368";"82.292291";"76.224874";"84.825583";"30.364305";"13.537023";"18.446735";"27.716092";"18.428532";"11.571653";" 4.109718";" 4.597050";" 3.304529";" 0.000000";" 0.000000";" 0.000000";" 5.928386";" 0.000000";" 2.898437";" 1.936333";" 3.173441"
"10am";"71.010095";"65.340659";"76.739496";"78.603332";"79.331561";"68.853245";"78.353081";"87.364969";"79.182878";"76.298156";"83.902867";"28.823821";"14.719071";"20.232924";"27.402517";"20.740027";"11.311458";" 4.141138";" 4.603443";" 3.414302";" 0.000000";" 0.000000";" 0.000000";" 0.000000";" 3.719396";" 3.134684";" 2.171683";" 3.253709"
"11am";"71.136459";"65.935236";"75.796617";"80.240245";"79.827321";"71.736455";"76.519194";"86.064774";"82.793008";"74.728451";"80.015451";"30.660392";"13.478075";"20.059599";"28.158849";"18.993774";" 9.537476";" 4.975840";" 4.485419";" 3.552212";" 0.000000";" 0.000000";" 0.000000";" 0.000000";" 0.000000";" 0.000000";" 0.000000";" 3.198563"
