"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"001","4am",8.839704,36.1026,27.94426,27.113436
"002","4am",8.506344,29.553,28.56087,33.379788
"003","4am",16.038516,23.28113,24.12399,36.556366
"004","4am",9.107224,23.05331,32.01492,35.824544
"005","4am",15.054482,55.70154,18.25588,10.988098
"006","4am",5.718018,48.4385,18.00651,27.836965
"007","4am",13.537356,54.92681,23.47048,8.065351
"008","4am",12.316309,45.26969,20.77782,21.63618
"009","4am",8.595139,44.7761,29.81753,16.81124
"010","4am",11.466357,50.95777,27.65667,9.919204
"011","4am",2.587599,38.70822,33.00734,25.696834
"012","4am",6.274458,31.55793,29.90153,32.266085
"013","4am",5.954285,33.26232,27.8087,32.974698
"014","4am",14.67493,49.82294,31.95961,3.542528
"015","4am",10.008944,53.43001,22.84959,13.711452
"016","4am",9.006916,58.0704,21.20706,11.715625
"017","4am",10.264737,46.03528,25.97678,17.723199
"018","4am",9.681601,40.87954,28.68498,20.753885
"019","4am",13.482019,37.8928,34.83276,13.79242
"020","4am",13.450883,41.66489,27.58757,17.296657
"021","4am",13.847813,46.30865,27.54142,12.302114
"022","4am",17.012499,44.29202,23.90524,14.790246
"023","4am",11.497075,40.47041,27.1473,20.885217
"024","4am",14.367956,34.43387,36.2362,14.961984
"025","4am",11.851109,34.04669,33.7184,20.383806
"026","4am",6.243587,31.49826,32.07849,30.179669
"027","4am",10.648018,25.9809,36.58455,26.786524
"028","4am",8.145431,37.15694,36.00883,18.688803
"001","5am",8.836327,37.98635,26.07425,27.103078
"002","5am",8.454273,29.98424,28.38604,33.175453
"003","5am",16.114456,22.35425,24.80184,36.729454
"004","5am",9.04671,23.54086,31.82593,35.586506
"005","5am",15.178361,55.33702,18.40611,11.078515
"006","5am",5.766126,48.0047,18.15801,28.071168
"007","5am",13.749317,55.09515,22.9639,8.191634
"008","5am",12.362141,46.09759,19.82358,21.716693
"009","5am",8.565092,44.96915,29.71329,16.75247
"010","5am",11.328249,50.53106,28.34096,9.799731
"011","5am",1.721481,37.79924,34.00542,26.473857
"012","5am",6.358252,31.44662,29.49814,32.696992
"013","5am",5.970356,32.33631,27.63165,34.061687
"014","5am",14.436759,50.6373,31.44091,3.485033
"015","5am",9.629614,53.31495,23.86363,13.1918
"016","5am",8.888695,59.0032,20.54625,11.561851
"017","5am",10.270835,45.40251,26.59293,17.733727
"018","5am",9.868472,41.66858,27.30848,21.15447
"019","5am",13.555748,38.10002,34.47638,13.867846
"020","5am",13.933408,40.6307,28.57722,16.858674
"021","5am",13.939645,45.9526,27.72406,12.383696
"022","5am",17.122475,43.9319,24.05977,14.885856
"023","5am",11.700011,39.41965,27.62648,21.253865
"024","5am",14.585053,34.33259,35.8943,15.188057
"025","5am",11.938125,33.56243,33.96597,20.533472
"026","5am",6.243587,31.49826,32.07849,30.179669
"027","5am",10.732085,26.18602,36.08388,26.998005
"028","5am",8.150457,36.52151,36.6277,18.700337
"001","6am",9.165694,40.03509,25.45414,25.345075
"002","6am",8.495673,29.64137,28.52504,33.337914
"003","6am",16.715946,21.96066,25.53553,35.787866
"004","6am",9.284354,23.4955,30.69884,36.52131
"005","6am",14.73968,56.10214,19.06175,10.096435
"006","6am",5.546384,47.55786,19.41751,27.478246
"007","6am",12.899526,56.05083,22.88585,8.163793
"008","6am",12.574922,45.51374,21.06792,20.843415
"009","6am",8.870776,46.50584,27.9383,16.685082
"010","6am",10.756986,50.64976,28.84312,9.750136
"011","6am",1.681422,37.90818,33.96346,26.446932
"012","6am",6.625948,33.21926,29.20309,30.951706
"013","6am",6.103038,31.58592,28.24572,34.065322
"014","6am",14.666823,49.71049,32.91109,2.711603
"015","6am",8.893075,53.94204,24.31627,12.848613
"016","6am",8.981256,55.70641,23.54177,11.770564
"017","6am",10.445996,47.28549,24.23235,18.036162
"018","6am",10.510619,40.63662,27.50448,21.348278
"019","6am",13.785623,37.89823,34.21314,14.103014
"020","6am",14.670242,38.36283,29.21672,17.750204
"021","6am",12.401537,46.85291,28.16493,12.58062
"022","6am",17.633866,44.0453,22.99039,15.330447
"023","6am",12.646602,36.31012,29.8616,21.181684
"024","6am",15.839626,36.78797,30.8779,16.494499
"025","6am",12.863781,33.44317,32.89132,20.801725
"026","6am",6.18902,30.23797,33.74153,29.831478
"027","6am",10.579361,26.60947,34.00555,28.805615
"028","6am",8.388759,35.78862,36.57553,19.247093
"001","7am",7.764591,39.51921,26.73755,25.978651
"002","7am",7.952085,33.40825,28.12706,30.5126
"003","7am",15.582267,24.52668,24.14116,35.749889
"004","7am",8.431421,28.35148,33.1667,30.050393
"005","7am",14.038463,51.95269,21.23278,12.776064
"006","7am",5.281275,44.7873,24.36571,25.565715
"007","7am",13.348309,53.30669,26.20698,7.138016
"008","7am",13.137021,48.49646,19.69261,18.673903
"009","7am",9.757029,47.1916,25.03183,18.019535
"010","7am",11.071397,52.01902,28.45219,8.457393
"011","7am",1.875834,37.41259,32.87029,27.841282
"012","7am",9.672438,32.94277,27.99121,29.393591
"013","7am",6.702187,33.88757,28.91582,30.494422
"014","7am",13.803913,54.59298,29.22453,2.37858
"015","7am",8.886153,54.38155,24.80403,11.928268
"016","7am",10.256285,57.07721,21.99927,10.667233
"017","7am",11.933359,41.14463,26.80923,20.112784
"018","7am",12.706759,43.75164,23.16878,20.372824
"019","7am",14.357873,41.06351,32.33201,12.246609
"020","7am",17.583275,37.80859,25.9701,18.638038
"021","7am",14.993715,46.28966,29.1512,9.56543
"022","7am",23.401257,41.30472,21.69387,13.600152
"023","7am",15.951042,36.32393,26.13193,21.593092
"024","7am",18.239224,36.57355,31.45709,13.73014
"025","7am",14.962274,38.01011,26.94757,20.080038
"026","7am",8.140206,34.00556,31.4996,26.354632
"027","7am",12.850741,27.80247,32.3399,27.006889
"028","7am",10.739307,39.06655,32.1415,18.052648
"001","8am",5.416374,35.8083,28.54706,30.22827
"002","8am",8.016026,32.00839,36.44066,23.534925
"003","8am",11.59257,28.40362,27.76326,32.240544
"004","8am",7.560331,30.56609,37.59918,24.274391
"005","8am",11.992346,41.46209,27.66955,18.876006
