"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"81.266";"81.266";"81.266";"81.266";"81.266";"81.266";"81.266";"81.266";"81.266";"81.266";"81.266";"81.266";"81.266";"81.266";"81.266";"81.266";"81.266";"81.266"
"max";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444";"5418.444"
"4am";"2710.204";"2863.636";"3129.539";"4377.987";"1873.419";"2357.180";"2751.815";"2684.818";"2106.923";"2014.519";"3011.709";"3764.999";"3751.494";"4148.302";"3677.722";"3870.461";"4155.102";"2702.773"
"5am";"2835.109";"2863.636";"3228.037";"4411.848";"1792.354";"2356.721";"2724.984";"2446.031";"2114.862";"2033.139";"2944.887";"3701.988";"3751.494";"4172.881";"3585.324";"3873.092";"4115.616";"2702.773"
"6am";"2926.040";"2841.637";"3238.693";"4457.950";"1742.231";"2220.857";"2591.324";"2485.577";"2113.415";"2173.856";"2934.246";"3754.276";"3904.772";"4023.788";"3398.205";"3603.237";"3736.958";"2545.934"
"7am";"4074.673";"3431.934";"3376.721";"4374.078";"1620.822";"2716.538";"2098.313";"1992.890";"2206.761";"2053.864";"2405.473";"3470.370";"3669.254";"4014.224";"2416.781";"3044.114";"2680.728";"1950.290"
"8am";"5043.802";"3561.861";"3825.470";"3892.231";"1539.561";"3069.875";"1391.738";"1857.097";"2981.172";"1801.954";"2045.816";"3661.496";"3451.377";"4868.732";"1593.156";"2422.003";"2538.339";"1323.561"
"9am";"5097.873";"3635.250";"3862.987";"3747.307";"1430.787";"3183.834";"1252.525";"1852.057";"2749.458";"1636.045";"1951.141";"3996.826";"3244.053";"5009.398";"1600.084";"2373.300";"2570.932";"1355.799"
"10am";"5204.614";"3608.323";"4363.804";"3428.516";"1313.301";"3071.655";"1234.233";"1763.243";"2975.749";"1590.512";"1792.351";"3999.525";"3251.451";"5071.125";"1476.526";"2261.459";"2889.323";"1121.677"
"11am";"5418.444";"3557.584";"3911.791";"3520.858";"1339.526";"3194.477";"1345.284";"1728.455";"2822.391";"1764.835";"2085.843";"3648.290";"3118.465";"4959.799";"1396.121";"2305.026";"2690.025";"1326.491"
"12am";"4933.160";"3591.773";"3792.161";"3825.787";"1416.294";"2731.117";"1800.947";"2053.834";"2417.880";"1770.866";"2193.229";"3728.548";"3134.248";"4848.725";"1736.514";"2691.036";"2831.346";"1469.704"
"1pm";"4829.443";"3738.589";"3935.103";"3797.636";"1296.237";"3140.375";"1610.869";"1771.203";"2806.771";"1994.412";"2032.587";"3762.468";"3165.907";"4692.253";"1692.235";"2296.406";"2734.351";"1288.963"
"2pm";"4973.448";"3585.036";"3771.366";"3683.130";"1309.057";"2981.091";"1526.834";"1648.199";"2737.526";"1690.248";"1961.422";"3825.834";"3521.685";"4894.148";"1629.164";"2218.968";"2794.702";"1344.787"
"3pm";"4928.358";"3238.278";"3440.940";"3788.259";"1366.591";"3045.941";"1534.352";"1736.077";"2862.343";"1700.201";"2080.490";"4191.472";"3306.810";"4921.896";"1608.651";"2295.739";"2765.799";"1264.084"
"4pm";"4898.880";"3015.794";"3401.061";"3666.228";"1155.848";"2763.460";"1658.594";"1858.038";"2658.532";"1712.031";"2132.432";"3944.338";"3458.935";"5125.110";"1802.411";"2424.313";"3223.434";"1602.640"
"5pm";"3964.217";"2617.041";"3636.888";"3830.477";"1049.989";"2443.217";"2172.556";"2200.575";"2064.910";"2129.454";"2170.572";"3926.063";"4060.492";"4474.254";"2456.177";"2480.226";"3835.718";"2013.574"
