"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47";"3093.47"
"4am";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0"
"5am";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0"
"6am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0"
"7am";"1418.203";" 542.483";" 962.769";" 714.041";"   0.000";"   0.000";"   0.000";" 576.898";"   0.000";"   0.000";"   0.000";" 442.541";" 513.546";" 651.305";"   0.000";"   0.000";"   0.000";"   0.000"
"8am";"2648.391";"1116.353";"2391.143";"1438.850";" 418.934";"1142.335";"   0.000";" 805.593";"1133.989";" 654.699";"   0.000";"1156.701";" 827.119";"1625.908";"   0.000";"   0.000";"   0.000";"   0.000"
"9am";"2909.516";"1307.988";"2601.946";"1526.527";" 434.280";"1164.262";"   0.000";" 829.991";"1135.503";" 761.338";"   0.000";"1403.999";" 823.536";"1752.756";"   0.000";"   0.000";" 646.672";"   0.000"
"10am";"3066.835";"1347.936";"2640.348";"1461.975";" 416.437";"1251.154";"   0.000";" 844.971";"1058.286";" 706.194";"   0.000";"1460.167";" 839.988";"1800.237";"   0.000";"   0.000";" 784.363";"   0.000"
"11am";"2898.955";"1272.116";"2323.571";"1578.221";" 324.002";"1020.362";"   0.000";" 870.654";"1322.524";" 833.794";"   0.000";"1504.095";" 883.701";"1542.743";"   0.000";"   0.000";" 686.488";"   0.000"
"12am";"2192.273";" 926.399";"1287.353";"1080.077";"   0.000";" 705.218";"   0.000";" 737.713";" 954.738";"   0.000";"   0.000";"1230.251";" 768.273";"1080.518";"   0.000";"   0.000";" 608.315";"   0.000"
"1pm";"2557.481";"1210.020";"2142.024";"1416.957";"   0.000";"1167.595";"   0.000";" 790.829";"1350.995";" 906.286";"   0.000";"1255.326";" 828.337";"1245.834";"   0.000";"   0.000";" 543.092";"   0.000"
"2pm";"2847.993";"1292.287";"2361.568";"1337.094";"   0.000";"1160.108";"   0.000";" 815.227";"1381.242";" 821.443";"   0.000";"1313.448";" 848.096";"1357.835";"   0.000";"   0.000";" 728.168";"   0.000"
"3pm";"3093.470";"1272.108";"2322.721";"1560.564";"   0.000";"1173.064";"   0.000";" 707.904";"1211.634";" 761.471";"   0.000";"1375.667";" 846.665";"1476.315";"   0.000";"   0.000";" 931.049";"   0.000"
"4pm";"2671.325";"1240.094";"2180.337";"1226.189";"   0.000";"1019.203";"   0.000";" 576.398";"1183.586";" 681.430";"   0.000";"1404.155";" 782.567";"1136.240";"   0.000";"   0.000";" 979.264";"   0.000"
"5pm";"1826.433";" 678.870";"1053.750";" 943.016";"   0.000";" 484.670";"   0.000";" 370.776";" 506.998";" 575.807";"   0.000";" 956.396";" 681.438";" 682.445";"   0.000";"   0.000";" 823.059";"   0.000"
"6pm";"1257.836";" 375.260";" 821.572";" 342.538";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 505.463";" 567.455";" 592.206";"   0.000";"   0.000";" 405.834";"   0.000"
"7pm";"823.199";"  0.000";"623.617";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"8pm";"579.493";"  0.000";"565.406";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"9pm";"594.935";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000"
"10pm";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"11pm";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"12pm";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0"
"1am";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0"
"2am";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0"
"3am";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0"
