"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923";"4625.923"
"4am";"3194.022";"2790.256";"2959.823";"3924.232";"1995.575";"1560.126";"1872.899";"1684.935";"1400.685";"1552.945";"2171.738";"2907.625";"2697.708";"2249.685";"2713.841";"2232.106";"2208.577";"1769.951"
"5am";"3173.928";"2790.256";"3047.851";"3924.232";"2004.414";"1560.126";"1872.899";"1588.214";"1400.685";"1552.945";"2171.738";"2837.220";"2697.708";"2267.739";"2713.841";"2232.106";"2208.577";"1725.435"
"6am";"3368.736";"2620.934";"3021.403";"3887.884";"2004.414";"1546.916";"1834.203";"1601.424";"1417.347";"1704.795";"2170.559";"2887.324";"2693.380";"1899.339";"2627.221";"1969.434";"2092.314";"1678.203"
"7am";"4069.009";"2903.126";"3414.074";"3731.046";"1618.147";"1604.532";"1275.054";"1615.202";"1423.310";"1453.196";"1594.904";"2823.876";"2477.893";"1905.272";"2119.705";"1845.089";"1387.771";"1134.760"
"8am";"4396.641";"2642.471";"4354.982";"3570.005";"1206.713";"1754.769";"1055.027";"1414.674";"2059.512";"1348.525";"1495.941";"2950.556";"2000.484";"2548.113";"1352.471";"1380.585";"1142.437";" 695.683"
"9am";"4334.664";"2686.076";"4473.961";"3614.110";" 999.212";"1758.736";"1000.834";"1350.994";"1986.356";"1277.766";"1503.416";"3219.507";"1732.956";"2647.724";"1277.048";"1413.624";"1195.467";" 599.170"
"10am";"4486.235";"2627.326";"4625.923";"3067.989";" 902.073";"1863.588";" 981.527";"1454.052";"1695.639";"1320.183";"1495.044";"3139.760";"1859.934";"2713.412";"1279.539";"1189.050";"1389.343";" 462.285"
"11am";"4494.554";"2774.702";"4300.105";"3166.335";" 856.584";"1615.736";" 916.443";"1622.762";"2099.580";"1410.357";"1549.914";"3144.147";"1821.241";"2455.918";"1179.031";"1454.933";"1340.851";" 665.101"
