"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657";"65.583123293657"
"4am";"0.0000000";"0.3941815";"0.0000000";"0.0000000";"0.6183267";"0.4105929";"0.8915051";"2.7123745";"0.3704963";"0.0000000";"0.0000000";"1.3150376";"0.7935487";"0.0000000";"0.0000000";"0.5063743";"0.0000000";"1.1441475"
"5am";"0.0000000";"0.3941815";"0.0000000";"0.0000000";"0.6223009";"0.4106340";"0.3674119";"2.8630297";"0.3727460";"0.0000000";"0.0000000";"1.3260440";"0.7935487";"0.0000000";"0.0000000";"0.5061733";"0.0000000";"1.1563953"
"6am";"0.4021345";"0.0000000";"0.0000000";"0.0000000";"0.6333592";"0.4280733";"0.3773525";"2.8415064";"0.3728726";"0.0000000";"0.0000000";"1.3168977";"0.7722210";"0.0000000";"0.0000000";"0.5543767";"0.0000000";"1.2208658"
"7am";"0.2965910";"0.0000000";"0.0000000";"0.0000000";"0.6945959";"0.4099006";"0.7335682";"1.4770781";"0.0000000";"0.0000000";"0.0000000";"1.6430401";"1.1280529";"0.4680974";"0.0000000";"0.9745225";"0.0000000";"1.5031340"
"8am";"0.2483411";"0.0000000";"0.0000000";"0.0000000";"0.7228751";"0.4114205";"0.8774654";"1.5474155";"0.0000000";"0.0000000";"0.0000000";"1.6737102";"1.2063824";"0.4127577";"0.0000000";"1.1674269";"0.0000000";"2.0824970"
"9am";"0.2451556";"0.0000000";"0.0000000";"0.0000000";"1.2508169";"0.0000000";"0.9393582";"1.5889568";"0.0000000";"0.0000000";"0.0000000";"1.5638209";"1.2770208";"0.4175579";"0.0000000";"1.1717268";"0.0000000";"2.1185468"
"10am";"0.2346667";"0.0000000";"0.0000000";"0.0000000";"0.8296828";"0.4118990";"0.9932873";"1.5034517";"0.0000000";"0.0000000";"0.0000000";"1.5462828";"1.2414476";"0.4183227";"0.0000000";"1.2225251";"0.0000000";"2.3974566"
"11am";"0.2415814";"0.0000000";"0.0000000";"0.0000000";"0.8045672";"0.4085904";"0.9571536";"1.5435165";"0.0000000";"0.0000000";"0.0000000";"1.6054510";"1.2863277";"0.4308788";"0.0000000";"1.1914161";"0.0000000";"2.0610732"
"12am";"0.2732335";"0.0000000";"0.0000000";"0.0000000";"0.7862189";"0.4137514";"1.2377528";"1.4408575";"0.3202206";"0.0000000";"0.0000000";"1.4277848";"0.9431152";"0.4438577";"0.0000000";"1.0283140";"0.0000000";"1.8419893"
"1pm";"0.0000000";"0.3761035";"0.0000000";"0.0000000";"0.9042131";"0.4010759";"0.8358804";"1.5257035";"0.0000000";"0.0000000";"0.0000000";"1.5967664";"1.2429536";"0.4457949";"0.0000000";"1.1097869";"0.0000000";"2.0902981"
"2pm";"0.0000000";"0.3914316";"0.0000000";"0.0000000";"1.0233865";"0.4183881";"0.8575138";"0.0000000";"0.0000000";"0.0000000";"1.3280806";"2.5157989";"1.1766628";"0.4395369";"0.0000000";"1.0808405";"0.0000000";"0.0000000"
"3pm";"0.0000000";"0.4216444";"0.6880820";"0.0000000";"0.9516614";"0.4114214";"0.8851710";"2.7427648";"0.0000000";"0.0000000";"0.0000000";"1.5568861";"1.1843604";"0.0000000";"0.0000000";"0.6539737";"0.0000000";"0.0000000"
"4pm";"0.3301702";"0.4187498";"0.0000000";"0.0000000";"1.0235092";"0.4152860";"0.7821806";"2.6585725";"0.0000000";"0.0000000";"0.0000000";"1.5079055";"1.1801052";"0.0000000";"0.0000000";"0.6518692";"0.0000000";"1.9007713"
"5pm";"0.0000000";"0.4500641";"0.0000000";"0.0000000";"0.9575080";"0.4262190";"1.1332019";"3.1085416";"0.0000000";"0.0000000";"0.0000000";"1.4621097";"0.8059074";"0.0000000";"0.0000000";"0.6523722";"0.0000000";"1.5021607"
"6pm";"0.0000000";"0.4263329";"0.7640674";"0.0000000";"0.8459024";"0.0000000";"0.5630770";"2.4156272";"0.0000000";"0.0000000";"0.0000000";"1.5305799";"0.7705462";"0.0000000";"0.0000000";"0.5678687";"0.2824122";"1.3750043"
"7pm";"0.2934823";"0.4149115";"0.0000000";"0.0000000";"0.7131781";"0.0000000";"0.9365026";"2.8997633";"0.3987791";"0.0000000";"0.0000000";"1.3961181";"0.7282794";"0.0000000";"0.0000000";"0.5332637";"0.0000000";"1.1962738"
"8pm";"0.0000000";"0.3978663";"0.0000000";"0.0000000";"0.6780557";"0.4308716";"0.9270156";"2.8272332";"0.3945309";"0.0000000";"0.0000000";"1.3733117";"0.7477528";"0.0000000";"0.0000000";"0.5047204";"0.0000000";"1.1874683"
"9pm";"0.0000000";"0.4084676";"0.0000000";"0.0000000";"0.6796933";"0.4254897";"0.9073368";"2.7911190";"0.3911595";"0.0000000";"0.0000000";"1.3534465";"0.7548901";"0.0000000";"0.0000000";"0.5168236";"0.0000000";"1.1615243"
"10pm";"0.0000000";"0.3894133";"0.0000000";"0.0000000";"0.6726821";"0.4095642";"0.8955175";"2.7918118";"0.3656268";"0.0000000";"0.0000000";"1.3510960";"0.7698142";"0.0000000";"0.0000000";"0.5138317";"0.0000000";"1.1244880"
"11pm";"0.0000000";"0.3895831";"0.0000000";"0.0000000";"0.6638080";"0.4120177";"0.8978366";"2.7616664";"0.3657206";"0.0000000";"0.0000000";"1.3259318";"0.7639070";"0.0000000";"0.0000000";"0.5074539";"0.0000000";"1.1334632"
"12pm";"0.0000000";"0.3801927";"0.0000000";"0.0000000";"0.6646680";"0.4147658";"0.8863217";"2.6911301";"0.3678485";"0.0000000";"0.0000000";"1.3204221";"0.7687439";"0.0000000";"0.0000000";"0.4996505";"0.0000000";"1.1267922"
"1am";"0.0000000";"0.3801927";"0.0000000";"0.0000000";"0.6529568";"0.4135647";"0.8863217";"2.7013033";"0.3660747";"0.0000000";"0.0000000";"1.3204221";"0.7571477";"0.0000000";"0.0000000";"0.4944958";"0.0000000";"1.1567494"
"2am";"0.0000000";"0.3789741";"0.0000000";"0.0000000";"0.6458738";"0.4135647";"0.8863217";"2.7013033";"0.3660747";"0.0000000";"0.0000000";"1.3204221";"0.7571477";"0.0000000";"0.0000000";"0.4944958";"0.0000000";"1.1567494"
"3am";"0.0000000";"0.3789741";"0.0000000";"0.0000000";"0.6480011";"0.4135647";"0.8863217";"2.7013033";"0.3660747";"0.0000000";"0.0000000";"1.3204221";"0.7571477";"0.0000000";"0.0000000";"0.4944958";"0.0000000";"1.1567494"
