"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842";"5210.842"
"4am";"  0.000";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 45.473";"149.475";" 15.880";"  0.000";"  0.000";" 99.831";" 55.477";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
"5am";"  0.000";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 18.642";"149.475";" 15.880";"  0.000";"  0.000";" 99.831";" 55.477";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
"6am";" 24.415";"  0.000";"  0.000";"  0.000";" 27.398";" 18.865";" 18.642";"149.475";" 15.880";"  0.000";"  0.000";" 99.831";" 55.477";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
"7am";" 24.415";"  0.000";"  0.000";"  0.000";" 27.398";" 18.865";" 28.455";" 68.266";"  0.000";"  0.000";"  0.000";"115.711";" 74.119";" 33.550";"  0.000";" 52.754";"  0.000";" 48.089"
"8am";" 24.415";"  0.000";"  0.000";"  0.000";" 27.398";" 18.865";" 28.455";" 68.266";"  0.000";"  0.000";"  0.000";"115.711";" 74.119";" 33.550";"  0.000";" 52.754";"  0.000";" 48.089"
"9am";" 24.415";"  0.000";"  0.000";"  0.000";" 46.263";"  0.000";" 28.455";" 68.266";"  0.000";"  0.000";"  0.000";"115.711";" 74.119";" 33.550";"  0.000";" 52.754";"  0.000";" 48.089"
"10am";" 24.415";"  0.000";"  0.000";"  0.000";" 27.398";" 18.865";" 28.455";" 68.266";"  0.000";"  0.000";"  0.000";"115.711";" 74.119";" 33.550";"  0.000";" 52.754";"  0.000";" 48.089"
"11am";" 24.415";"  0.000";"  0.000";"  0.000";" 27.398";" 18.865";" 28.455";" 68.266";"  0.000";"  0.000";"  0.000";"115.711";" 74.119";" 33.550";"  0.000";" 52.754";"  0.000";" 48.089"
"12am";"24.415";" 0.000";" 0.000";" 0.000";"27.398";"18.865";"47.097";"68.266";"15.880";" 0.000";" 0.000";"99.831";"55.477";"33.550";" 0.000";"52.754";" 0.000";"48.089"
"1pm";"  0.000";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 28.455";" 68.266";"  0.000";"  0.000";"  0.000";"115.711";" 74.119";" 33.550";"  0.000";" 52.754";"  0.000";" 48.089"
"2pm";"  0.000";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 28.455";"  0.000";"  0.000";"  0.000";" 48.089";"183.977";" 74.119";" 33.550";"  0.000";" 52.754";"  0.000";"  0.000"
"3pm";"  0.000";" 24.415";" 48.089";"  0.000";" 27.398";" 18.865";" 28.455";"121.020";"  0.000";"  0.000";"  0.000";"115.711";" 74.119";"  0.000";"  0.000";" 33.550";"  0.000";"  0.000"
"4pm";" 28.455";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 26.831";"121.020";"  0.000";"  0.000";"  0.000";"115.711";" 74.119";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
"5pm";"  0.000";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 45.473";"149.475";"  0.000";"  0.000";"  0.000";"115.711";" 55.477";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
"6pm";"  0.000";" 24.415";" 52.754";"  0.000";" 27.398";"  0.000";" 26.831";"115.586";"  0.000";"  0.000";"  0.000";"115.711";" 55.477";"  0.000";"  0.000";" 33.550";" 18.642";" 48.089"
"7pm";" 18.865";" 24.415";"  0.000";"  0.000";" 27.398";"  0.000";" 45.473";"149.475";" 15.880";"  0.000";"  0.000";" 99.831";" 55.477";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
"8pm";"  0.000";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 45.473";"149.475";" 15.880";"  0.000";"  0.000";" 99.831";" 55.477";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
"9pm";"  0.000";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 45.473";"149.475";" 15.880";"  0.000";"  0.000";" 99.831";" 55.477";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
"10pm";"  0.000";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 45.473";"149.475";" 15.880";"  0.000";"  0.000";" 99.831";" 55.477";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
"11pm";"  0.000";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 45.473";"149.475";" 15.880";"  0.000";"  0.000";" 99.831";" 55.477";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
"12pm";"  0.000";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 45.473";"149.475";" 15.880";"  0.000";"  0.000";" 99.831";" 55.477";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
"1am";"  0.000";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 45.473";"149.475";" 15.880";"  0.000";"  0.000";" 99.831";" 55.477";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
"2am";"  0.000";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 45.473";"149.475";" 15.880";"  0.000";"  0.000";" 99.831";" 55.477";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
"3am";"  0.000";" 24.415";"  0.000";"  0.000";" 27.398";" 18.865";" 45.473";"149.475";" 15.880";"  0.000";"  0.000";" 99.831";" 55.477";"  0.000";"  0.000";" 33.550";"  0.000";" 48.089"
