"district","hour","act1","act2","act3","act4","act5"
"001","4am",6278.739,104.074,0,0,125.566
"002","4am",6295.289,0,0,0,0
"003","4am",6226.032,84.977,0,0,127.043
"004","4am",7755.994,108.942,0,0,26.719
"005","4am",4538.679,294.938,0,0,23.661
"006","4am",4408.598,230.457,0,0,39.303
"007","4am",5173.235,0,0,0,0
"008","4am",5682.494,75.091,0,0,0
"009","4am",4269.197,75.206,0,0,9.657
"010","4am",4150.777,131.245,0,0,0
"011","4am",5213.475,35.516,0,0,0
"012","4am",7803.838,8.839,0,0,19.886
"013","4am",7178.796,0,0,0,68.973
"014","4am",6969.995,375.838,0,0,19.554
"015","4am",6058.951,0,0,0,0
"016","4am",6746.227,22.755,0,0,0
"017","4am",7137.148,104.213,0,0,0
"018","4am",4397.294,0,0,0,0
"001","5am",6232.365,275.353,0,0,125.566
"002","5am",6295.289,0,0,0,0
"003","5am",6190.988,235.093,0,0,127.043
"004","5am",7723.14,122.89,0,0,26.719
"005","5am",4500.339,246.778,0,0,23.661
"006","5am",4380.199,258.397,58.202,0,39.303
"007","5am",5124.567,21.837,0,0,0
"008","5am",5392.508,75.091,0,0,0
"009","5am",4177.944,140.59,0,0,9.657
"010","5am",4169.397,131.245,0,0,0
"011","5am",5092.554,89.615,0,0,0
"012","5am",7711.49,38.176,0,0,19.886
"013","5am",7178.796,0,0,0,68.973
"014","5am",6916.045,505.566,0,0,19.554
"015","5am",5966.553,0,0,0,0
"016","5am",6570.93,200.683,0,0,0
"017","5am",7097.662,104.213,0,0,0
"018","5am",4352.778,0,0,0,0
"001","6am",6111.96,679.635,0,0,125.566
"002","6am",6050.306,0,0,0,26.831
"003","6am",6138.092,274.579,0,0,127.043
"004","6am",7520.166,217.26,0,0,26.719
"005","6am",4397.385,272.862,0,0,23.661
"006","6am",4109.937,341.499,58.202,0,39.303
"007","6am",4979.042,21.837,0,0,11.865
"008","6am",5327.263,179.882,0,0,0
"009","6am",4017.516,299.571,0,0,9.657
"010","6am",4214.221,339.814,0,0,0
"011","6am",4920.333,155.823,0,0,0
"012","6am",7667.978,133.976,0,0,19.886
"013","6am",6864.033,354.517,0,42.802,68.973
"014","6am",6436.048,712.103,0,0,19.554
"015","6am",5749.262,30.172,0,0,0
"016","6am",5886.428,308.862,0,0,0
"017","6am",6553.637,104.213,0,0,0
"018","6am",4133.178,0,0,0,0
"001","7am",4713.134,2583.935,1575.037,31.244,317.622
"002","7am",4911.425,1117.991,101.441,0,30.337
"003","7am",4903.991,1491.054,629.947,68.463,154.983
"004","7am",5946.557,1449.036,640.811,0,74.987
"005","7am",3289.963,840.056,325.385,0,23.661
"006","7am",3263.192,1298.442,96.226,0,72.093
"007","7am",3382.708,501.348,40.354,0,0
"008","7am",3590.524,1046.214,0,29.284,45.219
"009","7am",2990.092,1240.761,201.113,0,9.657
"010","7am",3376.643,943.577,104.039,0,0
"011","7am",3684.082,305.835,0,56.185,0
"012","7am",6019.983,794.952,57.724,39.541,19.886
"013","7am",5292.088,1224.837,32.718,0,166.694
"014","7am",4817.659,1976.518,281.806,0,136.643
"015","7am",4217.314,170.986,77.686,18.054,36.502
"016","7am",4798.633,574.054,140.577,0,0
"017","7am",4131.319,905.799,30.718,0,0
"018","7am",3026.279,252.913,0,0,11.637
"001","8am",3305.722,4742.928,2088.456,127.58,398.681
"002","8am",3245.461,2138.409,101.441,0,64.699
"003","8am",3567.631,3305.574,1195.142,393,93.347
"004","8am",4190.629,2611.738,879.395,87.045,95.62
"005","8am",2396.33,1145.991,493.111,50.573,123.492
"006","8am",2206.509,2359.262,128.944,0,72.093
"007","8am",2359.752,813.473,40.354,0,29.284
"008","8am",3006.999,1395.542,85.875,0,68.039
"009","8am",2385.235,2435.737,281.339,173.215,18.377
"010","8am",2524.698,1450.06,559.809,91.761,99.927
"011","8am",2744.154,759.006,88.085,0,116.574
"012","8am",4124.01,2047.131,118.35,303.378,256.166
"013","8am",3620.801,2060.925,172.622,0,304.917
"014","8am",3506.894,3383.605,569.108,226.321,346.594
"015","8am",2830.636,375.107,108.336,0,138.521
"016","8am",3086.772,1020.894,164.975,90.642,56.472
"017","8am",2913.494,1384.661,30.718,279.798,117.584
"018","8am",2044.949,217.256,0,0,97.912
"001","9am",2560.131,4923.832,2235.498,369.167,766.575
"002","9am",3095.332,2278.677,101.441,206.653,122.69
"003","9am",3057.984,3631.076,1275.397,555.152,364.443
"004","9am",3693.778,2675,879.395,131.039,269.009
"005","9am",2088.952,1149.842,559.558,45.126,248.189
"006","9am",1993.387,2442.094,155.254,68.418,141.914
"007","9am",2041.86,813.473,40.354,21.837,89.835
"008","9am",2674.971,1419.94,208.428,29.284,167.314
"009","9am",2203.529,2478.252,281.339,14.889,97.475
"010","9am",2216.596,1558.043,559.809,66.722,205.986
"011","9am",2237.754,851.523,88.085,68.128,233.182
"012","9am",4275.383,2466.277,118.35,322.825,208.244
"013","9am",3094.697,2040.639,172.622,112.83,451.322
"014","9am",3268.544,3536.83,694.674,482.206,312.206
"015","9am",2638.182,410.744,108.336,0,206.09
"016","9am",2842.035,1187.679,164.975,22.709,284.846
"017","9am",2511.139,1525.891,30.718,418.758,159.748
"018","9am",1877.523,285.43,0,0,141.332
"001","10am",2649.262,4960.204,2235.498,511.859,939.743
"002","10am",2834.279,2278.677,0,125.262,243.283
"003","10am",3176.199,3507.911,1301.672,1086.714,257.973
"004","10am",2983.077,2621.699,1008.96,293.333,218.393
"005","10am",1858.187,1173.475,617.76,0,45.848
"006","10am",1825.502,2483.253,155.254,158.025,126.725
"007","10am",1827.423,786.642,40.354,21.837,166.637
"008","10am",2575.951,1393.499,208.428,213.924,352.475
"009","10am",1827.331,2452.547,281.339,143.166,123.44
"010","10am",2412.666,1543.677,559.809,121.596,241.775
"011","10am",2001.639,949.966,88.085,121.587,172.079
"012","10am",3735.083,2474.749,131.107,680.493,474.542
"013","10am",3168.4,2080.163,172.622,116.886,500.352
"014","10am",3074.231,3584.602,718.117,508.989,387.456
"015","10am",2405.865,382.898,108.336,0,282.986
"016","10am",2516.562,1187.679,164.975,46.294,337.932
"017","10am",2188.614,1702.8,30.718,574.399,139.525
"018","10am",1604.911,296.659,0,18.536,108.471
"001","11am",2809.839,4683.907,2086.879,375.907,978.069
"002","11am",3262.871,2101.266,0,36.318,200.759
"003","11am",3354.999,3558.557,1267.864,318.022,129.328
"004","11am",3571.458,2594.768,945.592,36.08,182.511
"005","11am",1923.566,1107.567,617.76,13.21,136.25
"006","11am",2093.598,2485.473,117.23,18.054,18.865
"007","11am",2069.218,794.213,40.354,0,69.092
"008","11am",2949.756,1263.164,208.428,55.427,147.889
"009","11am",2285.384,2395.793,281.339,0,469.058
"010","11am",2463.781,1609.183,559.809,72.456,233.457
"011","11am",2359.079,912.972,88.085,72.006,255.385
"012","11am",4082.708,2510.174,131.107,106.646,335.458
"013","11am",3208.459,2202.858,172.622,0,246.177
"014","11am",3050.386,3614.493,694.674,364.577,272.042
"015","11am",2514.657,346.396,108.336,39.948,233.233
"016","11am",2838.881,1201.512,164.975,45.641,176.831
"017","11am",2695.628,1717.088,30.718,190.277,81.099
"018","11am",1967.525,296.659,0,0,103.398
"001","12am",3892.127,2734.499,1625.399,264.765,1624.503
"002","12am",4449.363,1737.834,0,92.609,255.882
"003","12am",4301.706,1918.623,739.91,199.063,381.821
"004","12am",4869.589,1595.074,703.227,107.938,194.584
"005","12am",2367.205,844.861,298.781,0,243.609
"006","12am",2813.165,1664.476,90.92,0,80.757
"007","12am",3054.368,563.659,40.354,0,117.045
"008","12am",3555.947,950.457,89.549,0,273.832
"009","12am",2854.451,1362.87,247.144,0,510.127
"010","12am",3045.932,913.982,559.809,0,246.614
"011","12am",3108.348,451.86,88.085,62.913,291.752
"012","12am",4836.712,1522.277,97.204,25.118,555.676
"013","12am",3911.702,1592.723,172.622,0,242.539
"014","12am",4045.931,2448.483,496.81,323.015,497.761
"015","12am",3314.357,310.759,108.336,35.808,101.302
"016","12am",3897.295,749.316,193.693,26.831,263.01
"017","12am",3643.693,959.653,0,172.115,215.024
"018","12am",2342.242,145.068,0,14.909,80.202
"001","1pm",3179.659,4157.006,1758.962,168.014,934.321
"002","1pm",3794.829,2424.273,0,66.722,196.902
"003","1pm",3789.228,3106.659,857.682,166.522,266.421
"004","1pm",3852.239,2585.55,611.65,36.08,408.301
"005","1pm",2060.5,837.284,434.402,0,140.438
"006","1pm",2146.782,2291.527,90.92,0,213.996
"007","1pm",2503.412,765.571,40.354,0,94.858
"008","1pm",3145.22,1212.107,134.974,0,157.518
"009","1pm",2426.344,2161.324,247.144,33.808,415.846
"010","1pm",2792.561,1516.479,432.766,91.121,330.358
"011","1pm",2544.234,729.639,88.085,21.032,318.059
"012","1pm",4327.743,2209.009,131.107,141.825,481.866
"013","1pm",3467.757,2014.909,172.622,0,375.901
"014","1pm",3600.15,3016.959,448.915,184.27,492.703
"015","1pm",3085,317.799,108.336,0,157.477
"016","1pm",3235.522,995.78,269.543,0,252.68
"017","1pm",3049.512,1390.039,30.718,22.709,291.583
"018","1pm",2144.793,159.977,0,0,30.191
"001","2pm",2471.024,4203.789,1723.626,595.347,1315.454
"002","2pm",3431.764,2424.273,0,113.164,272.285
"003","2pm",3256.743,3367.223,972.366,225.348,357.274
"004","2pm",3359.073,2485.686,666.226,36.08,568.267
