"district","hour","educmen1","educmen2","educmen3","educmen4"
"001","4am",6.493237,35.75593,57.75084,0
"002","4am",10.140094,39.12172,50.344,0.3941815
"003","4am",8.723046,42.1784,49.09856,0
"004","4am",6.835693,42.68516,50.47914,0
"005","4am",6.47099,47.61716,45.29352,0.6183267
"006","4am",11.943477,55.44027,32.20566,0.4105929
"007","4am",11.650715,47.60309,39.85469,0.8915051
"008","4am",10.664935,57.81011,28.81258,2.7123745
"009","4am",8.744435,58.36949,32.51557,0.3704963
"010","4am",18.642813,42.31958,39.03761,0
"011","4am",12.7484,46.95945,40.29215,0
"012","4am",11.135265,51.21522,36.33448,1.3150376
"013","4am",10.751336,49.71018,38.74494,0.7935487
"014","4am",11.847062,54.48976,33.66317,0
"015","4am",6.821595,48.37341,44.805,0
"016","4am",9.931773,56.87593,32.68592,0.5063743
"017","4am",14.650841,57.30397,28.04519,0
"018","4am",11.339144,45.97691,41.53979,1.1441475
"001","5am",6.958614,36.88412,56.15726,0
"002","5am",10.140094,39.12172,50.344,0.3941815
"003","5am",7.951448,42.6608,49.38775,0
"004","5am",6.852495,42.54429,50.60322,0
"005","5am",6.512582,47.07971,45.78541,0.6223009
"006","5am",11.94467,55.43582,32.20887,0.410634
"007","5am",11.712324,47.85482,40.06544,0.3674119
"008","5am",11.257304,57.31932,28.56035,2.8630297
"009","5am",8.797533,58.11671,32.71301,0.372746
"010","5am",18.559045,42.57875,38.8622,0
"011","5am",12.91689,46.25843,40.82468,0
"012","5am",11.228464,51.74208,35.70341,1.326044
"013","5am",10.751336,49.71018,38.74494,0.7935487
"014","5am",11.726416,54.7106,33.56298,0
"015","5am",6.615288,47.86821,45.5165,0
"016","5am",10.204031,56.61685,32.67295,0.5061733
"017","5am",14.73622,57.05515,28.20863,0
"018","5am",11.460527,46.46909,40.91399,1.1563953
"001","6am",6.633252,36.22444,56.74017,0.4021345
"002","6am",10.510274,40.14135,49.34838,0
"003","6am",7.937713,43.18855,48.87373,0
"004","6am",7.199406,41.95198,50.84862,0
"005","6am",6.628311,46.13931,46.59902,0.6333592
"006","6am",12.023878,54.27104,33.27701,0.4280733
"007","6am",12.029208,47.22729,40.36615,0.3773525
"008","6am",11.172676,57.38906,28.59676,2.8415064
"009","6am",8.800522,57.71124,33.11536,0.3728726
"010","6am",17.034821,42.88916,40.07602,0
"011","6am",13.193534,45.13126,41.67521,0
"012","6am",11.151016,51.41401,36.11808,1.3168977
"013","6am",10.462379,49.84167,38.92373,0.772221
"014","6am",12.173799,58.12245,29.70375,0
"015","6am",6.8351,46.40241,46.76249,0
"016","6am",11.175771,57.22894,31.04091,0.5543767
"017","6am",15.918072,55.46446,28.61747,0
"018","6am",12.099466,44.68378,41.99589,1.2208658
"001","7am",6.400985,37.57624,55.72618,0.296591
"002","7am",9.386427,42.16238,48.4512,0
"003","7am",7.41449,44.01505,48.57046,0
"004","7am",6.986024,44.44066,48.57332,0
"005","7am",7.453684,50.52251,41.32921,0.6945959
"006","7am",12.458654,54.84142,32.29002,0.4099006
"007","7am",15.014314,51.17705,33.07507,0.7335682
"008","7am",12.71675,52.84244,32.96373,1.4770781
"009","7am",8.569018,56.62401,34.80697,0
"010","7am",15.989308,49.32433,34.68637,0
"011","7am",14.796948,51.55258,33.65047,0
"012","7am",12.707231,48.73396,36.91577,1.6430401
"013","7am",11.43936,50.03393,37.39866,1.1280529
"014","7am",11.949028,59.42203,28.16084,0.4680974
"015","7am",7.683631,45.29264,47.02372,0
"016","7am",11.69039,53.4992,33.83588,0.9745225
"017","7am",20.367839,53.26861,26.36355,0
"018","7am",14.896902,49.05614,34.54383,1.503134
"001","8am",6.492937,41.25175,52.00698,0.2483411
"002","8am",3.666438,47.32777,49.00579,0
"003","8am",9.23188,39.96339,50.80473,0
"004","8am",7.248691,46.28794,46.46337,0
"005","8am",7.757148,59.83977,31.6802,0.7228751
"006","8am",12.50485,47.12816,39.95557,0.4114205
"007","8am",17.959531,48.38487,32.77813,0.8774654
"008","8am",13.322312,54.35872,30.77155,1.5474155
"009","8am",7.235541,50.59966,42.1648,0
"010","8am",18.761193,49.67137,31.56743,0
"011","8am",15.345607,49.97068,34.68371,0
"012","8am",10.965969,48.62555,38.73477,1.6737102
"013","8am",11.965385,53.1619,33.66634,1.2063824
"014","8am",10.536381,55.32726,33.72361,0.4127577
"015","8am",10.081809,52.73127,37.18692,0
"016","8am",14.004475,53.02385,31.80425,1.1674269
"017","8am",21.643111,56.46615,21.89074,0
"018","8am",20.638715,48.43476,28.84403,2.082497
"001","9am",7.649305,41.38799,50.71755,0.2451556
"002","9am",7.646747,47.2901,45.06316,0
"003","9am",8.255635,41.14294,50.60142,0
"004","9am",6.632357,44.53441,48.83323,0
"005","9am",6.973595,64.9217,26.85389,1.2508169
"006","9am",10.834503,49.59156,39.57394,0
"007","9am",17.67568,48.08381,33.30115,0.9393582
"008","9am",13.679957,54.61567,30.11542,1.5889568
"009","9am",7.449745,50.59128,41.95897,0
"010","9am",18.592894,50.57263,30.83447,0
"011","9am",15.253804,47.47478,37.27141,0
"012","9am",10.908094,47.70165,39.82643,1.5638209
"013","9am",11.581298,56.11338,31.0283,1.2770208
"014","9am",11.463814,50.63227,37.48636,0.4175579
"015","9am",10.498998,53.07079,36.43021,0
"016","9am",13.346878,53.83991,31.64149,1.1717268
"017","9am",19.841659,56.73012,23.42823,0
"018","9am",19.665933,53.12403,25.09149,2.1185468
"001","10am",7.521733,42.23914,50.00446,0.2346667
"002","10am",9.32435,44.04327,46.63238,0
"003","10am",6.757836,43.79771,49.44446,0
"004","10am",7.147247,48.33869,44.51406,0
"005","10am",7.810701,64.22383,27.13579,0.8296828
"006","10am",11.571295,45.6388,42.378,0.411899
"007","10am",18.353353,46.11433,34.53903,0.9932873
"008","10am",12.943811,53.55082,32.00192,1.5034517
"009","10am",7.213638,53.38895,39.39741,0
"010","10am",20.374072,49.65798,29.96795,0
"011","10am",15.132695,46.20038,38.66693,0
"012","10am",8.867149,51.53144,38.05513,1.5462828
"013","10am",12.543161,53.92462,32.29077,1.2414476
"014","10am",11.3597,49.84792,38.37406,0.4183227
"015","10am",11.119202,49.3207,39.5601,0
"016","10am",12.133065,58.83545,27.80896,1.2225251
"017","10am",18.105126,55.11848,26.7764,0
"018","10am",22.254982,53.77708,21.57048,2.3974566
"001","11am",5.753239,42.44497,51.56021,0.2415814
"002","11am",9.590523,42.71322,47.69626,0
"003","11am",7.075302,42.7993,50.1254,0
"004","11am",8.382601,47.44865,44.16875,0
"005","11am",8.633783,65.58312,24.97853,0.8045672
"006","11am",11.008247,52.76495,35.81821,0.4085904
"007","11am",17.685696,49.39081,31.96634,0.9571536
"008","11am",14.311161,47.47601,36.66931,1.5435165
"009","11am",6.997126,50.2795,42.72337,0
"010","11am",18.995819,50.10903,30.89515,0
"011","11am",15.198145,46.74639,38.05547,0
"012","11am",8.674536,50.14784,39.57217,1.605451
"013","11am",14.085756,51.8413,32.78661,1.2863277
"014","11am",10.998954,52.35127,36.2189,0.4308788
"015","11am",10.899673,53.497,35.60333,0
"016","11am",13.058286,52.64418,33.10612,1.1914161
"017","11am",20.949693,54.38842,24.66189,0
"018","11am",17.538559,53.16381,27.23656,2.0610732
"001","12am",3.911027,39.32622,56.48952,0.2732335
"002","12am",9.585939,45.55781,44.85625,0
"003","12am",8.089681,43.79517,48.11515,0
"004","12am",6.879065,45.27638,47.84456,0
"005","12am",8.436888,54.83012,35.94677,0.7862189
"006","12am",11.663513,54.97356,32.94918,0.4137514
"007","12am",15.052295,49.35043,34.35952,1.2377528
"008","12am",11.654027,52.32226,34.58286,1.4408575
"009","12am",7.55783,51.66692,40.45503,0.3202206
"010","12am",22.016779,45.77261,32.21061,0
"011","12am",15.022618,51.6213,33.35609,0
"012","12am",9.250903,51.03926,38.28206,1.4277848
"013","12am",13.031181,49.20242,36.82328,0.9431152
"014","12am",11.92686,56.28559,31.3437,0.4438577
"015","12am",10.148236,53.14703,36.70473,0
"016","12am",12.335675,54.33575,32.30026,1.028314
"017","12am",20.54474,53.63283,25.82243,0
"018","12am",15.67428,47.09355,35.39018,1.8419893
"001","1pm",5.834349,39.78068,54.38497,0
"002","1pm",8.928725,44.9092,45.78597,0.3761035
"003","1pm",6.837763,42.39976,50.76247,0
"004","1pm",7.965185,45.27203,46.76279,0
"005","1pm",9.70308,56.89186,32.50085,0.9042131
"006","1pm",10.067867,51.47323,38.05782,0.4010759
"007","1pm",16.824712,46.9598,35.37961,0.8358804
"008","1pm",13.3509,50.98124,34.14216,1.5257035
"009","1pm",6.390422,51.31704,42.29254,0
"010","1pm",19.902181,46.95697,33.14085,0
"011","1pm",13.690898,54.82236,31.48674,0
"012","1pm",9.643593,51.28282,37.47682,1.5967664
"013","1pm",12.328599,53.7441,32.68435,1.2429536
"014","1pm",12.365886,56.23802,30.9503,0.4457949
"015","1pm",8.494021,51.2927,40.21328,0
"016","1pm",12.397873,50.04482,36.44752,1.1097869
"017","1pm",20.637272,55.49368,23.86904,0
"018","1pm",17.787246,49.09668,31.02577,2.0902981
"001","2pm",7.036014,40.0674,52.89659,0
"002","2pm",8.154107,44.48852,46.96594,0.3914316
"003","2pm",7.445422,42.24608,50.3085,0
"004","2pm",9.551883,44.42382,46.0243,0
"005","2pm",8.011647,54.80141,36.16355,1.0233865
"006","2pm",10.464849,51.09811,38.01865,0.4183881
"007","2pm",15.186538,48.97683,34.97912,0.8575138
"008","2pm",12.949954,52.24996,34.80009,0
"009","2pm",6.468712,50.52172,43.00957,0
"010","2pm",20.622903,46.47692,32.90018,0
"011","2pm",13.603042,54.39568,30.6732,1.3280806
"012","2pm",10.09689,51.5898,35.79751,2.5157989
"013","2pm",12.168988,53.06537,33.58898,1.1766628
"014","2pm",11.601507,56.50443,31.45453,0.4395369
"015","2pm",10.220464,47.47663,42.3029,0
"016","2pm",11.699422,50.60077,36.61897,1.0808405
"017","2pm",17.673831,55.98107,26.3451,0
"018","2pm",15.977201,51.09938,32.92342,0
"001","3pm",6.459712,40.96339,52.5769,0
"002","3pm",7.108252,44.70501,47.76509,0.4216444
"003","3pm",8.548191,41.76245,49.00127,0.688082
"004","3pm",9.165055,40.46159,50.37336,0
"005","3pm",8.435358,54.23591,36.37707,0.9516614
"006","3pm",10.290595,49.13464,40.16334,0.4114214
"007","3pm",16.355646,49.1336,33.62558,0.885171
"008","3pm",13.209941,54.07707,29.97022,2.7427648
"009","3pm",6.28352,51.21699,42.49949,0
"010","3pm",22.96236,47.24624,29.7914,0
"011","3pm",13.769443,47.19451,39.03605,0
"012","3pm",9.187069,51.44133,37.81472,1.5568861
"013","3pm",11.746961,54.31586,32.75282,1.1843604
"014","3pm",11.499892,57.16696,31.33315,0
"015","3pm",9.6681,51.0273,39.3046,0
"016","3pm",11.130788,55.2415,32.97374,0.6539737
