"district","hour","educmen1","educmen2","educmen3","educmen4"
"001","4am",367.684,2024.704,3270.181,0
"002","4am",628.062,2423.14,3118.231,24.415
"003","4am",524.737,2537.252,2953.536,0
"004","4am",527.083,3291.345,3892.319,0
"005","4am",286.729,2109.912,2006.952,27.398
"006","4am",548.752,2547.245,1479.713,18.865
"007","4am",594.268,2428.091,2032.868,45.473
"008","4am",587.729,3185.831,1587.819,149.475
"009","4am",374.799,2501.8,1393.664,15.88
"010","4am",769.077,1745.821,1610.429,0
"011","4am",653.067,2405.609,2064.061,0
"012","4am",845.333,3888,2758.33,99.831
"013","4am",751.626,3475.239,2708.659,55.477
"014","4am",872.582,4013.382,2479.423,0
"015","4am",403.217,2859.299,2648.374,0
"016","4am",658.033,3768.334,2165.617,33.55
"017","4am",998.48,3905.364,1911.328,0
"018","4am",476.589,1932.429,1745.935,48.089
"001","5am",402.728,2134.659,3250.087,0
"002","5am",628.062,2423.14,3118.231,24.415
"003","5am",489.693,2627.282,3041.564,0
"004","5am",527.083,3272.439,3892.319,0
"005","5am",286.729,2072.775,2015.791,27.398
"006","5am",548.752,2546.786,1479.713,18.865
"007","5am",594.268,2428.091,2032.868,18.642
"008","5am",587.729,2992.566,1491.098,149.475
"009","5am",374.799,2475.931,1393.664,15.88
"010","5am",769.077,1764.441,1610.429,0
"011","5am",653.067,2338.787,2064.061,0
"012","5am",845.333,3895.394,2687.925,99.831
"013","5am",751.626,3475.239,2708.659,55.477
"014","5am",872.582,4071.106,2497.477,0
"015","5am",384.91,2785.208,2648.374,0
"016","5am",676.34,3752.658,2165.617,33.55
"017","5am",998.48,3865.878,1911.328,0
"018","5am",476.589,1932.429,1701.419,48.089
"001","6am",402.728,2199.313,3444.895,24.415
"002","6am",628.062,2398.725,2948.909,0
"003","6am",489.693,2664.386,3015.116,0
"004","6am",545.948,3181.318,3855.971,0
"005","6am",286.729,1995.905,2015.791,27.398
"006","6am",529.887,2391.701,1466.503,18.865
"007","6am",594.268,2333.127,1994.172,18.642
"008","6am",587.729,3018.902,1504.308,149.475
"009","6am",374.799,2457.822,1410.326,15.88
"010","6am",749.079,1885.982,1762.279,0
"011","6am",653.067,2233.953,2062.882,0
"012","6am",845.333,3897.578,2738.029,99.831
"013","6am",751.626,3580.667,2796.313,55.477
"014","6am",872.582,4166.046,2129.077,0
"015","6am",384.91,2613.093,2633.37,0
"016","6am",676.34,3463.405,1878.547,33.55
"017","6am",998.48,3479.074,1795.065,0
"018","6am",476.589,1760.061,1654.187,48.089
"001","7am",526.921,3093.229,4587.309,24.415
"002","7am",572.42,2571.222,2954.738,0
"003","7am",505.684,3001.92,3312.609,0
"004","7am",545.948,3472.975,3795.937,0
"005","7am",294.007,1992.836,1630.211,27.398
"006","7am",573.389,2523.986,1486.095,18.865
"007","7am",582.403,1985.15,1282.977,28.455
"008","7am",587.729,2442.215,1523.482,68.266
"009","7am",374.799,2476.669,1522.417,0
"010","7am",695.942,2146.864,1509.74,0
"011","7am",589.85,2055.038,1341.407,0
"012","7am",894.906,3432.086,2599.791,115.711
"013","7am",751.626,3287.492,2457.288,74.119
"014","7am",856.424,4258.962,2018.375,33.55
"015","7am",344.962,2033.445,2111.163,0
"016","7am",632.838,2896.082,1831.644,52.754
"017","7am",1010.345,2642.385,1307.762,0
"018","7am",476.589,1569.428,1105.143,48.089
"001","8am",638.336,4055.557,5112.929,24.415
"002","8am",200.374,2586.504,2678.209,0
"003","8am",729.997,3160.045,4017.307,0
"004","8am",545.948,3486.258,3499.471,0
"005","8am",294.007,2268.013,1200.725,27.398
"006","8am",573.389,2160.983,1832.096,18.865
"007","8am",582.403,1569.055,1062.95,28.455
"008","8am",587.729,2398.097,1357.522,68.266
"009","8am",374.799,2621.048,2184.125,0
"010","8am",871.188,2306.522,1465.854,0
"011","8am",567.663,1848.51,1283.016,0
"012","8am",758.126,3361.7,2677.906,115.711
"013","8am",735.142,3266.217,2068.428,74.119
"014","8am",856.424,4497.141,2741.141,33.55
"015","8am",344.962,1804.268,1272.398,0
"016","8am",632.838,2396.056,1437.179,52.754
"017","8am",1010.345,2635.956,1021.905,0
"018","8am",476.589,1118.455,666.066,48.089
"001","9am",761.793,4121.823,5050.952,24.415
"002","9am",437.384,2704.932,2577.554,0
"003","9am",677.886,3378.326,4154.98,0
"004","9am",481.276,3231.633,3543.576,0
"005","9am",257.927,2401.209,993.224,46.263
"006","9am",502.675,2300.838,1836.063,0
"007","9am",535.431,1456.553,1008.757,28.455
"008","9am",587.729,2346.441,1293.842,68.266
"009","9am",374.799,2545.263,2110.969,0
"010","9am",841.229,2288.141,1395.095,0
"011","9am",528.15,1643.774,1290.491,0
"012","9am",807.117,3529.564,2946.857,115.711
"013","9am",672.185,3256.852,1800.9,74.119
"014","9am",921.096,4068.208,3011.959,33.55
"015","9am",344.962,1743.729,1196.975,0
"016","9am",600.909,2424.004,1424.577,52.754
"017","9am",910.376,2602.894,1074.935,0
"018","9am",446.398,1205.865,569.553,48.089
"001","10am",782.57,4394.61,5202.523,24.415
"002","10am",503.646,2378.956,2518.804,0
"003","10am",586.909,3803.772,4294.185,0
"004","10am",481.276,3254.995,2997.455,0
"005","10am",257.927,2120.816,896.085,27.398
"006","10am",529.966,2090.26,1940.915,18.865
"007","10am",525.774,1321.051,989.45,28.455
"008","10am",587.729,2431.538,1453.085,68.266
"009","10am",345.055,2553.791,1884.524,0
"010","10am",977.31,2382.01,1437.512,0
"011","10am",506.93,1547.666,1295.303,0
"012","10am",663.544,3856.186,2847.731,115.711
"013","10am",748.873,3219.499,1927.878,74.119
"014","10am",911.062,3997.865,3077.647,33.55
