"hour";"101";"102";"103";"104";"105";"106";"107";"108";"109";"110";"111";"112";"113";"114";"115";"116";"117";"118";"119";"120";"121";"122";"123";"124";"125";"126";"127";"128";"129";"130"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689";"13958.81689"
"4am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"5am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"6am";" 0.00000";"27.78025";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";"80.06445";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000";" 0.00000"
"7am";"   0.00000";" 831.49046";"1109.19040";"1564.16739";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  80.82151";" 144.03807";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 712.32811";"   0.00000";"  80.06445";"   0.00000";"   0.00000";" 817.81676";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  89.92237";"   0.00000"
"8am";"   0.00000";"1287.82675";"1449.47070";"1994.09598";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  80.82151";" 401.33217";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 825.05581";"   0.00000";"  80.06445";" 115.12080";"   0.00000";" 817.81676";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  52.32775";"  89.92237";"   0.00000"
"9am";"   0.00000";"1573.75663";"1496.43524";"1994.09598";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  80.82151";" 401.33217";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 825.05581";"   0.00000";"  80.06445";" 115.12080";"   0.00000";" 817.81676";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  52.32775";"  89.92237";"   0.00000"
"10am";"  45.07173";"1573.75663";"1496.43524";"1683.76611";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  80.82151";" 401.33217";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 825.05581";"   0.00000";"  80.06445";" 115.12080";"   0.00000";" 817.81676";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  52.32775";"  89.92237";"   0.00000"
"11am";"  45.07173";"1260.41302";"1133.94959";"1538.19242";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  80.82151";" 401.33217";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 825.05581";"   0.00000";"  80.06445";" 115.12080";"   0.00000";" 712.37446";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  52.32775";"  89.92237";"   0.00000"
"12am";"   0.00000";" 899.30467";" 756.88436";"1271.07707";"   0.00000";"   0.00000";"   0.00000";"  41.59720";"   0.00000";"   0.00000";"   0.00000";" 144.03807";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 723.99585";"   0.00000";"  80.06445";"   0.00000";"   0.00000";" 397.37847";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  52.32775";"  89.92237";"   0.00000"
"1pm";"   0.00000";"1311.50442";"1424.72763";"1516.72220";"   0.00000";"   0.00000";"   0.00000";"  41.59720";"   0.00000";"   0.00000";"   0.00000";" 144.03807";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 825.05581";"   0.00000";"  80.06445";"   0.00000";"   0.00000";" 432.19555";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  52.32775";"  89.92237";"   0.00000"
"2pm";"   0.00000";"1311.50442";"1532.17623";"1433.37483";"   0.00000";"   0.00000";"   0.00000";"  41.59720";"   0.00000";"   0.00000";"   0.00000";" 144.03807";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 825.05581";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 501.66084";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  52.32775";"  89.92237";"   0.00000"
"3pm";"   0.00000";" 983.24805";"1342.37911";"1397.87686";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 144.03807";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 748.83886";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 430.86675";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  52.32775";"  89.92237";"   0.00000"
"4pm";"   0.00000";" 880.81823";" 951.08000";"1196.57068";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 776.14411";"   0.00000";"   0.00000";"   0.00000";"   0.00000";" 249.50473";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  52.32775";"  56.81601";"   0.00000"
"5pm";"  0.0000";"485.0340";"441.8592";"876.0613";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"130.3124";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"177.3963";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
