"variable","CODE_SEC","RES_SEC","W_IND"
"h9","101","102",347.82115
"h9","101","103",87.79185
"h9","101","105",24.31725
"h9","101","106",45.74374
"h9","101","109",22.71728
"h9","101","110",39.64889
"h9","101","112",42.85416
"h9","101","114",30.22871
"h9","101","115",69.78263
"h9","101","118",25.52647
"h9","101","126",51.29005
"h9","102","101",71.59252
"h9","102","103",200.98167
"h9","102","104",44.56758
"h9","102","105",29.19198
"h9","102","106",54.85888
"h9","102","107",58.30081
"h9","102","108",80.69787
"h9","102","111",42.32822
"h9","102","118",51.05294
"h9","102","124",41.64278
"h9","103","105",85.3798
"h9","103","106",86.84589
"h9","103","107",66.66315
"h9","103","108",80.69787
"h9","103","110",39.64889
"h9","103","112",42.85416
"h9","103","113",33.74467
"h9","103","120",31.17942
"h9","103","124",41.64278
"h9","108","101",60.03266
"h9","108","103",50.06191
"h9","108","104",105.8033
"h9","108","105",36.7453
"h9","108","106",31.98701
"h9","108","107",20.51573
"h9","108","109",22.71728
"h9","108","110",26.89248
"h9","108","111",38.03533
"h9","108","113",42.78701
"h9","108","114",58.61787
"h9","108","126",51.29005
"h9","108","127",63.45433
"h10","101","102",264.68048
"h10","101","103",37.72994
"h10","101","104",173.74398
"h10","101","105",36.7453
"h10","101","106",45.74374
"h10","101","108",54.53253
"h10","101","109",22.71728
"h10","101","110",39.64889
"h10","101","114",28.38916
"h10","101","115",69.78263
"h10","101","124",41.64278
"h10","101","126",51.29005
"h10","102","101",35.79626
"h10","102","103",213.31364
"h10","102","104",111.32546
"h10","102","105",36.7453
"h10","102","106",31.98701
"h10","102","107",78.81654
"h10","102","109",49.55877
"h10","102","111",38.03533
"h10","102","114",28.38916
"h10","102","118",25.52647
"h10","102","124",41.64278
"h10","102","128",39.88896
"h10","103","102",158.38183
"h10","103","105",122.1251
"h10","103","106",54.85888
"h10","103","107",46.14742
"h10","103","108",190.74589
"h10","103","110",66.54137
"h10","103","112",42.85416
"h10","103","116",37.64951
"h10","108","101",35.12771
"h10","108","104",105.8033
"h10","108","105",48.6345
"h10","108","106",54.85888
"h10","108","107",41.03146
"h10","108","109",22.71728
"h10","108","110",80.67744
"h10","108","114",28.38916
"h10","108","116",37.64951
"h10","108","118",25.52647
"h10","108","126",51.29005
"h11","102","103",48.62981
"h11","102","104",68.12393
"h11","102","106",31.98701
"h11","102","107",37.78508
"h11","102","108",54.53253
"h11","102","109",125.46723
"h11","102","115",36.80431
"h11","102","124",41.64278
"h11","102","128",39.88896
"h14","101","102",191.10824
"h14","101","103",50.06191
"h14","101","104",81.48225
"h14","101","105",61.06255
"h14","101","106",44.23749
"h14","101","107",25.63169
"h14","101","108",110.04802
"h14","101","109",32.90411
"h14","101","126",51.29005
"h14","102","103",50.06191
"h14","102","104",92.26173
"h14","102","105",36.7453
"h14","102","107",20.51573
"h14","102","108",243.84958
"h14","102","109",32.90411
"h14","102","113",159.28447
"h14","102","114",58.61787
"h14","102","115",36.80431
"h14","102","124",41.64278
"h14","102","126",127.99855
"h14","102","129",55.3132
"h14","103","101",17.89813
"h14","103","102",132.9162
"h14","103","105",134.36594
"h14","103","106",54.85888
"h14","103","107",20.51573
"h14","103","110",26.89248
"h14","103","111",38.03533
"h14","103","119",55.94602
"h14","103","127",55.00459
"h14","108","101",84.93761
"h14","108","102",191.10824
"h14","108","104",74.59404
"h14","108","105",48.6345
"h14","108","106",45.74374
"h14","108","107",41.03146
"h14","108","109",55.62139
"h14","108","110",140.90264
"h14","108","114",28.38916
"h14","108","116",37.64951
"h14","108","120",36.03198
"h14","108","128",41.63039
"h14","108","129",59.61081
"h14","117","109",22.71728
"h14","117","118",235.06653
"h14","117","119",133.04406
"h15","101","102",146.80284
"h15","101","103",98.69172
"h15","101","104",112.69151
"h15","101","105",134.55315
"h15","101","106",44.23749
"h15","101","107",20.51573
"h15","101","108",54.53253
"h15","101","110",31.13929
"h15","101","115",53.05409
"h15","101","119",55.94602
"h15","101","123",30.8541
"h15","102","101",24.90495
"h15","102","103",50.06191
"h15","102","104",92.26173
"h15","102","105",90.25453
"h15","102","106",22.87187
"h15","102","108",133.80156
"h15","102","109",22.71728
"h15","102","111",91.14527
"h15","102","113",68.15068
"h15","102","114",60.45742
"h15","102","115",36.80431
"h15","102","124",41.64278
"h15","102","126",51.29005
"h15","102","127",55.00459
