"variable","CODE_SEC","RES_SEC","W_IND"
"h8","102","101",25.45306
"h8","102","103",79.09082
"h8","102","104",216.68913
"h8","102","107",60.1475
"h8","102","108",45.21784
"h8","102","109",30.56508
"h8","102","111",92.40338
"h8","102","115",106.34189
"h8","102","116",81.7217
"h8","102","120",67.26213
"h8","102","122",55.67038
"h8","102","129",81.28262
"h8","106","102",126.81769
"h8","106","105",34.0725
"h8","106","107",15.28427
"h8","106","108",193.32271
"h8","106","109",138.43874
"h8","106","112",45.67964
"h8","106","114",40.49014
"h8","106","115",269.43017
"h8","106","123",53.7537
"h8","106","124",75.79014
"h8","106","126",97.77583
"h8","108","101",35.10174
"h8","108","103",41.36088
"h8","108","104",31.20926
"h8","108","109",80.57832
"h8","108","110",61.00708
"h8","108","111",63.43593
"h8","108","116",179.87241
"h8","108","120",42.9812
"h8","108","122",45.4255
"h8","108","129",71.21218
"h9","101","102",179.98156
"h9","101","105",76.84355
"h9","101","106",33.53086
"h9","101","108",168.93717
"h9","101","109",90.56955
"h9","101","110",49.4638
"h9","101","111",60.67404
"h9","101","113",47.67725
"h9","101","115",32.97832
"h9","101","126",51.29005
"h9","101","127",146.9498
"h9","102","101",52.99987
"h9","102","103",201.37907
"h9","102","104",216.68913
"h9","102","105",29.19198
"h9","102","107",60.1475
"h9","102","108",125.91571
"h9","102","109",61.13016
"h9","102","111",175.70923
"h9","102","115",73.36357
"h9","102","116",81.7217
"h9","102","118",25.52647
"h9","102","120",67.26213
"h9","102","122",55.67038
"h9","102","129",81.28262
"h9","103","101",28.64172
"h9","103","105",58.35069
"h9","103","106",65.51787
"h9","103","108",101.84907
"h9","103","109",41.46723
"h9","103","111",93.81805
"h9","103","112",42.85416
"h9","103","115",38.64951
"h9","103","124",107.46748
"h9","103","129",66.30468
"h9","106","102",171.12309
"h9","106","103",31.17228
"h9","106","105",34.0725
"h9","106","107",30.56854
"h9","106","108",193.32271
"h9","106","109",138.43874
"h9","106","111",63.43593
"h9","106","112",45.67964
"h9","106","114",76.29795
"h9","106","115",269.43017
"h9","106","123",53.7537
"h9","106","124",75.79014
"h9","106","126",152.97432
"h9","106","128",55.2059
"h9","108","101",95.1344
"h9","108","103",41.36088
"h9","108","104",68.88863
"h9","108","109",103.2956
"h9","108","110",61.00708
"h9","108","114",28.38916
"h9","108","116",179.87241
"h9","108","120",42.9812
"h9","108","127",63.45433
"h9","108","129",71.21218
"h10","101","102",85.2619
"h10","101","104",153.57962
"h10","101","105",52.5263
"h10","101","106",33.53086
"h10","101","107",30.25107
"h10","101","108",223.4697
"h10","101","109",22.71728
"h10","101","110",49.4638
"h10","101","111",60.67404
"h10","101","112",48.76895
"h10","101","113",47.67725
"h10","101","114",28.38916
"h10","101","115",32.97832
"h10","101","124",41.64278
"h10","101","126",51.29005
"h10","101","127",146.9498
"h10","102","101",35.10174
"h10","102","103",201.37907
"h10","102","104",192.28591
"h10","102","107",80.66323
"h10","102","108",45.21784
"h10","102","109",61.13016
"h10","102","111",175.70923
"h10","102","115",73.36357
"h10","102","116",148.14041
"h10","102","118",25.52647
"h10","102","120",67.26213
"h10","102","122",55.67038
"h10","102","124",73.07886
"h10","102","128",39.88896
"h10","102","129",81.28262
"h10","103","101",28.64172
"h10","103","102",55.13761
