"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.1043,0.0925,0.103,0.1291
"5am",0.1077,0.0909,0.1058,0.1313
"6am",0.1139,0.0952,0.103,0.1304
"7am",0.1107,0.0945,0.1009,0.1547
"8am",0.1151,0.1035,0.1094,0.1658
"9am",0.1089,0.095,0.1011,0.1546
"10am",0.1099,0.0947,0.0961,0.1576
"11am",0.1032,0.1013,0.0873,0.1696
"12am",0.0982,0.1002,0.1094,0.1522
"1pm",0.1081,0.106,0.1234,0.1622
"2pm",0.1013,0.1036,0.1117,0.161
"3pm",0.0964,0.0957,0.1028,0.1436
"4pm",0.093,0.1065,0.1187,0.1558
"5pm",0.1022,0.0975,0.1137,0.1422
"6pm",0.1017,0.1029,0.1056,0.1441
"7pm",0.11,0.1021,0.1108,0.1334
"8pm",0.1104,0.1011,0.1185,0.1395
"9pm",0.1119,0.0997,0.1122,0.1321
"10pm",0.1083,0.1012,0.1108,0.1275
"11pm",0.1069,0.1037,0.1099,0.1203
"12pm",0.1042,0.1007,0.1011,0.1243
"1am",0.1039,0.0982,0.1005,0.1209
"2am",0.1042,0.0973,0.1004,0.1215
"3am",0.1042,0.0976,0.0992,0.1208
