"district","hour","occ1","occ2","occ3","occ4","occ5"
"101","4am",34.28457,11.878046,18.897118,24.65873,10.281537
"102","4am",33.71486,7.848402,15.701192,36.37569,6.359854
"103","4am",37.88122,12.346224,9.710896,34.70748,5.354182
"104","4am",45.49591,7.244938,10.137876,31.7729,5.34838
"105","4am",38.74354,9.904546,6.495383,42.75386,2.102676
"106","4am",45.43448,3.526928,15.000191,27.36372,8.674684
"107","4am",34.78936,7.537047,12.874158,37.45442,7.34502
"108","4am",47.05936,8.336327,5.858837,32.57543,6.17004
"109","4am",57.47433,6.777782,3.102128,31.31429,1.331467
"110","4am",50.79099,4.367101,5.236943,33.93746,5.667508
"111","4am",52.78561,6.492632,7.334371,30.41981,2.967585
"112","4am",29.85928,7.399374,16.205255,40.77264,5.763459
"113","4am",46.34282,6.892516,8.309491,35.62828,2.826892
"114","4am",55.50829,2.964689,11.178119,26.36137,3.987535
"115","4am",54.48403,6.117918,3.966846,32.18295,3.248258
"116","4am",56.16939,7.011585,3.348841,29.18748,4.282712
"117","4am",36.4805,5.909953,23.591027,31.63993,2.378592
"118","4am",38.07537,9.172049,7.594194,39.7591,5.399292
"119","4am",37.25347,0,16.92499,42.12152,3.700017
"120","4am",36.69091,5.565007,13.016964,41.5838,3.143318
"121","4am",40.4778,8.972573,14.401733,32.75814,3.389754
"122","4am",47.31715,8.36203,10.143618,29.63275,4.544461
"123","4am",42.27304,7.132755,8.616622,37.63462,4.342963
"124","4am",41.39042,1.2345,16.41941,35.33087,5.624798
"125","4am",47.99621,4.563401,5.760188,39.65417,2.026028
"126","4am",57.00491,2.426235,1.816072,35.90763,2.84516
"127","4am",49.03225,5.269523,5.759416,35.7065,4.232312
"128","4am",47.06967,3.420099,7.47979,39.53456,2.495876
"129","4am",43.97296,2.953441,9.036479,40.76943,3.267688
"130","4am",41.10601,5.085233,7.833731,40.66687,5.308158
"101","5am",36.90254,11.526863,17.663363,23.92968,9.977555
"102","5am",34.25184,7.784822,15.573996,36.08101,6.308332
"103","5am",37.65997,12.390198,9.745483,34.8311,5.373252
"104","5am",45.05454,7.303607,10.219972,32.03019,5.391691
"105","5am",35.94582,10.356908,6.792041,44.70652,2.19871
"106","5am",46.24743,3.474381,14.776708,26.95604,8.545442
"107","5am",43.95471,6.477715,11.064696,32.1902,6.312678
"108","5am",46.37099,8.444721,5.935018,32.999,6.250267
"109","5am",57.14671,6.829998,3.126027,31.55554,1.341724
"110","5am",49.08529,4.518475,5.418468,35.11381,5.863958
"111","5am",54.33602,6.279429,7.093527,29.42089,2.870137
"112","5am",30.06985,7.37716,16.156605,40.65023,5.746156
"113","5am",46.1111,6.922282,8.345376,35.78214,2.8391
"114","5am",54.51413,2.991633,11.869509,26.60095,4.023775
"115","5am",54.08163,6.172006,4.001916,32.46747,3.276976
"116","5am",55.66133,7.092858,3.387658,29.5258,4.332354
"117","5am",36.33538,5.886443,23.497182,31.91186,2.36913
"118","5am",37.14064,9.380713,7.766962,40.18956,5.522126
"119","5am",38.50077,0,16.588548,41.28421,3.626467
"120","5am",35.20357,5.695747,13.322774,42.56074,3.217165
"121","5am",40.15011,9.02197,14.48102,32.93848,3.408416
"122","5am",46.27321,8.527728,10.344619,30.21993,4.634512
"123","5am",42.29083,7.130556,8.613966,37.62302,4.341624
"124","5am",39.43842,1.275615,16.966261,36.50757,5.812132
"125","5am",48.52668,3.508596,5.823852,40.09245,2.04842
"126","5am",57.46973,2.400005,1.796438,35.51942,2.814401
"127","5am",47.76009,5.454633,5.961735,36.44255,4.380986
"128","5am",46.79848,3.437622,7.518113,39.73712,2.508664
"129","5am",42.69084,3.021027,9.24327,41.7024,3.342465
"130","5am",38.81674,4.829711,8.204214,42.59014,5.559198
"101","6am",37.44831,11.705516,16.413413,24.30056,10.132196
"102","6am",32.06914,7.492897,16.238896,37.62141,6.577654
"103","6am",36.4144,12.366184,9.119072,36.4737,5.626649
"104","6am",45.74892,7.279473,10.186201,31.41154,5.373874
"105","6am",36.2055,10.382515,6.808835,44.399,2.204146
"106","6am",47.90615,2.635219,14.535842,26.51664,8.406149
"107","6am",46.31921,5.197141,10.822737,31.48627,6.174634
"108","6am",43.79526,8.223129,6.383546,34.87545,6.722619
"109","6am",56.68465,7.03874,3.221566,31.67232,1.382731
"110","6am",49.17293,4.464042,5.353193,35.21652,5.793315
"111","6am",55.46298,5.611876,7.094027,28.96078,2.870339
"112","6am",28.06962,7.492934,17.312931,41.28818,5.836334
"113","6am",46.6683,5.059222,8.577411,36.77703,2.918039
"114","6am",53.12808,3.082795,12.231199,27.41154,4.146389
"115","6am",52.37023,3.823266,4.410717,35.78407,3.611723
"116","6am",54.33723,7.304674,3.488825,30.40753,4.461733
"117","6am",38.51996,3.811598,23.714182,31.56326,2.39101
"118","6am",37.17706,9.375277,7.762462,40.16627,5.518926
"119","6am",38.83195,0,16.499217,41.06189,3.606938
"120","6am",32.03023,7.203189,13.69831,43.76042,3.307848
"121","6am",39.49224,7.721314,15.039009,34.20768,3.53975
"122","6am",46.50187,5.810869,10.914087,31.88353,4.88964
"123","6am",43.67672,7.005759,8.463206,36.58868,4.265638
"124","6am",38.35957,0,17.640054,37.95742,6.042954
"125","6am",47.3611,2.362726,6.104508,42.02453,2.147135
"126","6am",58.27765,1.211387,1.81348,35.85639,2.8411
"127","6am",46.47886,4.927473,6.192174,37.85117,4.550325
"128","6am",45.03206,3.55176,7.767733,41.05649,2.591958
"129","6am",43.56633,2.974876,9.102063,41.06532,3.291403
"130","6am",38.40992,4.861825,8.258766,42.87333,5.596163
"101","7am",48.32591,6.511925,14.248606,22.11773,8.795835
"102","7am",34.02335,13.728035,13.819592,32.13523,6.293793
"103","7am",35.60564,20.604297,9.59437,30.48282,3.712875
"104","7am",31.88031,25.487256,10.138486,27.82109,4.672858
"105","7am",42.11777,5.863127,5.490493,44.17746,2.351147
"106","7am",55.08041,1.402455,13.014624,22.97609,7.526421
"107","7am",57.35217,3.727433,8.788387,25.68424,4.447766
"108","7am",47.45823,1.027671,5.111262,38.61073,7.792109
"109","7am",49.48253,0,4.920939,43.65615,1.940374
"110","7am",49.4052,3.084112,5.31082,36.45241,5.747459
"111","7am",47.19289,5.705413,8.670509,34.92298,3.508205
"112","7am",28.39774,4.045951,17.878534,43.4273,6.250473
"113","7am",44.44272,1.81692,9.671792,40.77822,3.290348
"114","7am",53.21239,2.502358,10.308071,29.51293,4.464254
"115","7am",47.26178,3.537176,5.118784,39.89073,4.191525
"116","7am",50.80224,3.27337,4.239786,36.26249,5.42211
"117","7am",39.07884,0,24.187885,34.10438,2.628889
"118","7am",30.64071,14.613816,8.04942,40.97311,5.722947
"119","7am",37.93596,0,16.470508,41.99287,3.600662
"120","7am",28.97582,5.878347,14.897678,46.65069,3.59747
"121","7am",40.20797,6.83383,14.459523,34.79659,3.702086
"122","7am",44.57163,2.945043,11.666644,36.08393,4.732755
"123","7am",40.85314,11.980861,7.413314,35.64815,4.104536
"124","7am",33.14836,0,19.364848,40.85297,6.633816
"125","7am",44.28178,0,6.228287,47.04981,2.440124
"126","7am",51.63206,1.369962,2.050872,41.73409,3.213012
"127","7am",41.43601,3.522992,7.013742,42.8732,5.154054
"128","7am",45.29781,2.853245,8.77014,40.48773,2.591073
"129","7am",45.86477,4.298452,7.763976,38.99149,3.081311
"130","7am",32.77037,5.307002,9.014987,46.79906,6.10858
"101","8am",47.82496,5.3353624,16.657258,22.01578,8.166639
"102","8am",41.18838,11.4169908,11.754022,29.37924,6.261364
"103","8am",32.11071,25.3204662,8.93324,30.70282,2.932765
"104","8am",33.90198,26.5875559,8.064543,26.82556,4.620361
"105","8am",37.63793,3.5893258,7.578396,49.20638,1.987965
"106","8am",56.16768,0.6459961,13.170162,23.3655,6.65066
"107","8am",64.68581,3.3765706,6.211582,21.80624,3.919789
"108","8am",46.01861,1.0278642,6.735811,37.75877,8.458938
"109","8am",47.58599,0,3.890646,46.32572,2.197644
"110","8am",48.45255,0.8730667,7.102011,37.80682,5.76555
"111","8am",45.42962,4.8071489,8.226231,36.59601,4.940991
"112","8am",32.19218,5.5115426,17.48126,39.52878,5.286234
"113","8am",41.95086,3.3988779,10.203171,40.97597,3.471123
"114","8am",53.49083,2.4788152,10.211091,29.39701,4.422254
"115","8am",41.65519,1.3056418,6.036222,46.06018,4.94277
"116","8am",49.78957,2.2724617,4.515228,37.64838,5.774362
"117","8am",42.06668,0,23.184714,31.66911,3.079498
"118","8am",28.55618,16.1063845,8.141738,41.39099,5.804703
"119","8am",38.61105,0,12.269394,45.70148,3.418074
"120","8am",28.52953,6.2456035,14.923852,47.45277,2.848249
"121","8am",41.73887,4.9739923,11.592438,37.68528,4.00942
"122","8am",39.10442,0,11.995689,43.23829,5.661596
"123","8am",42.09934,13.2971361,6.830833,34.73003,3.042656
"124","8am",31.24029,0,19.662417,42.09431,7.002987
"125","8am",42.37014,0,5.642783,49.34559,2.641484
"126","8am",52.91786,0,1.482905,42.97873,2.620496
"127","8am",38.35921,5.6606577,6.268631,44.30492,5.406581
"128","8am",43.53363,1.9108186,9.327758,42.47197,2.755817
"129","8am",43.51788,5.1533485,8.208693,39.86227,3.257807
"130","8am",32.11465,5.3765901,9.133196,47.18689,6.188679
"101","9am",49.60932,4.6623538,12.298999,26.29284,7.13649
"102","9am",38.43999,14.0724416,12.976538,27.65888,6.852144
"103","9am",36.8214,22.1966025,7.975592,29.82401,3.182396
"104","9am",31.67784,27.9753187,10.559417,25.99959,3.787832
"105","9am",40.15872,3.6539573,6.545099,47.61846,2.023761
"106","9am",58.32544,0.6445876,14.515465,21.31258,5.201935
"107","9am",66.45859,3.2567507,5.728069,20.03426,4.522334
"108","9am",40.23789,2.7417421,8.253822,39.294,9.472548
"109","9am",47.08263,0,5.349711,45.27151,2.296153
"110","9am",47.14204,0.9160767,8.253877,36.68824,6.999764
"111","9am",46.40663,5.1420245,8.113685,35.05247,5.285191
"112","9am",32.25482,5.3986407,17.535928,40.44111,4.369504
"113","9am",41.27115,3.5803254,8.852339,42.63976,3.656428
"114","9am",53.35075,1.7511551,10.029202,30.231,4.637898
"115","9am",41.88272,1.3001502,6.010833,45.88432,4.921981
"116","9am",50.47309,2.5318803,3.917228,37.78428,5.293517
"117","9am",42.18189,0,21.882426,32.6634,3.272292
"118","9am",31.0814,15.6859005,10.242191,38.34588,4.644628
"119","9am",37.78895,0,10.936274,47.21499,4.05978
"120","9am",25.99378,1.706446,16.363251,51.74564,4.190878
"121","9am",41.45106,5.2861888,12.320047,38.44084,2.501866
"122","9am",39.86798,0,13.447419,40.81732,5.867281
"123","9am",41.83958,12.6861422,7.007081,35.56434,2.902848
"124","9am",29.5833,0,19.687539,43.32248,7.406678
"125","9am",41.53258,0,4.945184,50.76081,2.761423
"126","9am",54.10663,0,1.552374,41.59774,2.743259
"127","9am",38.62974,5.5712441,6.169614,44.30822,5.321181
"128","9am",42.62692,1.9576975,10.332655,42.25931,2.823427
"129","9am",41.63778,5.0378016,8.02464,42.11502,3.184761
"130","9am",35.88378,0,10.043604,47.26704,6.805574
"101","10am",47.48216,6.8826676,11.54716,24.9889,9.099112
"102","10am",41.57055,14.5561254,12.072484,26.77702,5.023825
"103","10am",32.28169,23.0087886,7.904743,31.33897,5.465809
"104","10am",32.81546,25.9581733,12.209403,25.01491,4.002046
"105","10am",47.16356,3.629562,5.726173,42.01511,1.465593
"106","10am",58.05056,0.6814732,11.42866,22.32678,7.512523
"107","10am",67.54476,3.2533715,5.340329,19.75339,4.108158
"108","10am",39.32704,0.9332625,10.377642,40.91213,8.449924
"109","10am",47.62801,1.2562058,5.282084,43.56657,2.267127
"110","10am",47.21171,0.9281425,6.181523,38.58667,7.09196
"111","10am",43.9399,4.6702723,10.55356,36.88906,3.947206
"112","10am",33.41785,5.2888995,13.572245,42.81018,4.910829
"113","10am",42.56109,3.6591792,9.047304,40.99547,3.736957
"114","10am",52.79395,1.8946314,10.019224,30.98435,4.307851
"115","10am",41.79751,1.3036083,6.026821,44.51397,6.358089
"116","10am",52.0801,2.4860381,4.93959,36.6888,3.805465
"117","10am",40.5061,0,23.789273,32.54916,3.155468
"118","10am",28.53907,15.6966604,9.917542,41.19891,4.647814
"119","10am",37.78361,0,14.666171,43.4304,4.119811
"120","10am",28.82476,1.6467659,15.790973,49.69319,4.044309
"121","10am",43.18679,5.5963906,11.861165,36.70697,2.64868
"122","10am",40.50442,0,11.982754,41.39659,6.116241
"123","10am",40.30694,12.9619558,6.744508,36.28842,3.698168
"124","10am",32.00803,0,17.499451,44.80867,5.68385
"125","10am",42.14057,0,4.10041,51.02007,2.738946
"126","10am",51.69338,0,1.461039,43.70913,3.136454
"127","10am",41.39287,5.7185672,6.33276,43.31464,3.241163
"128","10am",44.34109,2.0389868,9.953418,40.72584,2.940664
"129","10am",41.09437,5.0132257,9.070661,41.65252,3.169225
"130","10am",35.52336,0,8.411595,48.67483,7.390208
"101","11am",51.26163,8.7125741,11.451091,20.60545,7.969255
"102","11am",42.70413,13.9004398,11.286101,27.95263,4.156699
"103","11am",37.64765,17.5461702,9.698745,29.8377,5.269733
"104","11am",33.72352,22.543307,11.94051,25.97373,5.818937
"105","11am",39.69989,4.0912014,7.342215,46.48989,2.376811
"106","11am",59.50219,0.6746918,10.680931,22.06875,7.073446
"107","11am",62.16677,3.9955558,6.157932,22.17475,5.50499
"108","11am",38.2625,2.9394935,9.661834,41.99915,7.13703
"109","11am",45.87677,1.2794196,5.379693,45.15509,2.309022
"110","11am",50.15338,0.9892275,4.370091,38.11596,6.371343
"111","11am",39.68539,4.9154493,12.007984,39.43743,3.95374
"112","11am",33.01695,5.3702164,15.759286,40.46308,5.390471
"113","11am",44.30969,2.5947752,8.533017,40.31189,4.250636
"114","11am",52.99844,1.7137081,10.480015,30.26912,4.53872
"115","11am",41.03761,1.2970346,5.996429,46.75874,4.910186
"116","11am",48.20287,2.371716,5.465076,39.00169,4.958654
"117","11am",35.17984,0,23.509297,37.16047,4.150387
"118","11am",32.5835,15.3329209,8.625432,37.93219,5.525948
"119","11am",41.56463,0,14.247477,41.60778,2.580119
"120","11am",28.89488,6.5922102,10.802566,49.676,4.034345
"121","11am",42.98194,5.3341085,13.454014,34.81782,3.412123
"122","11am",40.74964,0,11.919381,41.35635,5.974627
"123","11am",40.61659,13.1390625,6.836662,36.40119,3.006486
"124","11am",29.456,0,17.338081,45.84373,7.362181
"125","11am",41.97506,2.3421501,3.640938,49.48906,2.552798
"126","11am",52.30393,0,2.274979,42.67938,2.741713
"127","11am",42.87251,5.6010936,6.202669,41.79158,3.532144
"128","11am",42.64161,2.0113334,10.615743,41.83053,2.900782
"129","11am",42.10359,5.182555,8.255216,41.18237,3.27627
"130","11am",34.7498,0,10.445779,47.72633,7.078089
"101","12am",46.01897,7.3018597,13.773145,23.95096,8.955066
"102","12am",37.21201,16.1678107,11.344337,30.99445,4.281394
"103","12am",41.90457,14.5803989,9.491197,28.16981,5.854025
"104","12am",36.12577,21.0913975,10.736615,26.41504,5.631174
"105","12am",35.11958,7.3842458,7.487646,47.58463,2.42389
"106","12am",53.65553,1.526417,12.502074,24.95038,7.365593
"107","12am",57.08866,6.5314105,8.728575,21.78403,5.867328
"108","12am",45.02056,5.248434,7.681929,35.55366,6.495411
"109","12am",52.00656,1.1198737,4.708836,40.14365,2.021083
"110","12am",46.66786,4.8340498,4.920941,37.59387,5.983279
"111","12am",42.52501,3.788362,12.338377,37.57412,3.774126
"112","12am",29.35154,4.1477777,17.058101,43.64212,5.800457
"113","12am",47.49813,2.4100665,7.925596,38.63283,3.533375
