"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"046";"047";"049";"050";"052";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916";"19267.916"
"4am";" 13.516";"124.668";" 53.084";"133.534";"  0.000";"511.489";" 49.714";" 79.127";"  0.000";"  0.000";"128.841";"  0.000";"105.642";"463.464";"298.195";"  0.000";"  0.000";"277.753";"530.489";" 47.921";"232.393";"186.136";"  0.000";"766.336";"  0.000";"  0.000";"  0.000";" 30.787";"  0.000";"  0.000";"  0.000";" 46.801";"620.439";"159.311";"155.646";"164.947";"117.367";" 38.273";"264.200";" 41.886";"124.856";"  0.000";"  0.000";"  0.000";"  0.000";" 40.786";"  0.000";"  0.000";" 88.113";"134.045";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";" 91.501";"145.392";"  0.000";" 33.778";"151.413";"  0.000";" 30.200";"  0.000";"268.460";" 35.714";"  0.000";" 59.601";"142.811";" 46.801";"209.572";"  0.000";"  0.000";"110.060";"  0.000";"  0.000";" 82.921"
"5am";"  13.516";" 124.668";"  66.600";" 133.534";"  16.352";" 705.641";"  49.714";" 152.344";"   0.000";" 223.534";" 157.957";"  88.469";" 105.642";" 388.717";" 749.287";"   0.000";" 232.392";" 312.411";" 904.230";"  47.921";" 146.123";" 224.753";" 117.367";"1300.367";" 139.422";" 127.241";" 290.884";"  30.787";"  24.030";"   0.000";"   0.000";"  81.261";" 930.944";" 427.504";" 370.364";" 289.756";" 117.367";"  38.273";"1333.925";" 105.249";" 124.856";"   0.000";"  52.283";"  52.751";" 237.747";" 191.034";"   0.000";"   0.000";" 214.553";" 163.545";"   0.000";"   0.000";" 102.567";"   0.000";"   0.000";" 158.930";" 334.010";" 104.154";" 404.862";" 492.009";"   0.000";"  30.200";"   0.000";" 254.117";"  76.365";"   0.000";"  59.601";" 142.811";"  46.801";" 379.166";"   0.000";"   0.000";"  75.332";"   0.000";" 195.204";"  82.921"
"6am";"  80.075";" 370.495";" 127.715";" 255.973";" 247.674";" 991.509";" 143.107";" 359.038";"   0.000";" 682.399";" 345.506";" 179.916";" 211.515";" 517.152";"1551.141";"   0.000";" 257.792";" 607.069";"2357.086";" 192.238";" 222.570";" 368.486";" 181.998";"1295.178";" 306.865";" 279.193";" 327.885";"  30.787";" 207.223";" 159.327";"  68.167";" 239.866";"1845.287";" 923.263";" 729.578";" 362.443";" 196.200";" 204.547";"1553.104";" 456.998";"  76.084";" 177.917";" 199.965";" 168.107";" 603.059";" 701.372";" 169.997";"   0.000";" 335.101";" 235.736";" 675.527";" 198.888";" 355.026";"  40.786";"   0.000";" 368.047";" 799.501";" 140.481";" 551.862";" 715.370";" 183.781";"  44.772";" 138.329";" 742.503";" 246.416";"   0.000";"  76.198";" 358.810";" 179.368";" 676.600";"   0.000";"   0.000";" 273.677";" 103.600";" 293.902";" 179.653"
"7am";" 269.942";"1894.013";"1160.683";"1653.068";" 690.470";"2610.060";"1192.815";"1014.853";"1069.240";"3227.184";"2036.125";"1052.970";"1050.118";"1310.573";"5090.186";" 488.888";" 829.004";"1873.669";"3840.730";" 401.518";" 914.248";" 946.736";" 519.638";"2180.905";"1391.980";"1001.598";"1631.412";" 161.078";"1071.895";" 774.523";" 409.493";"1715.975";"5982.212";"3320.238";"1552.854";"1518.089";" 517.966";" 384.865";"2510.479";"1358.865";" 459.216";"1243.624";" 966.347";" 802.420";"2505.261";"1477.759";"1119.989";" 283.387";" 719.849";" 978.193";"1344.820";" 215.797";" 978.894";" 135.254";" 592.806";"1367.550";"1163.647";"1021.789";"1564.752";"1599.423";" 638.325";" 420.195";"1450.647";"1530.017";" 874.726";" 456.363";" 976.378";"1025.295";" 229.085";"1434.083";" 530.835";"  46.581";" 907.333";" 683.345";" 380.380";" 857.415"
"8am";" 1694.520";" 4507.396";" 4831.106";" 3196.521";" 1663.537";" 4945.319";" 2307.261";" 2114.167";" 2282.336";" 9314.668";" 3040.420";" 1816.671";" 2182.333";" 2046.744";" 9192.081";" 1418.623";" 1967.515";" 3658.055";" 7262.377";"  960.748";" 1809.405";" 1832.215";" 1286.013";" 3591.392";" 1848.224";" 1446.079";" 3437.517";"  159.791";" 2183.640";" 1240.050";"  954.196";" 2513.079";"10512.066";" 8061.504";" 2266.602";" 3366.966";" 1767.988";"  486.728";" 4120.928";" 3165.377";" 1405.074";" 1581.171";" 1733.240";" 1807.016";" 3569.721";" 1799.156";" 1757.736";"  583.900";" 1034.793";" 2432.543";" 2210.990";"  996.078";" 1956.382";"  633.332";" 1031.460";" 1608.527";" 2647.799";" 1417.259";" 2498.590";" 3153.559";" 1354.564";"  686.783";" 2011.942";" 2831.610";" 2620.490";"  833.346";" 2399.242";" 2132.219";"  794.499";" 3222.305";"  946.812";"  106.364";"  882.143";" 1344.924";"  986.805";" 1359.741"
"9am";" 2233.862";" 5250.271";" 6105.758";" 4234.113";" 2126.927";" 5991.658";" 2434.078";" 3231.830";" 3090.035";"10565.099";" 3225.936";" 1874.138";" 2953.834";" 2510.457";"10257.749";" 1749.421";" 2566.279";" 3649.351";" 7632.872";" 1205.841";" 2309.024";" 1868.829";" 1364.716";" 4138.600";" 1801.791";" 1627.231";" 4556.111";"  411.648";" 2643.177";" 1305.817";" 1152.708";" 3463.336";"12097.969";" 9614.336";" 2417.161";" 4099.567";" 2075.188";"  403.289";" 4594.153";" 3539.125";" 1527.453";" 1492.102";" 1614.708";" 2375.352";" 3616.853";" 2514.711";" 1940.516";"  618.727";"  992.724";" 2831.689";" 2296.712";" 1330.536";" 2041.339";"  888.640";" 1243.480";" 1985.037";" 2625.081";" 1849.574";" 2800.734";" 3298.638";" 1770.031";"  790.343";" 2041.883";" 3138.029";" 2670.271";"  818.589";" 2790.375";" 2379.261";"  857.335";" 4689.670";" 1144.156";"  155.266";"  977.051";" 1181.494";"  986.805";" 1510.521"
"10am";" 2401.319";" 5337.300";" 6155.181";" 4428.632";" 2243.614";" 5960.654";" 2459.532";" 3190.063";" 3270.444";"10720.991";" 3258.251";" 2115.936";" 3104.436";" 2425.548";"10401.064";" 1665.872";" 2470.887";" 3547.283";" 7993.383";" 1185.523";" 2293.605";" 2088.273";" 1506.493";" 4336.732";" 1928.698";" 1789.941";" 4666.162";"  411.648";" 2669.435";" 1329.839";" 1142.923";" 3216.474";"12140.268";" 9908.759";" 2433.918";" 4239.023";" 1930.985";"  547.492";" 4819.162";" 3399.161";" 1660.909";" 1693.653";" 1854.168";" 2449.943";" 3650.155";" 2447.994";" 1810.212";"  669.976";"  941.478";" 2827.795";" 2353.929";" 1268.227";" 2177.259";"  911.889";" 1290.875";" 1702.294";" 2795.983";" 2040.624";" 2717.675";" 3573.508";" 1801.301";"  836.955";" 2026.355";" 3370.565";" 2735.869";"  871.914";" 2790.375";" 2189.481";"  794.499";" 4835.458";" 1144.156";"  155.266";"  977.051";" 1343.152";"  762.522";" 1576.377"
