"variable","CODE_SEC","RES_SEC","W_IND"
"h6","015","013",82.232
"h6","015","014",19.199
"h6","015","020",76.447
"h6","015","022",132.567
"h6","015","027",103.945
"h6","015","042",95.447
"h6","015","047",81.462
"h6","015","057",55.049
"h6","015","058",123.284
"h6","015","064",66.367
"h6","015","072",93.906
"h6","015","074",24.153
"h6","015","080",45.999
"h6","036","008",68.462
"h6","036","014",19.199
"h6","036","030",67.571
"h6","036","031",264.323
"h6","036","033",132.998
"h6","036","054",43.161
"h6","036","077",49.316
"h6","036","080",56.126
"h6","042","002",16.597
"h6","042","016",16.185
"h6","042","030",52.751
"h6","042","034",109.247
"h6","042","047",131.846
"h6","042","049",66.784
"h6","042","052",101.57
"h6","042","055",20.001
"h6","042","064",66.367
"h6","042","066",183.895
"h6","042","069",24.153
"h6","042","073",53.7
"h7","015","013",82.232
"h7","015","014",19.199
"h7","015","020",76.447
"h7","015","035",124.666
"h7","015","038",77.636
"h7","015","042",95.447
"h7","015","047",81.462
"h7","015","052",96.732
"h7","015","057",133.509
"h7","015","058",123.284
"h7","015","061",66.787
"h7","015","064",66.367
"h7","015","072",93.906
"h7","015","074",24.153
"h7","026","016",18.549
"h7","026","033",56.16
"h7","026","036",18.05
"h7","026","040",261.57
"h7","026","041",12.225
"h7","026","055",38.749
"h7","026","056",29.5
"h7","026","058",105.19
"h7","026","065",120.548
"h7","026","067",78.833
"h7","026","070",75.095
"h7","036","008",68.462
"h7","036","009",61.068
"h7","036","014",19.199
"h7","036","016",25.454
"h7","036","022",70.744
"h7","036","028",98.698
"h7","036","030",67.571
"h7","036","031",264.323
"h7","036","034",65.066
"h7","036","043",42.069
"h7","036","050",63.532
"h7","036","054",43.161
"h7","036","074",25.732
"h7","036","077",49.316
"h7","036","080",56.126
"h7","036","081",21.259
"h7","036","082",38.5
"h7","036","083",76.5
"h7","042","002",16.597
"h7","042","016",32.37
"h7","042","030",52.751
"h7","042","046",203.213
"h7","042","047",131.846
"h7","042","049",66.784
"h7","042","052",101.57
"h7","042","064",66.367
"h7","042","066",117.336
"h7","042","067",65.893
"h7","042","069",24.153
"h7","042","073",53.7
"h8","006","007",91.501
"h8","006","008",147.589
"h8","006","010",57.099
"h8","006","014",19.199
"h8","006","015",76
"h8","006","016",16.185
"h8","006","021",40
"h8","006","030",52.751
"h8","006","040",117.367
"h8","006","057",55.049
"h8","006","059",40.109
"h8","006","072",89.188
"h8","006","078",42.624
"h8","010","016",18.549
"h8","010","022",70.744
"h8","010","027",109.333
"h8","010","030",52.751
"h8","010","044",67.275
"h8","010","056",24.538
"h8","010","057",55.049
"h8","010","059",53.771
