"variable","CODE_SEC","RES_SEC","W_IND"
"h9","015","006",328.43
"h9","015","010",105.164
"h9","015","016",25.444
"h9","015","021",33.6
"h9","015","030",38.679
"h9","015","043",38.167
"h9","015","057",78.46
"h9","015","074",25.732
"h10","010","001",50.8
"h10","010","004",32.38
"h10","010","015",61.001
"h10","010","021",33.6
"h10","010","025",64.003
"h10","010","027",109.333
"h10","010","056",29.5
"h10","010","057",125.002
"h10","010","071",13.516
"h10","010","077",290.102
"h10","010","079",34.334
"h11","003","002",28.381
"h11","003","004",32.38
"h11","003","006",129.115
"h11","003","010",52.65
"h11","003","016",50.888
"h11","003","019",95
"h11","003","043",56.856
"h11","003","054",89.666
"h11","003","069",11.824
"h11","003","070",46.751
"h11","003","072",271.956
"h13","010","001",90
"h13","010","004",32.38
"h13","010","005",54.402
"h13","010","008",68.462
"h13","010","009",87.57
"h13","010","015",61.001
"h13","010","027",109.333
"h13","010","056",29.5
"h13","010","070",81.223
"h13","010","072",90.652
"h13","010","077",137.602
"h13","010","079",34.334
"h14","003","004",32.38
"h14","003","006",258.23
"h14","003","019",95
"h14","003","020",50.601
"h14","003","021",53.084
"h14","003","043",56.856
"h14","003","049",59.783
"h14","003","054",89.666
"h14","003","063",104.277
"h14","003","070",46.751
"h14","003","072",90.652
"h14","003","073",44.832
"h14","010","001",90
"h14","010","004",32.38
"h14","010","008",68.462
"h14","010","009",87.57
"h14","010","011",68.336
"h14","010","015",61.001
"h14","010","021",33.6
"h14","010","023",119.219
"h14","010","027",109.333
"h14","010","056",59
"h14","010","070",81.223
"h14","010","077",137.602
"h14","010","079",34.334
"h14","036","009",122.136
"h14","036","010",29.332
"h14","036","028",98.698
"h14","036","033",71.82
"h14","036","034",65.066
"h14","036","038",122.426
"h14","036","039",93.42
"h14","036","047",89.08
"h14","036","050",46.333
"h14","036","083",102.498
"h15","010","004",32.38
"h15","010","005",46.801
"h15","010","008",68.462
"h15","010","009",87.57
"h15","010","011",68.336
"h15","010","015",61.001
"h15","010","021",33.6
"h15","010","023",119.219
"h15","010","027",109.333
"h15","010","056",59
"h15","010","070",81.223
"h15","010","077",137.602
"h15","010","079",34.334
"h15","015","006",129.115
"h15","015","008",79.127
"h15","015","010",67.248
"h15","015","016",37.098
"h15","015","021",33.6
"h15","015","043",38.167
"h15","015","057",78.46
"h15","015","058",179.544
"h15","015","060",121.936
"h15","015","072",90.652
"h16","010","004",32.38
"h16","010","005",46.801
"h16","010","008",136.924
"h16","010","009",148.638
"h16","010","015",61.001
"h16","010","027",213.278
"h16","010","030",30.787
"h16","010","056",29.5
"h16","010","077",137.602
