"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"046";"047";"049";"050";"052";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13";"11277.13"
"4am";"  946.331";"  415.971";"  781.760";" 1577.141";" 1795.013";" 8775.127";" 5221.202";" 3154.663";" 3819.372";" 2190.474";" 2733.309";" 2797.944";" 6653.236";" 2070.641";" 4023.498";" 1601.882";" 2985.119";" 2379.282";" 2050.414";" 6154.116";" 8163.500";" 2959.520";" 5630.351";" 4982.240";" 9500.619";" 5193.778";" 3075.486";" 2173.864";" 7715.155";" 4587.838";" 5223.133";" 4421.051";" 2381.496";" 9412.177";" 3667.502";" 6089.729";" 8023.271";" 1353.415";"10881.374";" 2622.100";" 3846.652";" 5518.611";" 5344.451";" 5046.544";" 5393.927";" 6742.757";" 2737.378";" 2226.850";" 2011.376";" 6085.013";" 7042.660";" 3515.782";" 5675.814";" 5642.377";" 7279.542";" 5150.321";" 7453.684";" 7156.660";" 8593.283";" 5584.618";" 2809.773";" 1076.197";" 3544.968";" 1167.431";" 4483.672";" 3230.786";" 2149.321";" 2756.959";" 2930.702";" 5430.596";" 3436.132";" 1302.564";" 1933.196";" 2399.429";" 3341.064";" 2474.758"
"5am";"  918.644";"  415.971";"  733.700";" 1577.141";" 1881.084";" 8851.912";" 5129.701";" 3227.880";" 3819.372";" 2277.692";" 2689.208";" 2965.861";" 6488.772";" 1918.784";" 4322.781";" 1601.882";" 3217.511";" 2337.493";" 2303.892";" 6039.836";" 8077.230";" 2959.520";" 5525.753";" 5410.998";" 9640.041";" 5191.855";" 3073.629";" 2037.575";" 7337.780";" 4391.678";" 5083.935";" 4399.888";" 2528.946";" 9607.683";" 3770.195";" 6115.461";" 8023.271";" 1296.875";"11277.130";" 2727.349";" 3846.652";" 5481.825";" 5158.987";" 4859.281";" 5631.674";" 6592.509";" 2707.178";" 2193.649";" 1952.376";" 5915.314";" 6814.186";" 3448.349";" 5717.413";" 5642.377";" 7279.542";" 5088.012";" 7303.167";" 7156.660";" 8361.238";" 5655.008";" 2768.174";" 1035.429";" 3469.873";" 1138.189";" 4430.417";" 3177.086";" 2064.976";" 2756.959";" 2882.781";" 5497.099";" 3385.932";" 1259.926";" 1823.136";" 2399.429";" 3341.064";" 2440.627"
"6am";"  811.202";"  645.201";"  794.815";" 1621.835";" 1949.074";" 8095.180";" 4915.600";" 3229.618";" 3615.258";" 2637.849";" 2692.743";" 2968.190";" 6313.161";" 2069.953";" 4940.103";" 1510.244";" 3242.911";" 2479.257";" 2803.805";" 5522.149";" 8060.587";" 2991.484";" 5556.253";" 5137.102";" 9534.266";" 5036.374";" 2898.461";" 1818.895";" 6942.021";" 4274.973";" 5008.466";" 4349.579";" 2849.760";" 9167.396";" 4095.020";" 6094.728";" 7952.023";" 1190.108";"11151.639";" 2958.268";" 3500.532";" 5229.872";" 5078.065";" 4582.105";" 5508.368";" 6014.199";" 2569.634";" 2153.647";" 1851.124";" 5599.748";" 6616.477";" 3216.744";" 5556.847";" 5031.365";" 6856.165";" 4636.628";" 6052.350";" 6562.588";" 7719.253";" 5393.153";" 2676.736";"  990.375";" 3409.095";" 1499.500";" 4600.468";" 3087.422";" 1940.148";" 2998.402";" 3015.348";" 5725.069";" 3007.468";" 1217.288";" 1808.177";" 2335.061";" 3119.840";" 2315.823"
"7am";" 790.594";"1426.613";"1064.477";"3022.252";"1922.140";"7087.122";"4466.705";"3142.389";"4383.890";"3769.668";"3675.394";"3995.814";"6758.913";"2286.933";"6811.534";"1641.797";"3490.475";"3248.127";"2930.274";"4929.696";"6900.438";"2553.547";"4115.442";"4750.158";"8829.193";"4548.031";"4501.662";"1595.968";"6198.376";"4977.388";"5045.230";"4837.612";"4442.226";"8504.807";"3569.835";"5560.965";"6326.145";"1108.870";"9461.228";"3392.199";"2779.286";"4524.441";"4367.760";"3931.008";"4799.869";"5243.147";"2458.404";"1850.707";"1798.260";"6395.805";"6279.781";"2686.316";"4930.898";"3893.786";"5249.417";"4364.411";"4978.410";"6336.230";"6437.008";"5212.694";"2130.140";" 869.269";"4411.882";"1765.156";"4582.281";"2895.016";"1820.201";"3096.025";"2247.165";"5524.973";"2284.283";"1085.494";"1633.236";"1700.947";"2470.811";"1931.439"
"8am";" 1432.939";" 1769.512";" 2716.608";" 3595.531";" 2002.590";" 7139.589";" 4201.246";" 3196.613";" 4285.121";" 5790.859";" 4264.205";" 4497.022";" 6444.757";" 2215.790";" 8688.564";" 1840.942";" 3423.061";" 3837.437";" 3843.040";" 5124.193";" 6765.086";" 2713.781";" 4624.771";" 5030.476";" 8685.726";" 4413.876";" 4544.637";" 1205.857";" 6270.882";" 4586.525";" 4286.048";" 4671.056";" 5466.279";" 8328.100";" 3294.126";" 6207.061";" 5526.651";"  770.923";"10113.494";" 3239.385";" 2548.748";" 4002.738";" 3696.365";" 3440.035";" 4407.017";" 4829.289";" 2412.353";" 1891.472";" 1648.533";" 6452.076";" 5940.999";" 2630.167";" 4412.821";" 3657.525";" 4146.993";" 4143.497";" 4704.909";" 5993.944";" 5860.897";" 5227.269";" 2341.748";"  946.459";" 5024.353";" 2500.855";" 4701.917";" 2447.142";" 2432.418";" 3132.265";" 2021.936";" 6391.754";" 2055.809";"  744.738";" 1469.526";" 1439.004";" 2347.739";" 1818.309"
"9am";"1740.951";"1844.225";"3248.611";"3887.567";"2307.605";"6666.773";"4120.514";"3530.318";"4626.078";"6326.333";"4021.760";"4023.910";"6378.301";"2189.997";"9277.574";"1977.505";"3667.000";"3776.812";"5028.673";"4530.821";"6860.420";"2474.371";"4333.010";"5376.382";"7817.205";"4008.999";"5065.400";"1409.248";"6923.705";"4324.641";"3909.710";"5078.940";"5900.286";"8335.887";"3298.002";"6082.543";"5956.552";" 769.304";"9511.657";"3256.572";"2554.365";"3713.952";"3642.429";"4282.380";"4289.710";"4099.001";"2600.133";"1742.593";"1560.865";"6938.187";"5554.896";"2391.038";"4332.144";"3477.911";"3935.496";"4179.989";"4630.494";"5551.859";"5740.917";"5245.460";"2278.564";"1919.173";"4503.322";"2682.098";"4263.317";"2361.554";"2427.647";"3190.462";"1694.397";"7812.535";"1867.804";" 694.588";"1679.891";"1453.397";"2500.581";"2064.997"
"10am";"2009.294";"1926.466";"3494.156";"4748.033";"2741.405";"6334.679";"4314.496";"3432.905";"4574.908";"6546.302";"3996.129";"3933.097";"5376.071";"2136.149";"9238.056";"1876.587";"3975.309";"3910.925";"4348.594";"4586.299";"6655.083";"2555.669";"3956.122";"6671.927";"7890.552";"3860.777";"5332.926";"1380.774";"7146.739";"4064.077";"3783.612";"4641.974";"5603.528";"8087.739";"3351.753";"6897.735";"5769.861";"1025.226";"9295.531";"3267.527";"2433.975";"3713.758";"4277.545";"4312.206";"4038.606";"4210.403";"2722.966";"1666.691";"1505.420";"6845.519";"4447.588";"2693.972";"4488.035";"3526.393";"4041.187";"3906.477";"4488.423";"5552.267";"5902.753";"5013.881";"2415.888";"1109.459";"4467.870";"2857.410";"4191.172";"2466.269";"2361.960";"2882.592";"1689.472";"7002.590";"1653.896";" 668.969";"1649.368";"1738.692";"2337.630";"1961.610"
