"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.0567817046330129,0.347423955689598,0.122239564610946,0.380103595447607,0.484860736120779
"5am",0.0763362866347083,0.348669692388737,0.115677742510437,0.360271625306481,0.482272624249462
"6am",0.0884400002397299,0.307542819007919,0.104575134956707,0.345258110435334,0.457447214875526
"7am",0.12762720901062,0.394938089552946,-0.106451055593979,0.388907166488895,0.43507562509278
"8am",0.100066977395115,0.44975187115517,-0.0874184753194425,0.312784030598399,0.412336080588839
"9am",0.118175355690744,0.439404704295675,-0.0959504890320607,0.373418843255124,0.349108528138917
"10am",0.108301960796493,0.43718261978678,-0.137056088404863,0.27703930456228,0.324443306598049
"11am",0.108034708223475,0.434354182277913,-0.0460175999404955,0.268950134139145,0.362627183281004
"12am",0.172816474495653,0.424547495074471,-0.0363895360003089,0.298961819833285,0.467834221130682
"1pm",0.150584284045565,0.412408452359685,-0.0526902608474284,0.301876957100611,0.410746784830473
"2pm",0.151968804380317,0.419700737086548,-0.0864416364281392,0.236799586483463,0.431051355448249
"3pm",0.158283572111872,0.430195491107001,-0.091112097281599,0.26785208040915,0.353565365654339
"4pm",0.158770791216707,0.42139271468858,-0.159306351005384,0.347540816539386,0.335022436258602
"5pm",0.122675627910191,0.417422274772854,-0.0299970737668746,0.407598369254645,0.427964123592365
"6pm",0.119142819420034,0.382356458884226,0.101938526267366,0.376664791611857,0.464438697161156
"7pm",0.0761412321060311,0.353291953352483,0.113404386184357,0.384142314574496,0.417353416818493
"8pm",0.0679941534827749,0.383731671293243,0.127291941768371,0.366537348340478,0.466967854073951
"9pm",0.0441901150222664,0.365286782605287,0.0924713646951406,0.352674207800063,0.473986186021576
"10pm",0.0341124431174219,0.367081247061931,0.0904489786310642,0.331126393956292,0.459517610252488
"11pm",0.0451981215015647,0.379231976053011,0.150820434296673,0.347280281762129,0.491550161779509
"12pm",0.0598930379036271,0.363917955848903,0.143457061196574,0.365885105800462,0.483550514804471
"1am",0.0506999215236258,0.36629828309152,0.129431806236076,0.368108977754062,0.48710447853649
"2am",0.0514351878342479,0.365976583198655,0.124064789137282,0.367432504415334,0.493112011278459
"3am",0.0530940747953208,0.36080287618742,0.135993316589157,0.359631388387914,0.493722644573612
