"variable","CODE_SEC","RES_SEC","W_IND"
"h7","003","005",128.67
"h7","003","006",199.315
"h7","003","014",19.199
"h7","003","024",38.161
"h7","003","029",40.668
"h7","003","035",65.5
"h7","003","054",89.666
"h7","003","056",29.5
"h7","003","070",46.751
"h7","003","071",13.516
"h7","003","073",33.835
"h7","003","079",42.638
"h7","004","003",32.904
"h7","004","006",530.588
"h7","004","010",37.916
"h7","004","011",68.336
"h7","004","015",29.116
"h7","004","020",110.598
"h7","004","031",126.44
"h7","004","036",18.05
"h7","004","037",342.5
"h7","004","039",254.812
"h7","004","054",30.2
"h7","004","056",24.538
"h7","004","058",105.19
"h7","004","062",81.997
"h7","004","063",62.309
"h7","004","069",11.824
"h7","004","071",18.091
"h7","004","072",93.906
"h7","004","078",74.111
"h7","006","001",27.687
"h7","006","004",77.261
"h7","006","010",57.099
"h7","006","011",73.217
"h7","006","014",19.199
"h7","006","015",40.001
"h7","006","019",55.261
"h7","006","030",73.568
"h7","006","050",46.333
"h7","006","058",123.284
"h7","006","069",24.153
"h7","010","006",70.2
"h7","010","016",25.444
"h7","010","022",70.744
"h7","010","028",91.625
"h7","010","029",40.668
"h7","010","031",272.988
"h7","010","041",12.225
"h7","010","057",55.049
"h7","010","059",53.771
"h7","010","060",140.509
"h7","010","062",61.279
"h7","010","064",144.998
"h7","010","067",87.219
"h7","010","076",50.553
"h7","010","077",69.464
"h7","010","078",31.82
"h7","010","083",34.131
"h7","012","001",55.374
"h7","012","015",223.332
"h7","012","019",55.261
"h7","012","022",70.744
"h7","012","024",34.535
"h7","012","025",79.666
"h7","012","030",30.787
"h7","012","031",137.082
"h7","012","036",18.05
"h7","012","038",155.272
"h7","012","039",137.494
"h7","012","056",45.599
"h7","012","057",59.601
"h7","012","061",146.333
"h7","012","069",16.615
"h7","012","070",75.095
"h7","012","072",90.652
"h7","012","083",40.786
"h7","013","003",60.281
"h7","013","007",113.77
"h7","013","009",113.715
"h7","013","010",52.65
"h7","013","014",32.894
"h7","013","020",62.836
"h7","013","023",93.09
"h7","013","025",209.196
"h7","013","026",40.512
"h7","013","030",52.751
"h7","013","031",136.494
"h7","013","034",65.066
"h7","013","055",55.572
"h7","013","061",66.787
"h7","013","062",87.804
"h7","013","071",13.516
"h7","013","077",69.464
"h7","013","078",74.111
"h7","013","079",29.499
"h7","021","004",77.261
"h7","021","007",45.168
"h7","021","008",91.747
"h7","021","010",57.099
"h7","021","011",49.717
"h7","021","015",40.001
"h7","021","022",257.235
"h7","021","037",115.77
"h7","021","058",123.284
"h7","021","077",137.602
"h7","021","080",43.586
"h7","023","001",25.4
