"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"046";"047";"049";"050";"052";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009";"13363.009"
"4am";"1118.770";" 553.417";"1116.428";"3227.662";"2333.437";"1753.833";" 936.048";"1239.397";"1419.962";"1065.955";"2142.327";"2526.268";"4842.926";" 304.195";" 463.462";" 201.814";" 942.784";" 968.283";"1247.728";"2695.156";"4431.231";" 491.392";"1097.476";" 350.769";"1412.430";"1851.930";"1186.732";" 675.967";"1462.394";" 888.594";"1210.010";" 721.025";" 525.069";"1650.977";"1521.515";"2965.778";"1349.933";" 265.618";"1292.276";" 288.539";"1193.925";" 490.100";" 562.070";"1363.978";"1440.847";"2257.229";" 476.679";" 215.042";" 384.426";" 600.528";"1498.888";" 361.106";" 919.223";" 543.103";"1525.314";" 446.683";" 875.885";" 588.442";" 794.039";" 740.023";" 449.095";" 182.434";" 510.035";" 211.061";" 783.764";" 629.299";" 266.207";" 624.452";" 336.270";"1343.755";" 580.447";" 358.504";" 273.661";" 319.637";" 526.792";" 268.703"
"5am";"1118.770";" 553.417";"1116.428";"3227.662";"2451.437";"1753.833";" 936.048";"1029.650";"1419.962";"1065.955";"2215.544";"2526.268";"4925.158";" 304.195";" 390.245";" 201.814";" 942.784";" 968.283";"1194.644";"2695.156";"4431.231";" 491.392";"1097.476";" 350.769";"1412.430";"1851.930";"1186.732";" 675.967";"1462.394";" 888.594";"1210.010";" 721.025";" 525.069";"1650.977";"1521.515";"2965.778";"1349.933";" 253.393";"1345.360";" 288.539";"1193.925";" 490.100";" 562.070";"1363.978";"1440.847";"2257.229";" 476.679";" 215.042";" 384.426";" 600.528";"1498.888";" 361.106";" 919.223";" 543.103";"1525.314";" 446.683";" 875.885";" 588.442";" 794.039";" 740.023";" 449.095";" 182.434";" 436.402";" 199.910";" 783.764";" 629.299";" 266.207";" 624.452";" 336.270";"1354.906";" 690.215";" 358.504";" 273.661";" 319.637";" 526.792";" 268.703"
"6am";"1118.770";" 553.417";"1116.428";"3227.662";"2402.019";"1753.833";" 936.048";"1029.650";"1419.962";"1065.955";"2165.827";"2538.470";"4705.622";" 258.845";" 390.245";" 201.814";" 942.784";" 905.447";"1430.907";"2695.156";"4431.231";" 491.392";"1097.476";" 350.769";"1412.430";"1751.896";"1186.732";" 555.645";"1199.460";" 729.772";"1210.010";" 721.025";" 507.019";"1787.696";"1671.763";"2965.778";"1369.060";" 154.157";"1345.360";" 288.539";"1193.925";" 444.750";" 488.499";"1106.696";"1440.847";"2106.981";" 476.679";" 215.042";" 338.827";" 710.296";"1325.953";" 361.106";" 819.625";" 265.172";"1437.510";" 337.349";" 585.889";" 502.371";" 572.549";" 593.761";" 407.496";" 149.204";" 489.486";" 199.910";" 783.764";" 629.299";" 266.207";" 624.452";" 285.717";"1354.906";" 467.882";" 315.866";" 239.328";" 285.859";" 488.292";" 268.703"
"7am";" 943.723";" 807.077";" 873.124";"4461.569";"2408.266";"1785.466";" 849.127";"1593.760";"1442.199";" 527.945";"2074.492";"3968.773";"5021.661";" 259.272";" 448.173";" 194.963";"1433.428";" 811.875";"2277.524";"1590.029";"3494.458";" 232.882";" 273.199";" 689.816";"1039.332";" 802.364";"4437.397";" 466.526";" 698.992";"1454.858";" 842.098";" 405.988";" 392.829";"1489.279";"1013.310";"2631.908";"1161.352";" 134.685";"1685.307";" 321.113";" 359.244";" 323.673";" 252.004";" 405.466";" 597.558";"1119.685";" 109.843";" 110.699";" 198.553";"1850.244";" 729.417";" 221.953";" 660.543";" 131.598";" 543.513";" 124.618";" 182.917";" 421.930";" 134.654";" 422.487";" 153.030";"  24.153";"1678.790";" 340.514";" 387.150";" 297.732";" 206.883";" 665.093";" 158.417";"1877.110";" 975.158";" 171.592";"  34.333";" 139.775";" 195.280";" 110.631"
"8am";"1144.219";" 958.279";" 840.647";"3776.185";"2350.822";"2198.613";" 945.294";"1395.612";"1513.020";" 498.380";"2015.853";"4641.449";"4089.967";" 214.184";" 580.384";" 265.885";"1518.541";" 779.293";"3282.909";"1089.204";"3767.979";" 189.464";" 200.981";"1064.005";" 967.512";" 539.050";"8439.974";" 398.955";" 631.638";"1383.038";" 285.274";" 477.321";" 434.101";"1731.156";"1051.033";"1737.829";"1017.149";"   0.000";"1970.011";"  95.249";" 359.244";" 211.160";" 252.004";" 222.982";" 418.433";"1119.685";"  73.361";" 227.349";" 152.954";"1959.801";" 530.977";" 280.542";" 387.035";" 245.768";" 474.908";"  62.309";" 221.428";" 301.382";" 201.021";" 256.435";" 401.729";" 103.694";"2729.249";" 785.204";" 387.150";" 244.032";" 269.359";" 455.452";" 264.966";"2848.382";"1022.102";" 137.244";" 101.117";" 107.276";"  38.500";" 181.845"
"9am";" 903.047";"1101.968";" 707.438";"4089.822";"2236.297";"2278.048";"1102.342";"1595.282";"1475.805";" 726.215";"2073.688";"4486.324";"3999.453";" 101.496";" 758.552";" 189.533";"1486.580";" 678.091";"3576.729";" 780.703";"3623.480";" 189.464";"  32.380";"1078.355";" 799.654";" 539.050";"9631.481";" 378.907";" 604.912";"1390.784";" 350.340";" 477.321";" 375.914";"1990.291";" 987.905";"1811.375";"1020.046";"   0.000";"1970.011";"  95.249";" 322.917";" 211.160";" 252.004";" 319.265";" 481.965";"1036.764";" 103.561";" 227.349";" 287.260";"1959.801";" 647.527";" 226.771";" 387.035";" 245.768";" 387.104";"  62.309";" 221.428";" 301.382";" 201.021";" 256.435";" 360.130";" 127.847";"2689.517";" 787.782";" 416.266";" 244.032";" 243.627";" 481.184";" 278.018";"3165.719";"1022.102";"  76.958";"  66.784";" 107.276";"  38.500";" 264.766"
"10am";"  785.379";" 1195.826";"  852.439";" 4268.964";" 1911.451";" 2231.240";" 1015.810";" 1540.185";" 1402.234";"  984.729";" 2037.867";" 4296.839";" 3837.773";"   68.602";"  733.108";"  214.977";" 1431.854";"  648.628";" 3745.639";"  797.055";" 3397.840";"   79.131";"   32.380";" 1078.355";"  695.709";"  331.052";"10712.146";"  378.907";"  469.744";" 1192.547";"  331.336";"  413.789";"  417.133";" 1990.291";"  832.906";" 1938.781";"  902.679";"    0.000";" 1970.011";"    0.000";"  322.917";"  211.160";"  252.004";"  319.265";"  545.497";" 1036.764";"  103.561";"  227.349";"  262.722";" 2013.572";"  651.376";"  184.080";"  387.035";"  245.768";"  387.104";"   62.309";"  221.428";"  301.382";"  201.021";"  256.435";"  360.130";"  127.847";" 2731.116";"  787.782";"  416.266";"  244.032";"  234.899";"  489.912";"  244.243";" 2862.638";"  979.478";"   76.958";"   66.784";"  141.054";"   38.500";"  264.766"
