"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"001","4am",80.774,883.647,916.908,1038.945
"002","4am",16.597,357.051,411.727,1153.777
"003","4am",36.251,661.61,811.243,1680.876
"004","4am",449.864,1244.78,1475.231,2079.69
"005","4am",636.996,1646.272,1402.693,1433.217
"006","4am",418.108,7793.396,3195.467,3290.031
"007","4am",936.61,4231.148,1403.543,1157.698
"008","4am",295.178,2494.902,2169.223,4194.395
"009","4am",0,3137.964,1834.941,5428.581
"010","4am",90.566,1901.88,1222.997,2168.957
"011","4am",219.651,1932.903,1897.42,3045.109
"012","4am",692.855,2159.748,2217.66,3680.956
"013","4am",497.858,5433.343,1686.476,3335.881
"014","4am",338.048,1605.727,637.41,601.344
"015","4am",749.578,3673.557,703.353,746.314
"016","4am",243.304,1411.712,541.343,142.557
"019","4am",271.74,2438.688,3291.101,3051.859
"020","4am",819.691,2075.533,2307.743,3031.02
"021","4am",528.608,1679.147,1649.097,1652.58
"022","4am",493.694,4939.874,3410.316,4021.62
"023","4am",852.989,5879.951,3405.679,4423.918
"024","4am",682.688,2441.757,1297.982,751.949
"025","4am",1166.119,4500.671,2432.665,1999.046
"026","4am",1221.312,4074.794,1545.922,1338.425
"027","4am",0,7274.89,5577.351,4908.801
"028","4am",1742.142,3655.137,3637.001,2060.226
"029","4am",249.635,2293.478,996.658,1294.303
"030","4am",358.558,1555.851,1936.069,1218.231
"031","4am",1719.654,6323.719,5056.078,3664.72
"033","4am",774.762,3258.63,1765.004,1850.095
"034","4am",953.059,4399.759,2289.643,1805.513
"035","4am",881.307,3526.946,2385.523,1012.691
"036","4am",516.135,1870.94,1115.565,346.089
"037","4am",874.537,7457.034,3564.963,3987.156
"038","4am",729.756,2653.605,2119.473,1327.853
"039","4am",1005.638,4775.585,4267.717,6052.242
"040","4am",2140.492,5064.13,4304.849,2550.546
"041","4am",349.296,1114.381,553.02,305.88
"042","4am",649.036,8396.44,4203.876,1486.749
"043","4am",140.628,2069.12,1883.296,1597.609
"044","4am",370.13,2984.292,2594.526,1387.921
"046","4am",876.755,4491.827,1859.28,654.39
"047","4am",530.848,4526.58,3082.48,1491.851
"049","4am",489.009,3771.696,2486.998,2643.127
"050","4am",308.282,3361.566,2572.822,1918.373
"052","4am",1421.877,4787.894,3994.509,2405.91
"054","4am",1162.67,2571.844,686.714,232.25
