"district","hour","sex1","sex2"
"001","4am",0,0
"002","4am",0,0
"003","4am",0,0
"004","4am",0,0
"005","4am",0,0
"006","4am",0,0
"007","4am",0,0
"008","4am",0,0
"009","4am",0,0
"010","4am",0,0
"011","4am",0,0
"012","4am",0,0
"013","4am",0,0
"014","4am",0,0
"015","4am",0,0
"016","4am",0,0
"019","4am",0,0
"020","4am",0,0
"021","4am",0,0
"022","4am",0,0
"023","4am",0,0
"024","4am",0,0
"025","4am",0,0
"026","4am",0,0
"027","4am",0,0
"028","4am",0,0
"029","4am",0,0
"030","4am",0,0
"031","4am",0,0
"033","4am",0,0
"034","4am",0,0
"035","4am",0,0
"036","4am",0,0
"037","4am",0,0
"038","4am",0,0
"039","4am",0,0
"040","4am",0,0
"041","4am",0,0
"042","4am",0,0
"043","4am",0,0
"044","4am",0,0
"046","4am",0,0
"047","4am",0,0
"049","4am",0,0
"050","4am",0,0
"052","4am",0,0
"054","4am",0,0
"055","4am",0,0
"056","4am",0,0
"057","4am",0,0
"058","4am",0,0
"059","4am",0,0
"060","4am",0,0
"061","4am",0,0
"062","4am",0,0
"063","4am",0,0
"064","4am",0,0
"065","4am",0,0
"066","4am",0,0
"067","4am",0,0
"068","4am",0,0
"069","4am",0,0
"070","4am",0,0
"071","4am",0,0
"072","4am",0,0
"073","4am",0,0
"074","4am",0,0
"075","4am",0,0
"076","4am",0,0
"077","4am",0,0
"078","4am",0,0
"079","4am",0,0
"080","4am",0,0
"081","4am",0,0
"082","4am",0,0
"083","4am",0,0
"001","5am",0,0
"002","5am",0,0
"003","5am",0,0
"004","5am",0,0
"005","5am",0,0
"006","5am",0,0
"007","5am",0,0
"008","5am",0,0
"009","5am",0,0
"010","5am",0,0
"011","5am",0,0
"012","5am",0,0
"013","5am",0,0
"014","5am",0,0
"015","5am",0,0
"016","5am",0,0
"019","5am",0,0
"020","5am",0,0
"021","5am",0,0
"022","5am",0,0
"023","5am",0,0
"024","5am",0,0
"025","5am",0,0
"026","5am",1017.732,0
"027","5am",0,0
"028","5am",0,0
"029","5am",0,0
"030","5am",0,0
"031","5am",0,0
"033","5am",0,0
"034","5am",0,0
"035","5am",0,0
"036","5am",0,0
"037","5am",0,0
"038","5am",0,0
"039","5am",0,0
"040","5am",0,0
"041","5am",0,0
"042","5am",1015.7,0
"043","5am",0,0
"044","5am",0,0
"046","5am",0,0
"047","5am",0,0
"049","5am",0,0
"050","5am",0,0
"052","5am",0,0
"054","5am",0,0
"055","5am",0,0
"056","5am",0,0
"057","5am",0,0
"058","5am",0,0
"059","5am",0,0
"060","5am",0,0
"061","5am",0,0
"062","5am",0,0
"063","5am",0,0
"064","5am",0,0
"065","5am",0,0
"066","5am",0,0
"067","5am",0,0
"068","5am",0,0
"069","5am",0,0
"070","5am",0,0
"071","5am",0,0
"072","5am",0,0
"073","5am",0,0
"074","5am",0,0
"075","5am",0,0
"076","5am",0,0
"077","5am",0,0
"078","5am",0,0
"079","5am",0,0
"080","5am",0,0
"081","5am",0,0
"082","5am",0,0
"083","5am",0,0
"001","6am",0,0
"002","6am",0,0
"003","6am",0,0
"004","6am",0,0
"005","6am",0,0
"006","6am",925.916,0
"007","6am",0,0
"008","6am",0,0
"009","6am",0,0
"010","6am",808.24,0
"011","6am",0,0
"012","6am",0,0
"013","6am",0,0
"014","6am",0,0
"015","6am",1202.272,0
"016","6am",0,0
"019","6am",0,0
"020","6am",0,0
"021","6am",0,2087.283
"022","6am",0,0
"023","6am",0,0
"024","6am",0,0
"025","6am",0,0
"026","6am",1082.543,0
"027","6am",0,0
"028","6am",0,0
"029","6am",0,0
"030","6am",0,0
"031","6am",0,0
"033","6am",0,0
"034","6am",0,0
"035","6am",0,0
"036","6am",1266.617,0
"037","6am",0,0
"038","6am",0,0
"039","6am",0,0
"040","6am",0,0
"041","6am",0,0
"042","6am",1214.878,0
"043","6am",0,0
"044","6am",0,0
"046","6am",0,0
"047","6am",0,0
"049","6am",0,0
"050","6am",0,0
"052","6am",0,0
"054","6am",0,0
"055","6am",0,0
"056","6am",0,0
"057","6am",0,0
"058","6am",0,0
"059","6am",0,0
"060","6am",0,0
"061","6am",0,0
"062","6am",0,0
"063","6am",0,0
"064","6am",0,0
"065","6am",0,0
"066","6am",0,0
"067","6am",0,0
"068","6am",0,0
"069","6am",0,0
"070","6am",0,0
"071","6am",0,0
"072","6am",0,0
"073","6am",0,0
"074","6am",0,0
"075","6am",0,0
"076","6am",0,0
"077","6am",0,0
"078","6am",0,0
"079","6am",0,0
"080","6am",0,0
"081","6am",0,0
"082","6am",0,0
"083","6am",0,0
"001","7am",0,0
"002","7am",719.343,1840.238
"003","7am",0,867.831
"004","7am",1370.924,2274.148
"005","7am",1053.733,0
"006","7am",2094.984,699.995
"007","7am",966.104,753.178
"008","7am",913,0
"009","7am",0,1137.055
"010","7am",1830.578,1519.983
"011","7am",1504.962,1038.275
"012","7am",1495.344,1484.768
"013","7am",1994.156,754.829
"014","7am",1133.438,0
"015","7am",3684.573,1463.471
"016","7am",0,0
"019","7am",0,1313.249
"020","7am",0,1410.03
"021","7am",1974.012,3063.489
"022","7am",0,0
"023","7am",930.466,900.363
"024","7am",0,0
"025","7am",0,0
"026","7am",1760.876,0
"027","7am",0,1212.246
"028","7am",0,0
"029","7am",3553.03,2032.825
"030","7am",0,0
"031","7am",666.942,0
"033","7am",1029.874,0
"034","7am",0,0
"035","7am",1516.68,0
"036","7am",4480.895,1651.843
"037","7am",2283.036,1600.582
"038","7am",1205.672,0
"039","7am",1185.258,1011.281
"040","7am",0,0
"041","7am",0,0
"042","7am",2195.389,0
"043","7am",1203.18,0
"044","7am",0,0
"046","7am",0,0
"047","7am",0,0
"049","7am",0,0
"050","7am",1479.619,0
"052","7am",824.013,0
"054","7am",1091.484,0
"055","7am",0,0
"056","7am",0,0
"057","7am",1235.656,1277.382
"058","7am",0,867.847
"059","7am",0,0
"060","7am",0,0
"061","7am",0,0
"062","7am",0,0
"063","7am",726.705,0
"064","7am",0,0
"065","7am",0,0
"066","7am",801.512,0
"067","7am",1001.768,0
"068","7am",0,0
"069","7am",0,0
"070","7am",1970.886,1204.641
"071","7am",1181.437,0
"072","7am",0,0
"073","7am",0,0
"074","7am",0,0
"075","7am",943.251,0
"076","7am",0,0
"077","7am",1021.789,1274.011
"078","7am",0,0
"079","7am",0,0
"080","7am",0,0
"081","7am",0,0
"082","7am",0,0
"083","7am",0,0
"001","8am",1232.164,900.769
"002","8am",2013.327,3421.832
"003","8am",2055.508,3096.288
"004","8am",1728.535,3567.927
"005","8am",1736.365,684.731
"006","8am",4256.605,1414.686
"007","8am",1418.041,1363.31
"008","8am",1844.251,1380.737
"009","8am",1116.607,1848.347
"010","8am",4819.532,5086.954
"011","8am",1847.773,2486.424
"012","8am",2342.973,2747.922
"013","8am",3216.772,1570.029
"014","8am",1370.449,827.163
"015","8am",5349.724,4725.953
"016","8am",938.53,679.743
"019","8am",1079.759,2400.534
"020","8am",1395.532,2565.587
"021","8am",3328.994,6729.31
"022","8am",865.938,1185.386
"023","8am",1299.827,2491.593
"024","8am",864.63,1065.873
"025","8am",0,0
