"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2495,0.1818,0.1678,0.2324
"5am",0.2491,0.1851,0.1629,0.229
"6am",0.2499,0.1851,0.1604,0.2319
"7am",0.2584,0.1638,0.1513,0.2322
"8am",0.2811,0.1501,0.1587,0.2077
"9am",0.2807,0.147,0.1672,0.2093
"10am",0.2798,0.1341,0.1644,0.2168
"11am",0.2788,0.1343,0.1704,0.2054
"12am",0.2801,0.135,0.1692,0.1965
"1pm",0.2774,0.1367,0.1695,0.1883
"2pm",0.2754,0.1321,0.1686,0.189
"3pm",0.2825,0.1415,0.1658,0.2065
"4pm",0.2681,0.1475,0.1597,0.1991
"5pm",0.2539,0.1537,0.163,0.2081
"6pm",0.248,0.1607,0.1645,0.2087
"7pm",0.2452,0.1692,0.1655,0.2368
"8pm",0.2386,0.1732,0.1594,0.227
"9pm",0.2416,0.1788,0.1583,0.2261
"10pm",0.2417,0.1784,0.1577,0.2245
"11pm",0.2438,0.1805,0.1641,0.2231
"12pm",0.2461,0.1813,0.1631,0.2238
"1am",0.2463,0.182,0.1642,0.2256
"2am",0.2469,0.182,0.1637,0.2271
"3am",0.2466,0.1829,0.164,0.2277
