"hour","sex1","sex2"
"4am",0.0613,0.0613
"5am",0.062,0.062
"6am",0.0683,0.0683
"7am",0.0797,0.0797
"8am",0.0793,0.0793
"9am",0.0833,0.0833
"10am",0.0859,0.0859
"11am",0.0916,0.0916
"12am",0.0907,0.0907
"1pm",0.0915,0.0915
"2pm",0.0882,0.0882
"3pm",0.0832,0.0832
"4pm",0.0788,0.0788
"5pm",0.0703,0.0703
"6pm",0.0675,0.0675
"7pm",0.0689,0.0689
"8pm",0.0646,0.0646
"9pm",0.0619,0.0619
"10pm",0.0589,0.0589
"11pm",0.0591,0.0591
"12pm",0.0604,0.0604
"1am",0.0597,0.0597
"2am",0.0605,0.0605
"3am",0.0605,0.0605
