"variable","CODE_SEC","RES_SEC","W_IND"
"h7","102","101",61.328
"h7","102","103",494.82632
"h7","102","104",26.9133
"h7","102","106",164.3707
"h7","102","109",202.6156
"h7","102","111",284.3561
"h7","102","113",108.7629
"h7","102","114",124.3734
"h7","102","116",36.283
"h7","102","118",33.22559
"h7","102","120",164.64044
"h7","102","121",48.97378
"h7","102","122",165.59514
"h7","102","214",88.3851
"h7","103","101",420.79068
"h7","103","102",90.76436
"h7","103","104",248.26554
"h7","103","106",279.7381
"h7","103","108",138.9096
"h7","103","115",140.65
"h7","103","117",135.93568
"h7","103","119",25.84666
"h7","103","128",217.6761
"h7","103","215",72.34809
"h7","104","101",28.57509
"h7","104","102",507.46488
"h7","104","105",311.4782
"h7","104","107",103.1187
"h7","104","108",391.66304
"h7","104","109",101.3078
"h7","104","110",96.8422
"h7","104","111",333.7526
"h7","104","112",180.18789
"h7","104","115",49.13726
"h7","104","116",44.34568
"h7","104","117",45.76739
"h7","104","118",99.22398
"h7","104","119",41.52518
"h7","104","121",48.97378
"h7","104","122",53.83462
"h7","104","125",108.1296
"h7","104","126",80.12521
"h7","104","127",89.42729
"h7","104","210",95.08977
"h7","104","211",94.5154
"h7","104","213",38.83587
"h7","105","101",61.328
"h7","105","102",94.00622
"h7","105","103",182.3341
"h7","105","106",141.3335
"h7","105","107",103.1187
"h7","105","110",68.79921
"h7","105","111",249.0752
"h7","105","114",90.36014
"h7","105","115",93.76428
"h7","105","116",150.5567
"h7","105","119",90.91945
"h7","105","120",75.05402
"h7","105","123",100.54856
"h7","105","125",155.52783
"h7","105","127",201.44422
"h7","105","132",137.38379
"h7","105","210",304.5675
"h7","106","104",127.54218
"h7","106","105",305.0136
"h7","106","107",91.06752
"h7","106","114",78.27128
"h7","106","115",49.13726
"h7","106","116",80.62868
"h7","106","117",67.96784
"h7","106","118",34.19835
"h7","106","121",68.48256
"h7","106","123",136.33
"h7","106","125",139.7472
"h7","106","130",71.08783
"h7","106","131",50.07018
"h7","106","214",44.19255
"h7","106","218",59.79993
"h7","112","101",121.51444
"h7","112","102",90.76436
"h7","112","103",950.932
"h7","112","104",136.28009
"h7","112","105",454.48772
"h7","112","113",243.2096
"h7","112","116",151.9041
"h7","112","118",33.22559
"h7","112","119",30.62862
"h7","112","123",34.57824
"h7","112","202",359.8622
"h7","112","203",164.5536
"h7","113","114",84.81509
"h7","113","116",150.5567
"h7","113","120",253.3548
"h7","113","122",53.83462
"h7","113","124",120.73572
"h7","113","125",155.52783
"h7","128","102",90.76436
"h7","128","106",197.61515
"h7","128","116",124.97436
"h7","128","127",127.5738
"h7","128","129",26.42547
"h7","128","131",74.68307
"h7","128","132",59.55636
"h7","128","204",137.9467
"h7","128","207",213.7416
"h7","128","213",176.19194
"h7","128","214",44.19255
"h7","128","215",197.1429
"h7","128","216",174.3806
"h7","203","112",95.629
"h7","203","123",69.15648
"h7","203","204",532.11248
"h7","203","205",176.3249
"h7","203","206",156.57353
"h7","221","211",35.92513
"h7","221","212",122.87332
"h7","221","216",374.02514
"h7","221","217",97.56104
"h7","221","218",372.538
"h7","221","219",138.82311
"h7","221","220",717.215
"h7","221","222",195.25724
"h7","221","223",293.25204
"h8","102","101",61.328
"h8","102","103",672.85932
"h8","102","104",154.28523
"h8","102","106",164.3707
"h8","102","108",174.7572
"h8","102","109",402.0533
"h8","102","111",412.2554
"h8","102","112",63.90164
"h8","102","113",108.7629
"h8","102","114",257.3401
"h8","102","116",36.283
"h8","102","118",33.22559
"h8","102","119",49.39427
"h8","102","120",164.64044
"h8","102","121",48.97378
"h8","102","122",221.75121
"h8","102","124",31.75351
"h8","102","208",54.48491
"h8","102","214",88.3851
"h8","103","101",664.96112
"h8","103","102",184.77058
"h8","103","104",439.57881
"h8","103","106",395.1055
"h8","103","108",277.8192
"h8","103","113",243.2096
"h8","103","115",140.65
"h8","103","117",67.96784
"h8","103","119",25.84666
"h8","103","122",82.79757
"h8","103","128",217.6761
"h8","103","129",80.8989
"h8","103","209",225.4913
"h8","103","215",72.34809
"h8","103","221",225.6805
"h8","104","101",217.59367
"h8","104","102",507.46488
"h8","104","103",421.1341
"h8","104","105",448.0554
"h8","104","106",164.3707
"h8","104","107",103.1187
"h8","104","108",391.66304
"h8","104","109",101.3078
"h8","104","110",96.8422
"h8","104","111",333.7526
"h8","104","112",350.60782
"h8","104","114",90.36014
"h8","104","115",98.27452
"h8","104","116",44.34568
"h8","104","117",45.76739
"h8","104","118",99.22398
"h8","104","119",41.52518
"h8","104","121",48.97378
"h8","104","122",53.83462
"h8","104","123",136.33
"h8","104","125",108.1296
"h8","104","126",80.12521
"h8","104","127",89.42729
"h8","104","207",463.7428
"h8","104","210",95.08977
"h8","104","211",94.5154
"h8","104","213",112.65634
"h8","105","101",121.51444
"h8","105","102",94.00622
"h8","105","103",182.3341
"h8","105","104",63.77109
"h8","105","106",141.3335
"h8","105","107",206.2374
"h8","105","108",174.7572
"h8","105","110",68.79921
"h8","105","111",249.0752
"h8","105","114",90.36014
"h8","105","115",93.76428
"h8","105","116",150.5567
"h8","105","117",67.96784
"h8","105","119",90.91945
"h8","105","120",183.56662
"h8","105","123",100.54856
"h8","105","125",155.52783
"h8","105","127",275.31464
"h8","105","132",170.79538
"h8","105","210",304.5675
"h8","106","101",122.656
"h8","106","102",90.76436
"h8","106","104",191.31327
"h8","106","105",466.5836
"h8","106","107",91.06752
"h8","106","108",138.9096
"h8","106","114",168.63142
"h8","106","115",49.13726
"h8","106","116",80.62868
"h8","106","117",67.96784
"h8","106","118",34.19835
"h8","106","121",68.48256
"h8","106","124",26.21375
"h8","106","125",139.7472
"h8","106","127",89.42729
"h8","106","131",50.07018
"h8","106","211",35.54138
"h8","106","213",73.82047
"h8","106","214",44.19255
"h8","106","218",59.79993
"h8","112","101",121.51444
"h8","112","102",278.7768
"h8","112","103",1546.6542
"h8","112","104",136.28009
"h8","112","105",454.48772
"h8","112","113",243.2096
"h8","112","116",151.9041
"h8","112","118",66.45118
"h8","112","119",30.62862
"h8","112","123",34.57824
"h8","112","202",359.8622
"h8","112","203",164.5536
"h8","113","112",158.26181
"h8","113","114",84.81509
"h8","113","116",150.5567
"h8","113","120",253.3548
"h8","113","122",53.83462
"h8","113","124",120.73572
"h8","113","125",274.41413
"h8","114","108",138.9096
"h8","114","110",173.68092
"h8","114","112",63.90164
"h8","114","115",236.66582
"h8","114","119",25.84666
"h8","114","120",81.14931
"h8","114","124",29.43438
"h8","114","126",61.68406
"h8","114","130",92.52746
"h8","128","102",181.52872
"h8","128","106",223.58125
"h8","128","116",124.97436
"h8","128","127",127.5738
"h8","128","129",133.74984
"h8","128","130",39.25046
"h8","128","131",124.06661
"h8","128","132",106.05491
"h8","128","204",137.9467
"h8","128","207",213.7416
"h8","128","213",176.19194
"h8","128","214",44.19255
"h8","128","215",285.21193
"h8","128","216",174.3806
"h8","203","112",95.629
"h8","203","123",69.15648
"h8","203","202",243.2496
"h8","203","204",394.16578
"h8","203","205",281.1549
"h8","203","206",156.57353
"h8","221","211",35.92513
"h8","221","212",122.87332
"h8","221","216",548.40574
"h8","221","217",185.55231
"h8","221","218",372.538
"h8","221","219",138.82311
"h8","221","220",717.215
"h8","221","222",241.99181
"h8","221","223",293.25204
"h9","102","101",121.51444
"h9","102","103",672.85932
"h9","102","104",154.28523
"h9","102","106",164.3707
"h9","102","108",174.7572
"h9","102","109",402.0533
"h9","102","111",412.2554
"h9","102","112",63.90164
"h9","102","113",108.7629
"h9","102","114",124.3734
"h9","102","116",36.283
"h9","102","118",33.22559
"h9","102","119",49.39427
"h9","102","120",164.64044
"h9","102","121",48.97378
"h9","102","122",221.75121
