"variable","CODE_SEC","RES_SEC","W_IND"
"h7","101","105",88.58363
"h7","101","108",170.70845
"h7","101","110",53.09077
"h7","101","118",74.19206
"h7","101","130",15.51367
"h7","101","201",33.79068
"h7","101","209",54.95132
"h7","101","210",190.1416
"h7","101","213",58.23304
"h7","101","224",15.8858
"h7","104","101",111.72977
"h7","104","106",320.3566
"h7","104","111",255.28821
"h7","104","115",36.31355
"h7","104","122",63.47036
"h7","104","202",24.14756
"h7","104","210",67.53833
"h7","104","220",35.9054
"h7","105","102",179.1801
"h7","105","107",106.2102
"h7","105","108",144.1462
"h7","105","110",74.73091
"h7","105","113",87.25291
"h7","105","114",146.01024
"h7","105","115",57.6216
"h7","105","116",65.07994
"h7","105","118",116.07845
"h7","105","119",24.5376
"h7","105","121",97.7566
"h7","105","122",170.61511
"h7","105","124",84.13689
"h7","105","126",43.05158
"h7","105","129",102.0005
"h7","105","132",29.00825
"h7","105","202",226.89264
"h7","105","209",133.72205
"h7","105","212",17.47931
"h7","105","213",128.8486
"h7","105","217",19.15868
"h7","105","223",17.09526
"h7","105","224",32.41293
"h7","106","101",127.95729
"h7","106","104",68.24788
"h7","106","105",189.51834
"h7","106","107",106.2102
"h7","106","108",212.88887
"h7","106","109",135.2768
"h7","106","111",86.61377
"h7","106","114",69.90261
"h7","106","115",61.70343
"h7","106","116",66.225
"h7","106","117",272.16712
"h7","106","119",46.8926
"h7","106","120",67.89777
"h7","106","121",35.42165
"h7","106","123",37.22912
"h7","106","124",32.30642
"h7","106","126",43.05158
"h7","106","127",122.0704
"h7","106","128",181.02837
"h7","106","130",63.08581
"h7","106","131",60.28943
"h7","106","215",43.5391
"h7","106","216",49.16822
"h7","117","104",59.88286
"h7","117","106",170.6911
"h7","117","113",102.2347
"h7","117","114",69.90261
"h7","117","115",57.6216
"h7","117","116",49.8903
"h7","117","119",25.0213
"h7","117","126",18.77439
"h7","117","129",68.37794
"h7","117","131",45.39768
"h7","117","132",67.91691
"h7","117","213",33.99002
"h8","101","102",100.4101
"h8","101","104",60.37416
"h8","101","105",88.58363
"h8","101","106",150.8597
"h8","101","107",149.3491
"h8","101","108",383.59732
"h8","101","109",106.9076
"h8","101","110",53.09077
"h8","101","112",94.76557
"h8","101","115",57.6216
"h8","101","117",71.44084
"h8","101","118",74.19206
