"district","hour","educmen1","educmen2","educmen3","educmen4"
"101","4am",596.86444,1836.558,1380.0721,2354.2056
"102","4am",559.56943,3562.914,3393.2162,5113.0517
"103","4am",1171.5508,9501.999,2255.5181,4175.0937
"104","4am",61.18693,1775.406,1311.3506,1384.1069
"105","4am",1702.54317,8822.677,4757.6255,963.8826
"106","4am",2718.74633,7769.854,3852.4883,5019.4466
"107","4am",3450.35793,7217.523,1739.9146,642.828
"108","4am",1192.36177,6299.274,4536.1932,3053.246
"109","4am",532.9116,6150.685,6336.4905,5360.939
"110","4am",656.08989,4239.34,2327.7027,1553.0087
"111","4am",2019.34816,6031.711,3559.27,2359.7556
"112","4am",744.48091,2112.116,2659.4956,1686.6333
"113","4am",2555.89219,10940.653,5255.4099,1148.9381
"114","4am",1636.97987,5953.247,2396.7412,413.3405
"115","4am",743.43928,5093.038,1448.753,832.9066
"116","4am",1089.25123,5295.249,1462.4769,390.7472
"117","4am",997.47028,7081.59,2711.4431,1302.7476
"118","4am",462.78754,2051.52,1336.7504,965.5615
"119","4am",493.2327,2221.698,1151.3721,1061.4229
"120","4am",227.50049,5118.139,2364.5597,742.7713
"121","4am",296.90637,4375.656,2125.4569,977.6304
"122","4am",310.89487,4845.768,1182.1287,1032.6543
"123","4am",329.54199,3717.198,1566.933,253.7629
"124","4am",287.24779,2449.212,1677.8269,530.3321
"125","4am",1233.09329,4760.513,2397.219,589.2787
"126","4am",289.13592,2559.234,829.151,140.4086
"127","4am",457.35002,6635.095,1808.4488,985.4701
"128","4am",2056.23237,6591.132,3775.8397,2028.9577
"129","4am",130.89919,3016.272,1574.6538,884.648
"130","4am",339.26702,2110.269,1403.317,757.1744
"131","4am",361.78434,3095.879,1729.6527,743.3895
"132","4am",886.344,2745.813,1728.7457,662.0777
"201","4am",1758.47644,3577.827,2362.5037,1060.3396
"202","4am",987.69806,2885.218,2473.0947,1111.2487
"203","4am",1910.64312,5297.227,3943.8825,2036.5033
"204","4am",729.14522,2928.699,2864.9615,1254.2856
"205","4am",1105.27319,2294.489,1826.5761,476.5989
"206","4am",1458.77321,2364.806,1008.2976,354.7813
"207","4am",1690.90178,4425.987,2693.167,2391.5817
"208","4am",1597.14809,3564.36,1934.1939,446.6347
"209","4am",1777.74382,3713.487,3933.6729,2845.6498
"210","4am",3040.24738,5737.61,2793.2731,1168.2421
"211","4am",479.5888,1662.218,1472.2517,861.4517
