"district","hour","resarea1","resarea2","resarea3"
"101","4am",0.6969,0.7315402,98.5715598
"102","4am",1.6478369,0,98.3521631
"103","4am",1.0464099,0,98.9535901
"104","4am",1.2788398,0,98.7211602
"105","4am",5.2431562,1.3794511,93.3773927
"106","4am",3.9321612,0.5531789,95.5146599
"107","4am",0,0.4672325,99.5327675
"108","4am",0,0.2158243,99.7841757
"109","4am",0.294517,98.8499307,0.8555522
"110","4am",0.7212981,99.2787019,0
"111","4am",0.3949661,97.9494069,1.655627
"112","4am",1.1477902,98.8522098,0
"113","4am",1.3496743,98.6503257,0
"114","4am",1.3413129,98.0781836,0.5805035
"115","4am",100,0,0
"116","4am",0.5768434,98.0831116,1.340045
"117","4am",3.9491314,96.0508686,0
"118","4am",0,100,0
"119","4am",98.6207057,1.3792943,0
"120","4am",100,0,0
"121","4am",100,0,0
"122","4am",98.537812,0,1.462188
"123","4am",100,0,0
"124","4am",96.2901527,3.7098473,0
"125","4am",99.1086025,0.8913975,0
"126","4am",100,0,0
"127","4am",100,0,0
"128","4am",98.4940737,1.5059263,0
"129","4am",100,0,0
"130","4am",97.9256305,2.0743695,0
"131","4am",100,0,0
"132","4am",98.0966465,1.9033535,0
"201","4am",100,0,0
"202","4am",100,0,0
"203","4am",99.7144959,0.2855041,0
"204","4am",100,0,0
"205","4am",100,0,0
"206","4am",100,0,0
"207","4am",100,0,0
"208","4am",100,0,0
"209","4am",100,0,0
"210","4am",1.8279419,98.1720581,0
"211","4am",100,0,0
"212","4am",100,0,0
"213","4am",100,0,0
"214","4am",100,0,0
"215","4am",97.434514,0,2.565486
"216","4am",99.6630091,0.3369909,0
"217","4am",1.5325901,98.4674099,0
"218","4am",0,100,0
"219","4am",0.4216681,99.5783319,0
"220","4am",0,99.3730266,0.6269734
"221","4am",1.2558478,98.7441522,0
"222","4am",100,0,0
"223","4am",0.2523539,99.7476461,0
"224","4am",98.7934009,1.2065991,0
"101","5am",0.7089807,0.7442214,98.5467979
"102","5am",2.9668957,1.5809968,95.4521075
"103","5am",1.9455684,1.0022132,97.0522184
"104","5am",3.6538602,0,96.3461398
"105","5am",6.6566377,1.9518013,91.3915609
"106","5am",4.5317881,1.6122982,93.8559138
"107","5am",1.5126372,0.4692426,98.0181202
"108","5am",0,0.2158243,99.7841757
"109","5am",0.9682935,97.6799363,1.3517702
"110","5am",0.7182683,98.0216551,1.2600767
"111","5am",0.9759054,97.378124,1.6459707
"112","5am",8.278261,91.721739,0
"113","5am",2.0962472,97.1641745,0.7395784
"114","5am",1.7228088,97.6897415,0.5874497
"115","5am",100,0,0
"116","5am",1.2979762,96.0968639,2.6051599
"117","5am",3.9424368,96.0575632,0
"118","5am",0,100,0
"119","5am",98.6068311,1.3931689,0
"120","5am",100,0,0
"121","5am",100,0,0
"122","5am",98.49758,0,1.50242
"123","5am",100,0,0
"124","5am",96.2707051,3.7292949,0
"125","5am",99.1093144,0.8906856,0
"126","5am",100,0,0
"127","5am",100,0,0
"128","5am",98.527936,1.472064,0
"129","5am",100,0,0
"130","5am",97.9137217,2.0862783,0
"131","5am",100,0,0
"132","5am",97.4038412,2.5961588,0
"201","5am",100,0,0
"202","5am",100,0,0
"203","5am",99.7195407,0.2804593,0
"204","5am",99.5251309,0.4748691,0
"205","5am",100,0,0
"206","5am",100,0,0
"207","5am",100,0,0
"208","5am",100,0,0
"209","5am",100,0,0
"210","5am",2.0821632,97.9178368,0
"211","5am",100,0,0
"212","5am",100,0,0
"213","5am",100,0,0
"214","5am",100,0,0
"215","5am",97.4425215,0,2.5574785
"216","5am",99.6556964,0.3443036,0
"217","5am",1.5325901,98.4674099,0
"218","5am",0,100,0
"219","5am",0.4231735,99.5768265,0
"220","5am",0.3393287,99.0342718,0.6263995
"221","5am",1.2806106,98.7193894,0
"222","5am",99.3268231,0.6731769,0
"223","5am",1.8939961,98.1060039,0
"224","5am",98.7895015,1.2104985,0
"101","6am",1.2130537,4.9140079,93.8729384
"102","6am",3.145386,2.7031166,94.1514974
"103","6am",2.4215025,1.5869578,95.9915397
"104","6am",4.8423444,1.1097326,94.047923
"105","6am",11.87825,4.9179002,83.2038498
"106","6am",6.279322,1.8802827,91.8403952
"107","6am",2.3504325,0.4658885,97.183679
"108","6am",0.1674068,0.2266803,99.6059129
"109","6am",2.1364803,95.7579213,2.1055984
"110","6am",8.2214336,90.5385224,1.240044
"111","6am",0.8525102,96.9420405,2.2054493
"112","6am",4.4332368,94.5956785,0.9710847
