"hour";"101";"102";"103";"104";"105";"106";"107";"108";"109";"110";"111";"112";"113";"114";"115";"116";"117";"118";"119";"120";"121";"122";"123";"124";"125";"126";"127";"128";"129";"130";"131";"132";"133";"134";"135";"136";"137";"138";"139";"140";"141";"142";"143";"201";"202";"203";"204";"205";"301";"302";"303";"304";"305";"306";"307";"308";"309";"310";"311";"312";"313";"314";"401";"402";"403";"501";"502";"503";"504";"505";"506";"507";"508";"509";"510";"511";"512";"513";"514";"515";"516";"517";"518";"519";"601";"602";"603";"701";"801";"802";"803";"804";"805";"806";"901";"902";"903"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35";"10480.35"
"4am";" 1773.046";" 2760.882";" 2130.631";" 2815.547";" 2718.334";" 1924.198";" 1082.495";" 2033.193";" 3441.684";" 3471.974";" 2755.156";" 5018.845";" 3861.738";"  914.159";" 4455.219";" 6769.728";" 1119.521";" 2109.332";" 1634.543";" 2609.002";"  623.300";" 1006.792";" 3435.094";" 1016.046";" 1075.252";" 2953.902";" 3325.904";" 1361.682";" 2124.838";" 1418.752";" 2200.685";" 3470.929";" 1272.686";" 3211.003";" 3077.309";"  836.730";" 2514.513";"  608.156";" 3628.454";" 1752.690";"  987.840";" 2156.634";" 2545.190";" 6672.704";" 3149.806";" 5026.387";" 3749.129";"10337.472";" 1727.632";"  719.701";" 1720.163";" 3346.650";" 1952.355";" 2375.273";"  862.982";" 1804.100";" 2073.504";" 1494.780";"  609.699";" 1794.224";" 2236.752";" 3033.688";" 1056.968";" 1706.780";" 4772.296";" 3611.043";"  544.370";"  688.915";" 1662.659";"  995.060";"  708.450";"  883.801";" 1496.512";"  764.417";" 1630.872";" 1229.119";" 2953.741";" 2658.312";"  559.834";" 2497.805";" 1860.341";" 1473.932";" 2517.749";"  676.310";" 3946.398";" 4072.597";" 5386.129";" 3521.540";" 1616.595";" 1251.946";" 4722.562";" 1537.288";" 2126.265";" 4119.032";"  650.605";"  500.893";" 4119.699"
"5am";" 1707.240";" 2601.269";" 2083.351";" 2770.668";" 2658.995";" 2001.408";" 1082.495";" 2187.949";" 3411.902";" 3471.974";" 2801.650";" 5153.675";" 3912.764";"  880.311";" 4330.047";" 6890.269";" 1105.302";" 2075.848";" 1708.623";" 2734.791";"  635.805";" 1040.990";" 3289.173";"  962.748";" 1063.499";" 2953.902";" 3284.622";" 1296.348";" 2216.861";" 1402.935";" 2241.267";" 3534.037";" 1272.686";" 3157.972";" 3153.250";"  836.730";" 2514.513";"  608.156";" 3556.915";" 1752.690";" 1079.184";" 2124.268";" 2486.897";" 6855.965";" 3025.594";" 4945.419";" 3722.958";"10078.916";" 1687.536";"  719.701";" 1579.633";" 3348.983";" 1952.355";" 2263.612";"  862.982";" 1804.100";" 2124.193";" 1519.731";"  609.699";" 1760.097";" 2236.752";" 2998.184";" 1056.968";" 1672.786";" 4806.290";" 3786.832";"  502.834";"  676.410";" 1678.778";"  935.860";"  708.450";"  867.682";" 1446.129";"  764.417";" 1630.872";" 1186.263";" 2945.312";" 2803.649";"  559.834";" 2510.889";" 1841.563";" 1394.941";" 2452.414";"  649.013";" 3802.919";" 4093.352";" 5438.264";" 3521.540";" 1616.595";" 1229.547";" 4744.961";" 1500.807";" 2101.617";" 4064.795";"  638.705";"  492.014";" 4068.029"
"6am";"1620.330";"2885.478";"2210.087";"2943.835";"2662.242";"2008.992";"1091.361";"2097.686";"3674.742";"3359.584";"2716.799";"5549.862";"4147.624";" 936.021";"4096.401";"6802.918";"1039.679";"2003.290";"2119.353";"3036.354";" 605.957";" 980.259";"3263.626";" 852.902";" 959.957";"2962.702";"3235.811";"1483.707";"2149.264";"1489.338";"2697.956";"3386.038";"1284.526";"2857.177";"3389.392";" 811.684";"2377.886";" 553.258";"3216.644";"1634.675";"1051.166";"2142.463";"2346.527";"6737.108";"2841.022";"4332.597";"3507.388";"9991.577";"1542.176";" 719.701";"1276.686";"3128.414";"2023.411";"2163.397";" 911.656";"1492.569";"1912.665";"1280.849";" 560.570";"1687.316";"2201.056";"2844.293";" 932.057";"1530.185";"4551.530";"3751.718";" 489.555";" 627.329";"1768.807";" 815.211";" 743.472";" 822.554";"1356.428";" 682.236";"1497.765";"1151.619";"2915.538";"2512.503";" 606.336";"2440.649";"1667.926";"1370.219";"2225.883";" 717.820";"3198.248";"4089.470";"5177.659";"3521.540";"1567.412";" 979.036";"4462.767";"1413.489";"1977.807";"4064.795";" 573.032";" 481.953";"3584.002"
"7am";"2321.846";"3114.004";"2836.093";"2710.821";"2536.256";"2693.324";"1216.487";"2160.439";"3404.767";"3127.754";"2915.466";"5267.052";"4260.464";" 864.453";"4529.166";"7681.539";" 965.998";"1852.096";"2797.944";"3602.355";" 461.008";"1282.181";"3618.242";" 675.533";" 985.221";"2642.991";"3320.003";"1534.093";"1902.829";"1346.605";"2598.424";"3226.541";" 855.340";"2554.218";"3681.211";" 816.446";"2075.259";" 527.492";"3278.884";"1612.718";"1017.951";"2169.511";"2095.661";"6990.950";"2877.254";"4305.224";"2947.194";"9416.124";"1488.373";" 950.134";"1235.220";"2910.447";"2167.162";"1875.736";" 923.170";"1346.466";"1834.999";"1270.505";" 466.264";"1491.458";"2255.086";"2689.598";" 690.353";"1679.581";"4235.648";"4374.729";" 476.447";" 655.565";"1701.374";" 803.262";" 551.818";" 684.960";"1292.867";" 554.442";"1322.646";" 948.126";"3062.281";"2389.133";" 570.890";"2724.882";"1603.556";"1308.238";"1990.760";" 602.427";"2698.288";"4287.617";"4630.528";"3398.071";"1316.677";" 754.857";"4528.955";"1362.761";"1841.958";"3956.321";" 528.897";" 426.724";"3022.025"
"8am";"2646.076";"3643.856";"3566.699";"2957.458";"2919.264";"2930.802";"1274.079";"2109.431";"3367.889";"3396.356";"2529.099";"4826.865";"4390.242";" 883.918";"4466.339";"7524.283";"1011.200";"1875.988";"3047.061";"4042.976";" 397.705";"1659.263";"3802.698";" 711.179";" 961.733";"2421.487";"3387.295";"1457.602";"1735.810";"1342.790";"2675.863";"3274.092";" 898.759";"2487.937";"3919.222";" 786.179";"2111.161";" 467.798";"3213.949";"1587.839";"1000.213";"2157.688";"1976.145";"6470.912";"2847.410";"4068.733";"2893.917";"7771.739";"1435.978";"1049.053";"1038.875";"2795.698";"2349.156";"1809.586";" 788.927";"1212.960";"1746.635";"1158.157";" 429.929";"1254.752";"2333.142";"2641.751";" 620.639";"1751.561";"4045.687";"4940.904";" 485.965";" 638.919";"1987.909";" 752.784";" 572.472";" 567.247";"1145.690";" 598.763";"1174.276";" 880.654";"2605.693";"2639.262";" 540.102";"2541.657";"1730.314";"1121.575";"1881.470";" 485.661";"2409.813";"4734.855";"4468.709";"3355.689";"1350.458";" 743.040";"4680.972";"1260.582";"1648.769";"4155.297";" 423.199";" 437.460";"2986.530"
"9am";"3527.356";"3870.733";"3544.885";"2983.724";"3091.950";"2977.984";"1263.868";"1951.664";"3082.336";"3061.734";"2019.226";"5111.968";"3967.444";" 903.413";"4767.241";"7000.564";" 864.767";"1596.989";"3378.022";"4220.416";" 351.832";"1734.658";"4169.577";" 596.086";" 826.921";"2365.759";"2936.264";"2935.253";"1759.141";"1594.537";"3144.425";"3222.498";" 889.139";"2486.631";"4413.890";" 675.939";"2092.619";" 420.449";"2712.635";"1818.991";" 908.205";"2001.481";"1917.852";"6563.506";"2865.608";"3988.760";"2809.069";"7809.234";"1415.796";"1140.446";"1149.141";"2548.667";"2460.907";"1998.382";" 853.283";"1182.566";"1653.500";"1068.328";" 389.233";"1156.042";"2532.346";"2497.754";" 566.033";"1729.708";"4018.026";"5047.093";" 473.764";" 531.780";"2123.478";" 762.186";" 558.417";" 544.160";"1197.698";" 474.041";"1041.900";" 820.699";"2670.572";"2589.889";" 548.172";"2523.852";"1663.101";" 851.602";"1881.470";" 466.035";"2312.104";"4669.784";"4272.121";"3201.327";"1376.545";" 630.314";"4761.945";"1208.408";"1571.135";"4171.805";" 408.033";" 403.124";"2908.569"
"10am";"4048.729";"4245.668";"3345.259";"3437.322";"3332.848";"2775.680";"1250.773";"1947.747";"3086.700";"2799.120";"1969.311";"4997.701";"3980.242";" 923.786";"4385.380";"7323.696";" 944.503";"1520.422";"3219.525";"4589.096";" 347.519";"1664.947";"4271.040";" 517.622";" 860.001";"2219.047";"2883.573";"2954.575";"1314.554";"1492.079";"3062.631";"3666.559";" 893.683";"2583.137";"3949.713";" 815.479";"2032.294";" 411.095";"2675.786";"1629.446";" 885.442";"2119.698";"1868.684";"6693.504";"2773.848";"3967.893";"2577.975";"7632.301";"1461.038";"1112.504";"1162.283";"2528.814";"2550.587";"2012.769";" 898.446";"1052.037";"1507.759";"1205.572";" 375.764";"1251.598";"2548.466";"2335.741";" 638.944";"1653.265";"4027.818";"5348.399";" 425.870";" 520.411";"1828.188";" 699.282";" 469.049";" 541.146";" 951.365";" 575.877";"1003.575";" 736.685";"2619.338";"2471.537";" 541.078";"2554.890";"1927.520";"1020.882";"1887.554";" 453.391";"2253.061";"4995.570";"4275.952";"3210.267";"1288.059";" 653.551";"4708.604";"1183.044";"1565.110";"4155.313";" 399.399";" 426.628";"2840.410"
"11am";"3245.402";"3365.618";"3185.599";"3308.917";"3383.862";"2766.667";"1200.233";"2258.166";"3126.762";"3325.475";"2360.138";"4838.856";"4418.761";" 951.643";"4725.534";"6857.913";" 998.200";"1873.773";"3214.568";"4273.651";" 370.485";"1514.348";"4612.239";" 576.634";" 918.463";"2201.746";"3291.413";"2224.331";"1582.309";"1434.797";"2988.210";"3685.396";" 979.097";"2779.507";"3785.022";" 792.275";"1981.663";" 431.954";"2801.867";"1275.340";" 913.529";"2095.097";"1910.956";"6676.292";"2797.372";"4043.577";"2870.331";"8022.797";"1422.866";"1088.300";"1113.277";"2465.567";"2408.354";"1876.882";" 934.905";"1174.387";"1540.591";"1270.720";" 418.496";"1313.025";"2325.962";"2448.295";" 672.437";"1331.752";"4556.825";"4965.073";" 445.629";" 597.637";"1553.409";" 792.211";" 529.699";" 456.871";"1174.863";" 538.174";"1147.576";" 718.989";"2730.037";"2457.027";" 544.246";"2494.028";"1715.325";"1156.348";"1871.441";" 490.539";"2339.061";"4603.567";"4275.952";"2994.996";"1384.302";" 735.048";"4489.155";"1275.533";"1803.556";"4035.711";" 508.261";" 435.255";"2926.428"
"12am";"3294.664";"3427.086";"3238.818";"2926.316";"3156.295";"2936.827";"1214.303";"2052.888";"3309.842";"3206.021";"2524.972";"4659.852";"4445.005";" 863.235";"4290.380";"6932.070";" 888.996";"2096.803";"2833.171";"4184.490";" 446.616";"1252.151";"4413.989";" 745.598";"1027.069";"2102.645";"3073.817";"1909.052";"1650.291";"1580.046";"2671.682";"4321.615";"1283.017";"2961.152";"4001.441";" 816.289";"1831.945";" 440.825";"2743.440";"1377.062";"1031.375";"2252.242";"2159.392";"6770.097";"2889.948";"4169.571";"3005.164";"7926.875";"1497.282";"1043.997";"1116.374";"2519.180";"2405.751";"2196.572";" 947.404";"1303.114";"1473.570";"1239.879";" 418.496";"1402.138";"2220.902";"2708.698";" 696.446";"1396.759";"4529.412";"4554.645";" 494.826";" 582.853";"1575.114";" 834.261";" 601.684";" 568.568";"1176.492";" 520.592";"1241.748";" 747.256";"2770.556";"2737.446";" 549.530";"2240.504";"1846.090";"1068.654";"1814.294";" 606.194";"2550.098";"4328.244";"4770.844";"3092.304";"1368.296";" 754.077";"4399.601";"1275.533";"1922.231";"4049.360";" 501.632";" 441.515";"3239.201"
