"hour";"101";"102";"103";"104";"105";"106";"107";"108";"109";"110";"111";"112";"113";"114";"115";"116";"117";"118";"119";"120";"121";"122";"123";"124";"125";"126";"127";"128";"129";"130";"131";"132";"133";"134";"135";"136";"137";"138";"139";"140";"141";"142";"143";"201";"202";"203";"204";"205";"301";"302";"303";"304";"305";"306";"307";"308";"309";"310";"311";"312";"313";"314";"401";"402";"403";"501";"502";"503";"504";"505";"506";"507";"508";"509";"510";"511";"512";"513";"514";"515";"516";"517";"518";"519";"601";"602";"603";"701";"801";"802";"803";"804";"805";"806";"901";"902";"903"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808";"9831.808"
"4am";"1166.752";"2509.818";"2229.862";"2101.547";"1826.108";"1726.267";" 989.273";"1916.786";"2964.336";"3928.818";"2588.016";"3302.177";"3441.621";" 446.628";"2868.478";"4688.043";" 791.114";"1203.739";"1242.587";"1906.801";" 497.233";"1080.976";"2826.456";" 907.939";" 718.768";"1892.159";"2209.183";"1277.709";"1502.593";"1198.717";"1338.001";"1686.506";" 797.716";"2343.521";"2326.583";" 394.814";"1806.247";" 445.622";"2684.794";" 886.041";" 662.597";"1433.825";"2214.107";"4060.829";"1279.666";"2132.740";"1187.473";"4580.236";" 883.261";" 379.051";" 910.802";"2619.534";"1647.823";" 954.524";" 679.289";" 727.533";" 778.702";" 798.234";" 343.319";" 756.951";"1328.623";"1401.484";" 688.306";" 932.790";"2948.842";"2113.017";" 357.927";" 544.346";" 828.621";" 443.117";" 358.418";" 663.438";" 886.013";" 390.012";" 784.676";" 583.645";"1626.285";"1811.863";" 314.724";"1450.295";"1087.915";" 713.217";"1013.814";" 308.587";"3064.707";"2210.455";"3292.213";"2212.366";"1197.788";" 775.420";"3572.666";"1171.773";"1292.533";"2219.364";" 381.510";" 270.778";"2562.790"
"5am";"1040.051";"2509.818";"2256.677";"2146.931";"1826.108";"1726.267";" 989.273";"1916.786";"2878.045";"3973.116";"2593.821";"3392.757";"3500.715";" 436.233";"2868.478";"4827.282";" 791.114";"1158.355";"1242.587";"1906.801";" 497.233";"1126.287";"2826.456";" 907.939";" 706.008";"1892.159";"2167.901";"1212.375";"1466.805";"1221.708";"1338.001";"1656.868";" 797.716";"2277.565";"2396.437";" 394.814";"1806.247";" 445.622";"2684.794";" 886.041";" 662.597";"1468.786";"2146.780";"4148.168";"1279.666";"2158.911";"1161.302";"4492.897";" 883.261";" 379.051";" 910.802";"2643.128";"1647.823";" 894.228";" 679.289";" 727.533";" 814.206";" 798.234";" 343.319";" 756.951";"1328.623";"1365.980";" 688.306";" 932.790";"2948.842";"2125.173";" 333.615";" 544.346";" 844.740";" 443.117";" 358.418";" 647.319";" 886.013";" 390.012";" 784.676";" 583.645";"1626.285";"1811.863";" 314.724";"1502.430";"1087.915";" 686.790";" 948.479";" 294.374";"3012.572";"2231.210";"3292.213";"2212.366";"1197.788";" 775.420";"3572.666";"1135.292";"1292.533";"2219.364";" 381.510";" 270.778";"2511.120"
"6am";"1225.001";"2599.768";"2385.722";"2259.392";"1824.888";"1638.055";" 989.273";"1976.262";"2821.614";"3785.626";"2606.581";"3514.933";"3724.789";" 412.939";"2887.342";"4894.902";" 780.747";"1139.949";"1624.417";"2052.449";" 449.130";" 981.875";"2937.972";" 861.449";" 662.238";"1829.264";"2169.528";"1357.590";"1399.208";"1230.745";"1358.997";"1728.567";" 771.487";"2041.301";"2447.653";" 394.814";"1794.220";" 393.211";"2430.699";" 889.944";" 640.353";"1431.032";"2030.194";"4052.246";"1293.128";"2090.373";"1123.789";"4240.169";" 777.997";" 379.051";" 789.526";"2519.053";"1464.337";" 858.349";" 752.519";" 727.533";" 770.108";" 773.283";" 325.489";" 742.465";"1297.448";"1365.980";" 640.308";" 935.800";"2895.420";"2107.539";" 333.615";" 516.594";" 856.743";" 383.917";" 340.808";" 647.319";" 857.519";" 368.084";" 722.773";" 523.467";"1629.425";"1654.870";" 339.074";"1333.671";"1040.563";" 686.790";"1009.210";" 294.374";"2960.437";"2314.223";"3209.200";"2212.366";"1169.619";" 691.184";"3373.947";"1109.160";"1267.885";"2219.364";" 369.610";" 270.778";"2188.951"
"7am";"1946.436";"2563.262";"2934.309";"2111.157";"1752.854";"2357.878";"1198.447";"2096.763";"2737.171";"3805.815";"2402.399";"3596.832";"3533.351";" 392.149";"2615.951";"4321.480";" 773.853";"1116.239";"2017.788";"2424.957";" 412.996";"1024.412";"3386.310";" 756.845";" 686.283";"1751.763";"1878.085";"1202.428";"1199.514";" 923.663";"1505.773";"1687.745";" 557.771";"2083.378";"2021.691";" 438.931";"1599.445";" 299.954";"2497.885";" 835.307";" 669.219";"1415.029";"1712.837";"4210.923";"1353.530";"2044.926";" 748.293";"4083.363";" 488.760";" 433.549";" 845.333";"2143.439";"1721.445";" 654.430";" 665.051";" 620.543";" 685.295";" 692.850";" 325.489";" 656.894";"1351.615";"1301.767";" 503.432";" 795.340";"2630.116";"2730.387";" 371.922";" 452.070";" 666.177";" 344.263";" 354.006";" 648.373";" 728.152";" 298.804";" 549.102";" 406.716";"2031.829";"1385.353";" 269.672";"1512.273";" 933.907";" 646.307";" 943.875";" 262.569";"2636.082";"2246.818";"2958.831";"2039.292";"1070.832";" 450.114";"3300.302";"1083.073";"1193.941";"1974.677";" 335.642";" 228.072";"1894.040"
"8am";"2380.731";"3650.485";"3418.392";"2259.507";"2192.407";"2707.722";"1221.669";"1888.686";"2556.581";"3794.275";"2074.590";"3551.334";"3604.174";" 412.751";"2254.653";"4941.033";" 701.825";" 962.008";"2908.321";"3205.524";" 401.233";"1572.996";"3561.939";" 556.468";" 520.809";"1350.240";"1823.039";"1630.273";"1176.589";" 993.418";"1865.550";"1982.118";" 389.697";"2017.150";"2174.623";" 371.322";"1378.874";" 207.220";"2569.369";"1015.204";" 644.872";"1243.127";"1357.122";"3946.263";"1299.447";"1835.038";" 669.780";"3674.448";" 402.883";" 568.231";" 691.649";"1773.470";"1688.876";" 639.445";" 624.621";" 544.424";" 602.376";" 625.126";" 314.056";" 507.325";"1351.615";"1370.790";" 442.983";" 901.079";"2493.860";"3070.991";" 295.034";" 348.411";" 827.679";" 338.712";" 368.828";" 593.525";" 614.505";" 287.050";" 448.981";" 372.072";"1780.906";"1555.070";" 262.090";"1410.988";"1139.223";" 563.230";" 917.126";" 228.730";"2361.753";"2766.542";"2668.693";"2078.021";" 959.858";" 330.017";"3401.391";" 976.544";"1072.851";"2102.164";" 297.879";" 297.577";"1858.545"
"9am";"3227.401";"3944.781";"3313.844";"2435.330";"2106.601";"2904.401";"1140.607";"1971.776";"2402.757";"3476.748";"1685.561";"3745.223";"3437.197";" 303.892";"2189.440";"4631.220";" 586.169";" 872.099";"3114.856";"3308.946";" 430.031";"1591.527";"3680.469";" 557.566";" 448.147";"1323.683";"1613.245";"2255.549";"1111.874";"1021.265";"2538.530";"1784.319";" 313.282";"2012.589";"2607.446";" 527.497";"1248.420";" 193.779";"2216.686";"1097.995";" 613.538";"1148.564";"1302.132";"3849.751";"1299.447";"1544.855";" 622.723";"3987.149";" 350.251";" 597.035";" 738.595";"1683.715";"1734.647";" 608.270";" 602.444";" 545.205";" 460.963";" 630.496";" 302.623";" 460.137";"1477.609";"1269.115";" 426.652";" 901.079";"2295.777";"3162.182";" 257.614";" 350.031";" 767.110";" 308.307";" 366.263";" 564.313";" 547.350";" 287.050";" 401.105";" 372.072";"1743.364";"1629.736";" 262.090";"1353.258";"1221.545";" 437.772";" 862.535";" 219.391";"2534.752";"2605.325";"2518.793";"2144.605";" 913.296";" 275.068";"3294.563";" 950.457";"1072.851";"2118.672";" 252.541";" 297.577";"1868.606"
"10am";"3622.249";"3793.296";"3654.410";"2589.980";"2201.852";"2384.597";"1157.905";"2062.800";"2548.649";"3130.962";"1847.155";"3736.032";"3086.406";" 398.290";"2227.398";"4715.532";" 680.179";" 717.731";"2876.142";"3462.650";" 396.159";"1592.403";"3737.033";" 497.081";" 431.168";"1275.804";"1558.909";"2444.636";" 957.098";" 989.420";"2717.737";"2250.066";" 315.554";"1887.600";"2354.224";" 526.939";"1313.123";" 193.779";"2006.785";" 872.141";" 566.537";"1211.738";"1326.656";"3988.332";"1261.041";"1485.026";" 538.153";"3705.711";" 350.251";" 610.504";" 683.769";"1694.162";"1815.021";" 631.066";" 666.739";" 601.012";" 491.728";" 644.258";" 289.154";" 506.790";"1403.106";"1209.320";" 586.709";" 962.408";"2318.359";"3411.413";" 273.985";" 344.817";" 684.006";" 317.834";" 300.722";" 584.253";" 452.902";" 264.164";" 386.455";" 282.124";"1847.238";"1579.352";" 265.258";"1345.774";"1186.280";" 588.081";" 772.994";" 212.849";"2522.672";"2838.605";"2456.380";"2053.827";" 763.338";" 297.615";"3321.584";" 925.093";"1048.203";"2034.294";" 228.741";" 297.577";"1917.919"
"11am";"2909.540";"3919.873";"3542.422";"2368.494";"2138.250";"2189.933";"1150.918";"2219.951";"2489.346";"3347.648";"2211.578";"3305.611";"3818.427";" 424.870";"2439.286";"4991.455";" 690.704";" 997.789";"3219.081";"2984.177";" 502.471";"1632.059";"3811.611";" 512.469";" 393.228";"1342.047";"1701.490";"2075.642";"1064.303";"1128.654";"2289.294";"1870.388";" 418.198";"2025.509";"2255.246";" 492.904";"1197.018";" 173.312";"2129.065";" 820.918";" 589.300";"1170.362";"1591.132";"4059.431";"1261.041";"1589.531";" 775.682";"3663.489";" 383.496";" 627.746";" 646.954";"1590.238";"1854.155";" 616.269";" 708.048";" 683.475";" 477.242";" 667.827";" 302.623";" 479.475";"1436.657";"1261.536";" 526.223";" 747.718";"2367.291";"3235.592";" 304.415";" 355.992";" 644.291";" 360.206";" 300.722";" 528.533";" 486.851";" 215.497";" 486.576";" 280.504";"1712.110";"1472.629";" 224.768";"1515.032";"1157.901";" 613.002";" 807.944";" 222.188";"2409.412";"2499.770";"2752.658";"1893.032";" 861.848";" 337.536";"3394.880";"1001.908";" 986.298";"1976.508";" 311.842";" 290.779";"1917.919"
"12am";"3290.686";"3287.490";"3608.054";"2109.945";"1976.863";"2359.080";"1057.756";"2036.177";"2629.237";"3389.900";"2302.617";"2975.144";"3496.143";" 375.922";"2430.372";"4388.596";" 722.972";"1166.239";"2906.129";"3182.396";" 517.762";"1561.142";"3310.155";" 739.264";" 467.283";"1414.419";"2121.786";"2294.169";"1152.916";"1210.776";"1695.766";"2347.035";" 592.957";"2261.750";"2351.597";" 533.283";"1170.806";" 275.036";"2184.125";" 880.308";" 559.550";"1212.043";"1704.560";"4048.609";"1204.569";"1694.036";" 901.552";"3567.567";" 402.317";" 554.957";" 467.583";"1694.163";"1862.883";" 728.798";" 724.177";" 651.104";" 532.996";" 643.845";" 284.793";" 521.811";"1326.794";"1363.211";" 499.436";" 848.255";"2350.827";"2774.058";" 322.970";" 403.562";" 755.325";" 294.008";" 329.822";" 532.730";" 540.087";" 257.804";" 513.040";" 264.802";"1777.519";"1607.435";" 248.002";"1381.559";"1094.876";" 664.870";" 818.580";" 203.467";"2678.429";"2134.636";"3118.944";"1936.849";" 882.862";" 376.136";"3255.088";"1031.622";"1206.981";"2054.474";" 311.842";" 291.961";"1959.528"
