"variable","CODE_SEC","RES_SEC","W_IND"
"h14","128","103",64.49
"h14","128","111",193.92
"h14","128","112",83.329
"h14","128","114",31.185
"h14","128","115",100.775
"h14","128","129",99.399
"h14","128","130",35.71
"h14","128","402",24.594
"h14","128","804",26.087
"h15","101","111",46.494
"h15","101","118",30.306
"h15","101","119",51.757
"h15","101","122",29.644
"h15","101","124",22.314
"h15","101","139",49.207
"h15","101","141",22.763
"h15","101","302",22.688
"h15","101","503",10.994
"h15","101","801",23.281
"h15","101","802",19.029
