"variable","CODE_SEC","RES_SEC","W_IND"
"h7","7501","7502",1682.34665741964
"h7","7501","7504",890.277245133973
"h7","7501","7505",486.120372608461
"h7","7501","7506",334.87708422507
"h7","7501","7509",1225.88749891489
"h7","7501","7511",370.918942482448
"h7","7501","7512",1302.6404172429
"h7","7501","7513",1051.82996180059
"h7","7501","7514",394.47566332867
"h7","7502","7501",1085.20619721357
"h7","7502","7503",266.870388862152
"h7","7502","7505",442.644582659105
"h7","7502","7506",592.598786845885
"h7","7502","7507",663.788570839375
"h7","7502","7508",572.300645916801
"h7","7502","7509",594.322248224899
"h7","7502","7512",898.190734297344
"h7","7502","7513",326.871602298972
"h7","7502","7514",570.412832627277
"h7","7503","7502",1125.04318978148
"h7","7503","7504",1407.32944348774
"h7","7503","7505",971.323634420083
"h7","7503","7506",1571.56067241147
"h7","7503","7510",1256.93283292937
"h7","7503","7511",2687.42112889819
"h7","7503","7512",348.005957127175
"h7","7503","7513",2114.31397912871
"h7","7504","7501",699.976359055377
"h7","7504","7502",1290.03974397855
"h7","7504","7503",266.870388862152
"h7","7504","7505",626.347078482554
"h7","7504","7506",434.793725155287
"h7","7504","7508",471.336508232621
"h7","7504","7509",2636.09050844703
"h7","7504","7512",607.627557809954
"h7","7504","7513",1174.26850935309
"h7","7504","7514",1589.31116358897
"h7","7506","7501",385.163447630053
"h7","7506","7502",365.946909995651
"h7","7506","7504",571.220409671638
"h7","7506","7505",438.479848756589
"h7","7506","7507",518.295481023766
"h7","7506","7508",1192.56230815779
"h7","7506","7509",615.564393496093
"h7","7506","7511",660.047496569215
"h7","7506","7512",775.190105163717
"h7","7506","7514",2484.47730096129
"h8","7501","7502",5473.92932144868
"h8","7501","7503",2159.74092948169
"h8","7501","7504",2033.24360836161
"h8","7501","7505",3403.23838392127
"h8","7501","7506",2719.27331096959
"h8","7501","7507",1009.46501736852
"h8","7501","7508",826.385922509694
"h8","7501","7509",4228.37308403755
"h8","7501","7510",1361.54525383007
"h8","7501","7511",3354.79686919801
"h8","7501","7512",2738.06332476848
"h8","7501","7513",2760.99650966361
"h8","7501","7514",2651.40412255969
"h8","7502","7501",2038.5969192738
"h8","7502","7503",1595.32429579978
"h8","7502","7504",194.054155894881
"h8","7502","7505",1192.30309014011
"h8","7502","7506",1900.05450497999
"h8","7502","7507",4362.25260303244
"h8","7502","7508",2637.62039885478
"h8","7502","7509",5031.63968980683
"h8","7502","7510",2263.84716985371
"h8","7502","7511",1034.33356773626
"h8","7502","7512",1971.5123435424
"h8","7502","7513",3115.96703873748
"h8","7502","7514",1533.9856447395
"h8","7503","7501",1289.66655000724
"h8","7503","7502",2556.38060212947
"h8","7503","7504",2307.7992741517
"h8","7503","7505",3095.70066513666
"h8","7503","7506",2796.23615833805
"h8","7503","7507",3336.92874150674
"h8","7503","7508",1020.74211907768
"h8","7503","7509",4008.09514220293
"h8","7503","7510",6064.32277570559
"h8","7503","7511",7680.9679661409
"h8","7503","7512",4519.06475624851
"h8","7503","7513",4831.88202057608
"h8","7503","7514",738.095210086801
"h8","7504","7501",1292.2886649126
"h8","7504","7502",592.174764105116
"h8","7504","7503",1269.57381336443
"h8","7504","7505",1546.04032743389
"h8","7504","7506",899.590485385715
"h8","7504","7508",471.336508232621
"h8","7504","7509",2636.09050844703
"h8","7504","7511",1909.17946657964
"h8","7504","7512",3168.17487922183
"h8","7504","7513",2003.33478273287
"h8","7504","7514",2754.91358153589
"h8","7505","7501",1230.994071447
"h8","7505","7502",3484.61660792871
"h8","7505","7503",546.843940617393
"h8","7505","7504",293.119734896953
"h8","7505","7506",614.964538326097
"h8","7505","7507",570.184724396984
"h8","7505","7509",1739.75655760456
