"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.469462424816372,0.630103206885313,0.321024836691881,0.700548978153163
"5am",0.466339645244447,0.618555391803613,0.297388642056862,0.69134246575962
"6am",0.45169592612975,0.623341258171565,0.252472637855387,0.687053022526525
"7am",0.454326692637731,0.596166739538855,0.167086896597814,0.693712111903053
"8am",0.482213473980749,0.579210408006798,0.130339046000127,0.722318188606685
"9am",0.493602571992107,0.583022860994329,0.148367526990032,0.73835577431443
"10am",0.517358826555745,0.540784274897995,0.16704063155758,0.729084852104366
"11am",0.494135894925618,0.535788193434958,0.104288799621241,0.716109019117787
"12am",0.465214479968437,0.532713001255618,0.107066933295988,0.699884166996016
"1pm",0.485713987279296,0.516362593796393,0.0436520851202413,0.708921852211307
"2pm",0.482560823388505,0.513271430496105,0.0951620196389999,0.705414681573968
"3pm",0.507306358000432,0.554821613914964,0.131463624761866,0.716458673102671
"4pm",0.503691732254785,0.585626495828884,0.073652995152419,0.719890073515012
"5pm",0.489986604579534,0.591693835790698,0.218956848711082,0.707359283822352
"6pm",0.463247160030469,0.604600710823572,0.261226708216047,0.711702312398126
"7pm",0.462674998115097,0.617546029070687,0.264683435493178,0.696146128922688
"8pm",0.467072203513927,0.618436006840326,0.225174975500591,0.691677983241953
"9pm",0.464859822252678,0.619337980693386,0.245418270944128,0.698297973500951
"10pm",0.466481960870122,0.62749795478243,0.255325984011928,0.701147021482134
"11pm",0.465584118805807,0.631623747207163,0.269790703819635,0.698507466283941
"12pm",0.464901590927516,0.626543606585797,0.288223458405474,0.697687701209221
"1am",0.464520679408345,0.625627435624984,0.284006137838792,0.698357282988158
"2am",0.464831128360212,0.625391930839132,0.283608515326529,0.700365814524497
"3am",0.466282464156647,0.624710674506296,0.285321231360701,0.700120824840564
