"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.243,0.2165,0.1109,0.3602
"5am",0.2426,0.2164,0.1093,0.3561
"6am",0.237,0.2126,0.1099,0.3485
"7am",0.2296,0.1948,0.1069,0.3393
"8am",0.2214,0.1729,0.1001,0.3044
"9am",0.2316,0.1683,0.097,0.2868
"10am",0.2319,0.1677,0.0925,0.2841
"11am",0.2351,0.1657,0.0927,0.2831
"12am",0.2391,0.1656,0.0941,0.2831
"1pm",0.2336,0.1676,0.092,0.2832
"2pm",0.2348,0.1699,0.0926,0.2871
"3pm",0.2419,0.1717,0.0934,0.2924
"4pm",0.2436,0.1857,0.0931,0.3065
"5pm",0.2447,0.2025,0.0975,0.328
"6pm",0.2471,0.2066,0.0996,0.3498
"7pm",0.2485,0.2179,0.1069,0.3605
"8pm",0.2472,0.2206,0.1101,0.3656
"9pm",0.2468,0.2211,0.1121,0.3666
"10pm",0.2443,0.22,0.1101,0.3647
"11pm",0.2456,0.2193,0.1103,0.3633
"12pm",0.2454,0.218,0.1095,0.3636
"1am",0.2451,0.2186,0.1129,0.3646
"2am",0.247,0.2182,0.113,0.3641
"3am",0.2473,0.2182,0.113,0.3639
