"district","hour","cleduc1","cleduc2","cleduc3","cleduc4"
"7501","4am",4548.113,8074.979,13084.504,48677.852
"7502","4am",6346.367,3896.443,22754.384,81199.875
"7503","4am",5633.231,6541.374,12452.565,46766.363
"7504","4am",4732.383,10086.297,15031.185,45507.69
"7505","4am",9093.309,16382.744,21554.548,63701.142
"7506","4am",11734.655,9809.219,25113.566,60270.488
"7507","4am",12368.774,17019.027,29653.462,67287.676
"7508","4am",4313.127,9396.72,17894.578,65178.769
"7509","4am",9679.978,18915.614,31123.326,101930.188
"7510","4am",6008.926,6876.119,25609.671,79382.534
"7511","4am",12739.814,10936.282,29181.105,68075.688
"7512","4am",20412.897,17936.478,27083.125,77396.047
"7513","4am",28576.576,23348.232,21495.887,54793.298
"7514","4am",23919.708,16233.302,37284.173,60728.888
"7701","4am",11570.154,26756.233,26792.259,26508.93
"7702","4am",15649.968,29505.037,25566.536,34504.421
"7703","4am",9836.087,27106.846,19506.451,17334.907
"7704","4am",20717.751,18813.962,15215.678,11087.729
"7705","4am",8047.066,17020.58,12006.776,7180.402
"7706","4am",9440.859,17032.899,12477.485,5901.904
"7707","4am",12525.106,19920.213,11468.773,6155.705
"7708","4am",8091.958,25304.888,17269.445,16891.598
"7709","4am",10352.462,14490.283,14633.826,8582.529
"7710","4am",7075.255,14325.833,23944.886,16739.148
"7711","4am",15590.784,20837.874,19789.441,15111.773
"7712","4am",8239.662,17594.133,15275.526,10223.45
"7713","4am",8890.414,8345.025,6680.789,3848.841
"7714","4am",9609.402,17913.695,15727.918,17033.103
"7715","4am",8375.114,14165.437,7892.343,2628.594
"7716","4am",11388.944,21800.017,24335.409,12085.662
"7801","4am",7811.489,15918.692,18709.485,30237.978
"7802","4am",3532.59,10525.972,13212.13,30822.74
"7803","4am",7768.308,9413.747,23554.86,40862.824
"7804","4am",8477.582,7231.108,11695.382,16348.697
"7805","4am",7345.239,21424.919,22957.877,24513.619
"7806","4am",12574.878,27398.049,20450.976,15152.536
"7807","4am",9279.54,15798.915,11883.138,6240.557
"7808","4am",10722.007,21452.226,12740.497,7370.045
"7809","4am",5887.487,15884.739,17389.711,19928.342
"7810","4am",2527.699,5852.12,7553.168,6441.875
"7811","4am",6666.271,10639.409,21922.143,34169.261
"7812","4am",5600.643,19803.612,28484.564,60929.658
"7813","4am",3401.495,9449.366,8946.844,12316.875
"7814","4am",1179.253,5493.261,7143.89,7571.544
"7815","4am",4649.619,10536.109,11194.635,8117.987
"7816","4am",9893.185,25373.836,29405.029,30951.028
"9101","4am",6300.807,14815.093,18054.43,13168.252
"9102","4am",6082.009,11177.836,13242.271,14099.059
"9103","4am",12545.078,16402.239,18148.53,12917.313
"9104","4am",6935.654,13991.005,14322.911,11871.656
"9105","4am",7947.965,20973.526,21714.545,19334.655
"9106","4am",15187.197,21421.105,19932.759,18670.463
"9107","4am",16356.149,22784.006,22483.8,18364.95
"9108","4am",5609.581,15413.377,13220.269,16582.346
"9109","4am",9876.919,13562.526,21896.171,15986.34
"9110","4am",10471.621,17119.613,15076.34,10906.558
"9111","4am",10016.133,11479.987,16295.907,15580.313
"9112","4am",6507.419,10002.084,12953.66,15424.223
"9113","4am",5868.293,12723.528,23172.677,29000.177
"9114","4am",1601.574,6422.697,10717.029,19045.159
"9201","4am",19826.515,17451.51,29391.398,35178.079
"9202","4am",11140.51,17582.56,23075.552,22684.53
"9203","4am",13433.761,18723.23,33308.778,64773.365
"9204","4am",11666.885,15771.286,24735.347,25741.515
"9205","4am",6569.163,15550.257,19094.333,51008.455
"9206","4am",5958.908,14781.087,17924.976,48198.128
"9207","4am",2199.913,7092.812,18363.691,48325.204
"9208","4am",5175.469,10652.77,22676.232,42307.383
"9209","4am",14262.924,17992.375,31758.391,54020.69
"9210","4am",10503.977,20170.828,21126.99,53212.172
"9211","4am",11187.09,13987.499,16479.482,25462.284
"9212","4am",6864.183,12585.812,18762.337,30212.369
"9302","4am",8179.615,14889.447,12029.201,7939.018
"9303","4am",16801.719,21533.606,26062.377,28673.853
"9304","4am",27386.784,27901.558,28252.302,26441.523
