"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.5225215";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"5am";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.5121735";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"6am";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.6376273";"0.0000000";"0.0000000";"0.0000000";"0.6201895";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000";"0.0000000"
"7am";"0.0000000";"0.0000000";"0.2029498";"0.4355271";"0.0000000";"0.1905314";"0.0000000";"0.0000000";"0.0000000";"1.6238030";"0.0000000";"0.0000000";"1.1036528";"0.0000000";"0.0000000";"0.4862199";"0.0000000";"0.0000000";"0.4380152"
"8am";"0.0000000";"0.0000000";"1.0135171";"2.4375649";"0.0000000";"0.8447230";"0.0000000";"1.9392810";"0.8344880";"2.0627740";"0.6644440";"1.0622045";"1.4024008";"0.0000000";"0.8246459";"1.6175654";"0.0000000";"1.9207663";"2.5221479"
"9am";" 0.2149384";" 2.5434733";" 1.4544720";" 6.1144023";" 2.7179528";" 3.2437385";" 2.0335447";" 5.4951795";" 3.6415585";" 1.9151286";" 2.7964602";"11.7295825";" 2.1977544";" 0.6211301";" 3.3175505";" 9.4196037";" 1.9370744";" 2.5016569";" 8.1068707"
"10am";" 0.3642594";" 2.7080777";" 4.1419579";"11.4054446";" 5.6970121";" 5.4752255";" 1.9424664";" 1.5770306";" 3.6966620";" 2.0733910";" 4.8875017";"23.6510409";" 5.9088516";" 1.3554152";" 3.8534008";"13.1085628";" 3.6486681";" 6.2693023";"11.0481285"
"11am";"0.6757472";"1.5933880";"0.6859236";"1.8221628";"1.0733181";"2.8371299";"1.9778425";"0.4254461";"2.7107964";"1.0474519";"5.7400146";"7.9169226";"3.4183439";"0.0000000";"0.0000000";"7.2179526";"1.9059090";"1.2460127";"6.8117192"
"12am";"1.5145674";"0.0000000";"0.4667410";"3.6114257";"0.8641025";"1.6774476";"0.6116049";"0.8636902";"0.0000000";"0.0000000";"1.0600282";"3.3856219";"0.0000000";"0.0000000";"0.0000000";"1.2977086";"0.0000000";"0.0000000";"1.6893667"
