"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329";"68.5233057888329"
"4am";"11.985031";" 8.818032";"12.955059";" 8.678568";" 7.146062";"10.213786";" 6.737097";" 3.482458";" 9.425609";"11.261408";" 8.134880";" 8.367941";"13.042009";" 8.465497";" 9.184780";" 5.866412";" 8.917018";" 7.008910";" 9.057214"
"5am";"11.793207";" 8.854197";"10.182246";" 9.470698";" 6.310636";"11.538634";" 6.737097";" 3.483471";" 8.584858";"11.092701";" 8.272427";" 8.607288";"13.181291";" 8.297847";" 9.737441";" 5.902746";" 9.377809";" 7.199675";" 9.103377"
"6am";"11.469651";" 8.310961";"10.583892";" 9.972903";" 5.067809";" 9.368743";" 6.664742";" 3.564871";" 9.502301";"11.994949";" 8.272427";" 8.874042";"13.593409";" 7.828614";" 9.081706";" 4.396936";" 9.747453";" 6.584398";" 9.264746"
"7am";"11.100494";" 7.403341";" 8.455618";"11.369080";" 2.145112";" 6.780323";" 6.438496";" 4.303955";" 9.634172";"16.839935";" 6.359754";"10.852639";"14.937100";" 6.269551";"10.098511";" 5.211119";" 7.088137";" 6.395163";" 9.784047"
"8am";" 6.826697";" 8.204647";" 6.001019";"13.580912";" 2.209598";" 9.502534";" 4.647389";" 2.748894";" 7.006709";"21.085446";" 7.789344";" 6.872874";"10.129425";" 9.068463";" 9.322768";" 7.700388";" 3.612314";" 5.560161";" 6.852973"
"9am";" 6.5347651";"13.1452506";" 8.4945337";"13.8406294";" 0.7512827";" 8.1681554";" 6.0436262";" 4.1228057";" 2.9984542";"20.2090288";" 9.6978615";" 6.6767691";" 9.4706544";" 7.0642093";" 9.7313443";" 5.3422988";" 4.0221375";" 4.8017467";" 7.4498542"
"10am";" 6.639106";"13.640130";" 8.809843";"10.693198";" 0.741106";" 7.315400";" 4.810818";" 5.409217";" 3.168060";"23.419949";" 9.090980";" 8.882105";"10.590207";" 7.393021";"11.653721";" 4.963597";" 2.007579";" 4.555844";"10.666144"
"11am";" 5.768847";" 6.147901";" 8.279341";"13.085061";" 0.766405";" 6.901202";" 5.207382";" 4.859697";" 3.251089";"18.692252";" 6.691821";" 9.387169";" 9.123866";" 8.747793";" 8.075642";" 8.742288";" 4.119817";" 4.521919";"10.662654"
"12am";"10.856141";" 9.885366";" 8.609635";"13.220882";" 0.000000";" 6.521390";" 4.675308";" 2.635652";" 2.980726";"18.345817";" 7.829567";"12.504275";" 9.220905";" 6.188864";" 7.254882";" 4.397200";" 9.535089";" 4.170761";"12.035259"
"1pm";" 7.810398";"10.269452";"11.179385";"11.042186";" 1.441539";" 7.913022";" 3.961407";" 4.118696";" 3.967415";"20.567223";" 6.607493";" 6.659244";"12.577115";" 5.849335";" 6.781461";" 6.455953";" 3.670122";" 4.314856";" 9.933255"
"2pm";" 6.128205";"10.802528";"10.023248";" 8.463457";" 4.439031";" 8.006775";" 4.970572";" 4.254257";" 3.046819";"22.237210";" 6.409372";" 7.012594";"12.579546";" 7.676846";" 8.974658";" 5.288815";" 3.559406";" 3.709998";" 7.342833"
"3pm";" 5.411659";" 8.457551";" 9.428394";"11.572361";" 4.521650";" 8.171309";" 5.183176";" 4.245438";" 1.857755";"20.018585";" 6.617764";" 6.664447";"15.810039";" 3.811796";" 9.996419";" 5.796566";" 3.577751";" 4.355209";" 6.122576"
"4pm";" 5.391640";"10.138448";"11.322553";" 8.735966";" 7.372997";" 8.692936";" 4.964141";" 3.652359";" 2.794415";"22.068304";" 5.090486";" 7.738127";"14.925050";" 3.537313";" 9.638178";" 7.021210";" 1.579666";" 4.264134";" 8.110134"
"5pm";" 4.684678";" 8.055316";"13.949949";"12.181334";" 4.183837";" 5.344476";" 4.682370";" 3.897387";" 5.495024";"21.109350";" 4.551015";" 5.029773";"17.904585";" 5.525104";" 5.303166";" 7.552403";" 8.192192";" 4.981410";"12.135260"
