"variable","CODE_SEC","RES_SEC","W_IND"
"h7","006","001",7.438
"h7","006","003",36.964
"h7","006","004",121.568
"h7","006","005",54.596
"h7","006","007",13.967
"h7","006","008",42.938
"h7","006","009",27.088
"h7","006","010",27.701
"h7","006","012",108.434
"h7","006","013",139.492
"h7","006","014",153.91
"h7","006","015",91.06
"h7","006","016",137.88
"h7","006","017",39.588
"h7","006","018",23.841
"h7","006","019",79.772
"h7","010","002",119.135
"h7","010","003",170.984
"h7","010","005",25.42
"h7","010","006",36.42
"h7","010","007",176.709
"h7","010","008",50.977
"h7","010","011",84.97
"h7","010","012",59.048
"h7","010","013",41.434
"h7","010","014",40.25
"h7","010","016",76.796
"h7","010","019",34.679
"h7","014","001",60.831
"h7","014","006",579.049
"h7","014","008",112.198
"h7","014","010",45.773
"h7","014","012",72.159
"h7","014","013",36.395
"h7","014","016",136.723
"h7","014","019",34.679
"h8","001","002",34.967
"h8","001","004",79.696
"h8","001","005",58.592
"h8","001","006",36.42
"h8","001","008",84.149
"h8","001","012",53.437
"h8","001","013",103.202
"h8","001","014",185.459
"h8","001","015",66.873
"h8","001","016",29.577
"h8","001","017",88.844
"h8","001","018",29.341
"h8","001","019",29.941
"h8","004","003",69.859
"h8","004","006",72.84
"h8","004","008",59.88
"h8","004","011",38.751
"h8","004","013",19.384
"h8","004","014",83.081
"h8","004","015",37.892
"h8","004","016",42.536
"h8","004","018",79.158
"h8","006","001",208.117
"h8","006","002",20.888
"h8","006","003",58.415
"h8","006","004",252.949
"h8","006","005",164.889
"h8","006","007",119.541
"h8","006","008",288.237
"h8","006","009",93.759
"h8","006","010",48.778
"h8","006","012",62.297
"h8","006","013",212.861
"h8","006","014",280.33
"h8","006","015",193.963
"h8","006","016",332.981
"h8","006","017",81.42
"h8","006","018",110.394
"h8","006","019",127.369
"h8","010","001",265.972
"h8","010","002",119.135
"h8","010","003",170.984
"h8","010","004",37.61
"h8","010","005",45.922
"h8","010","006",36.42
"h8","010","007",176.709
"h8","010","008",231.517
"h8","010","011",84.97
"h8","010","012",193.467
"h8","010","013",41.434
"h8","010","014",241.445
"h8","010","015",37.892
"h8","010","016",116.231
"h8","010","017",61.463
"h8","010","018",33.996
"h8","010","019",102.661
"h8","013","001",34.51
"h8","013","004",49.353
"h8","013","005",47.101
"h8","013","009",78.353
"h8","013","010",40.606
"h8","013","011",38.751
"h8","013","012",77.886
"h8","013","014",33.16
"h8","013","015",66.311
"h8","013","017",43.768
"h8","013","019",22.053
"h8","014","001",60.831
"h8","014","003",131.26
"h8","014","004",38.101
"h8","014","005",20.502
"h8","014","006",579.049
"h8","014","007",24.317
"h8","014","008",112.198
"h8","014","010",259.467
"h8","014","012",105.503
"h8","014","013",36.395
"h8","014","016",220.543
"h8","014","019",34.679
"h9","001","002",34.967
"h9","001","004",79.696
"h9","001","005",58.592
"h9","001","006",36.42
"h9","001","007",29.926
"h9","001","008",256.898
"h9","001","012",75.937
"h9","001","013",139.597
"h9","001","014",224.952
"h9","001","015",95.292
"h9","001","016",29.577
"h9","001","017",110.244
"h9","001","018",29.341
"h9","001","019",68.562
"h9","004","001",19.406
"h9","004","003",174.219
"h9","004","006",36.42
"h9","004","008",59.88
"h9","004","011",38.751
"h9","004","013",19.384
"h9","004","014",116.4
"h9","004","015",66.311
"h9","004","016",42.536
"h9","004","018",79.158
"h9","005","002",13.669
"h9","005","007",12.983
"h9","005","008",128.081
"h9","005","009",38.591
"h9","005","010",58.156
"h9","005","012",22.5
"h9","005","014",33.16
"h9","005","016",58.704
"h9","005","017",21.244
"h9","005","019",25.656
"h9","006","001",289.473
"h9","006","002",68.451
"h9","006","003",21.451
"h9","006","004",290.559
"h9","006","005",221.402
"h9","006","007",119.541
"h9","006","008",288.237
"h9","006","009",151.476
"h9","006","010",62.918
"h9","006","012",62.297
"h9","006","013",242.129
"h9","006","014",280.33
"h9","006","015",193.963
"h9","006","016",332.218
"h9","006","017",153.006
"h9","006","018",200.73
"h9","006","019",127.369
"h9","007","003",33.493
"h9","007","006",36.42
"h9","007","008",155.231
"h9","007","010",30.455
"h9","007","014",55.126
"h9","007","016",80.534
"h9","007","019",77.489
"h9","010","001",265.972
"h9","010","002",119.135
"h9","010","003",170.984
"h9","010","004",37.61
"h9","010","005",61.356
"h9","010","006",36.42
"h9","010","008",231.517
"h9","010","011",84.97
"h9","010","012",193.467
"h9","010","013",93.715
"h9","010","014",241.445
"h9","010","015",100.902
"h9","010","016",76.796
"h9","010","017",85.274
"h9","010","018",33.996
"h9","010","019",102.661
"h9","013","001",44.363
"h9","013","004",27.602
"h9","013","005",47.101
"h9","013","006",32.279
"h9","013","009",78.353
"h9","013","010",40.606
"h9","013","011",38.751
"h9","013","012",77.886
"h9","013","014",33.16
"h9","013","015",66.311
"h9","013","017",43.768
"h9","013","019",22.053
"h9","014","001",43.196
"h9","014","003",131.26
"h9","014","004",38.101
"h9","014","006",579.049
"h9","014","007",24.317
"h9","014","008",112.198
"h9","014","010",259.467
"h9","014","012",105.503
"h9","014","013",36.395
"h9","014","016",220.543
"h9","014","017",50.841
"h9","014","019",34.679
"h9","016","001",32.398
