"variable","CODE_SEC","RES_SEC","W_IND"
"h7","001","002",244.663
"h7","001","003",258.411
"h7","001","004",213.215
"h7","001","005",45.609
"h7","001","006",212.221
"h7","001","007",142.78
"h7","001","008",42.938
"h7","001","009",52.93
"h7","001","010",40.606
"h7","006","001",107.086
"h7","006","002",262.078
"h7","006","003",385.851
"h7","006","004",384.8
"h7","006","005",163.431
"h7","006","007",156.131
"h7","006","008",738.914
"h7","006","009",72.201
"h7","006","010",242.057
"h7","010","002",132.804
"h7","010","003",294.097
"h7","010","005",99.486
"h7","010","006",106.552
"h7","010","007",213.356
"h7","010","008",50.977
"h7","010","009",23.248
"h7","014","001",118.969
"h7","014","003",74.768
"h7","014","005",54.596
"h7","014","006",579.049
"h7","014","008",155.136
"h7","014","009",20.081
"h7","014","010",45.773
"h8","001","002",392.901
"h8","001","003",291.904
"h8","001","004",479.513
"h8","001","005",392.32
"h8","001","006",499.42
"h8","001","007",209.353
"h8","001","008",299.836
"h8","001","009",175.222
"h8","001","010",67.111
"h8","003","001",179.212
"h8","003","002",79.668
"h8","003","004",372.976
"h8","003","006",30.086
"h8","003","007",27.486
"h8","003","008",87.252
"h8","004","001",14.505
"h8","004","002",103.412
"h8","004","003",188.155
"h8","004","005",53.674
"h8","004","006",330.637
"h8","004","007",13.967
"h8","004","008",385.532
"h8","004","009",53.244
"h8","004","010",57.015
"h8","005","001",540.709
"h8","005","002",13.83
"h8","005","003",21.451
"h8","005","004",37.61
"h8","005","006",74.978
"h8","005","007",26.95
"h8","005","008",412.191
"h8","005","009",82.17
"h8","005","010",81.329
"h8","006","001",363.139
"h8","006","002",315.843
"h8","006","003",742.037
"h8","006","004",1053.911
"h8","006","005",339.545
"h8","006","007",564.751
"h8","006","008",970.009
"h8","006","009",346.342
"h8","006","010",449.847
"h8","007","001",146.186
"h8","007","002",7.219
"h8","007","003",86.059
"h8","007","004",75.538
"h8","007","005",31.54
"h8","007","006",140.318
"h8","007","008",155.231
"h8","007","009",25.047
"h8","007","010",99.876
"h8","010","001",329.154
"h8","010","002",140.108
"h8","010","003",363.956
"h8","010","004",75.22
"h8","010","005",86.69
"h8","010","006",70.132
"h8","010","007",295.831
"h8","010","008",267.792
"h8","010","009",23.248
"h8","013","001",49.015
"h8","013","002",116.605
"h8","013","004",77.188
"h8","013","005",100.978
"h8","013","006",49.531
