"variable","CODE_SEC","RES_SEC","W_IND"
"h6","006","003",131.26
"h6","006","004",18.964
"h6","006","005",20.502
"h6","006","007",13.967
"h6","006","008",177.245
"h6","006","010",21.077
"h6","006","012",56.902
"h6","006","013",160.809
"h6","006","014",40.25
"h6","006","015",64.476
"h6","006","016",137.88
"h6","006","017",21.244
"h6","006","018",31.788
"h6","006","019",29.941
"h7","001","004",173.733
"h7","001","005",25.42
"h7","001","007",75.648
"h7","001","008",42.938
"h7","001","009",52.93
"h7","001","012",127.985
"h7","001","013",129.744
"h7","001","015",40.289
"h7","001","016",78.107
"h7","001","017",111.079
"h7","001","018",31.788
"h7","001","019",29.941
"h7","003","001",35.059
"h7","003","004",95.066
"h7","003","011",67.75
"h7","003","012",45.512
"h7","003","013",38.661
"h7","003","014",48.938
"h7","003","016",121.442
"h7","003","017",39.73
"h7","005","001",34.51
"h7","005","009",23.248
"h7","005","010",50.874
"h7","005","011",38.751
"h7","005","012",22.5
"h7","005","017",21.244
"h7","005","018",91.632
"h7","005","019",54.344
"h7","006","001",76.815
"h7","006","002",13.669
"h7","006","003",385.851
"h7","006","004",132.776
"h7","006","005",108.477
"h7","006","007",26.95
"h7","006","008",435.251
"h7","006","009",50.336
"h7","006","010",172.399
"h7","006","012",243.002
"h7","006","013",197.776
"h7","006","014",287.244
"h7","006","015",102.368
"h7","006","016",190.242
"h7","006","017",106.839
"h7","006","018",284.659
"h7","006","019",276.426
"h8","001","002",52.173
"h8","001","003",33.493
"h8","001","004",291.357
"h8","001","005",188.625
"h8","001","006",85.951
"h8","001","007",112.295
"h8","001","008",127.087
"h8","001","009",78.227
"h8","001","011",33.969
"h8","001","012",218.828
"h8","001","013",311.503
"h8","001","014",44.45
"h8","001","015",104.472
"h8","001","016",107.684
"h8","001","017",146.432
"h8","001","018",74.016
"h8","001","019",116.61
"h8","003","001",179.212
"h8","003","002",47.713
"h8","003","004",133.999
"h8","003","006",30.086
"h8","003","008",36.275
"h8","003","011",146.6
"h8","003","012",76.867
"h8","003","013",38.661
"h8","003","014",73.808
"h8","003","015",26.584
"h8","003","016",121.442
"h8","003","017",39.73
"h8","004","001",14.505
"h8","004","002",56.794
"h8","004","003",46.02
"h8","004","006",275.506
"h8","004","007",13.967
"h8","004","008",201.324
"h8","004","010",26.56
"h8","004","011",38.751
"h8","004","013",38.768
"h8","004","014",43.588
"h8","004","015",37.892
"h8","004","016",76.033
"h8","004","017",39.588
"h8","004","018",66.222
"h8","005","001",34.51
"h8","005","003",21.451
"h8","005","007",26.95
"h8","005","008",291.767
"h8","005","009",43.329
"h8","005","010",50.874
"h8","005","012",22.5
"h8","005","016",58.704
"h8","005","017",21.244
"h8","005","018",91.632
"h8","005","019",122.326
"h8","006","001",315.233
"h8","006","002",60.215
"h8","006","003",642.353
"h8","006","004",613.985
"h8","006","005",225.249
"h8","006","007",302.18
"h8","006","008",606.466
"h8","006","009",237.631
"h8","006","010",349.734
"h8","006","012",239.616
"h8","006","013",300.413
"h8","006","014",520.213
"h8","006","015",355.862
"h8","006","016",465.36
"h8","006","017",148.671
"h8","006","018",520.348
"h8","006","019",403.151
"h8","007","003",86.059
"h8","007","004",37.61
"h8","007","006",36.42
"h8","007","008",155.231
"h8","007","009",25.047
"h8","007","010",99.876
"h8","007","013",232.76
"h8","007","015",77.888
"h8","007","016",88.425
"h8","007","017",75.029
"h8","007","019",147.608
"h8","008","003",142.379
"h8","008","005",46.389
"h8","008","009",13.544
"h8","008","010",40.606
"h8","008","012",106.873
"h8","008","013",63.501
"h8","008","014",100.793
"h8","008","017",17.858
"h8","008","018",79.896
"h8","008","019",27.658
"h8","010","001",115.327
"h8","010","003",176.406
"h8","010","004",75.22
"h8","010","005",41.081
"h8","010","006",70.132
"h8","010","008",101.954
"h8","010","009",23.248
"h8","010","012",156.998
