"district","hour","cs1","cs2","cs3","cs4","cs5"
"001","4am",139.69,210.82,1782.629,435.728,927.345
"002","4am",375.683,481.558,1170.979,492.802,585.267
"003","4am",501.268,696.293,2688.62,625.934,929.087
"004","4am",372.347,401.301,3188.814,1402.663,1607.315
"005","4am",83.923,91.222,1737.487,840.971,802.279
"006","4am",208.598,1212.173,3623.943,1117.372,1829.977
"007","4am",344.316,43.199,1275.31,971.586,1723.487
"008","4am",393.721,576.534,6045.69,1157.839,1734.327
"009","4am",345.856,368.776,1941.329,537.641,704.283
"010","4am",475.674,365.489,2245.024,1298.551,596.392
"011","4am",192.142,246.912,3556.345,1132.949,1544.745
"012","4am",201.964,176.124,2186.013,824.258,987.264
"013","4am",330.154,400.693,3603.899,517.877,1403.173
"014","4am",243.762,111.604,2486.12,1631.183,1331.367
"015","4am",290.603,375.812,2965.535,1041.79,1473.473
"016","4am",76.033,601.441,3397.047,1411.687,1013.987
"017","4am",117.032,127.344,1466.333,969.167,539.614
"018","4am",329.923,301.977,2644.938,1100.955,1372.135
"019","4am",382.813,220.524,2411.555,671.185,1407.916
"001","5am",139.69,253.758,1819.024,435.728,959.133
"002","5am",375.683,481.558,1170.979,492.802,571.437
"003","5am",501.268,674.842,2487.501,625.934,929.087
"004","5am",372.347,401.301,3292.669,1402.663,1607.315
"005","5am",83.923,91.222,1702.406,840.971,802.279
"006","5am",208.598,1212.173,3908.333,1174.274,1893.478
"007","5am",344.316,43.199,1275.31,971.586,1723.487
"008","5am",393.721,533.596,6085.42,1157.839,1734.327
"009","5am",345.856,329.386,1941.329,537.641,704.283
"010","5am",475.674,365.489,2276.812,1349.392,596.392
"011","5am",192.142,246.912,3556.345,1132.949,1425.404
"012","5am",201.964,176.124,2186.013,736.001,941.026
"013","5am",330.154,400.693,3578.94,517.877,1353.502
"014","5am",243.762,133.055,2467.372,1759.826,1331.367
"015","5am",290.603,415.202,2965.535,1041.79,1473.473
"016","5am",76.033,601.441,3397.868,1314.399,1013.987
"017","5am",117.032,127.344,1374.491,894.162,539.614
"018","5am",329.923,301.977,2505.138,1100.955,1340.347
"019","5am",382.813,220.524,2426.125,671.185,1365.076
"001","6am",139.69,219.248,1863.929,621.187,959.133
"002","6am",375.683,481.558,1062.61,492.802,571.437
"003","6am",501.268,522.163,2440.096,625.934,902.475
"004","6am",372.347,401.301,3302.092,1407.148,1480.592
"005","6am",83.923,91.222,1761.429,840.618,776.859
"006","6am",208.598,973.087,3727.301,1255.087,1866.011
"007","6am",344.316,87.227,1275.31,971.586,1730.265
